Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario51,-30,20,80,20,100,100,0.6,20,80,0,40,80,c4,1e-05,right,base,left,base,0,6.132886378295736,0
scenario52,90,20,60,40,40,40,0.8,100,0,0,40,100,c1,1e-05,base,right,left,right,0,4.547058343052411,0
scenario53,90,80,100,0,40,40,0.6,0,100,0,40,100,c2,1e-05,right,left,base,left,0,2.413586134435428,0
scenario54,-60,0,20,0,20,40,0.8,0,100,0,40,100,c4,1e-05,left,right,right,base,0,4.380634532950115,0
scenario55,-90,60,40,20,20,40,0.8,100,0,0,60,0,c1,1e-05,left,right,base,right,0,3.9888958232670815,0
scenario56,-30,20,20,20,80,40,0.6,100,0,0,60,0,c2,1e-05,right,base,base,left,0,2.6407811657238405,0
scenario57,-30,40,20,100,0,100,0.4,0,100,0,60,0,c4,1e-05,right,base,left,right,0,1.0882779582902191,0
scenario58,-90,60,40,20,40,0,0.8,40,60,0,60,20,c1,1e-05,left,right,base,left,0,5.500825057894719,0
scenario59,30,60,80,20,40,40,0.8,100,0,0,60,20,c2,1e-05,base,left,right,left,0,3.523675656849938,0
scenario60,30,80,60,0,100,0,0.6,0,100,0,60,20,c4,1e-05,left,base,right,base,0,2.79873596941227,0
scenario61,30,0,100,0,0,100,0.1,0,100,0,60,40,c1,1e-05,base,left,left,right,0,2.2612021068357016,0
scenario62,0,20,100,0,0,60,0.2,80,20,0,60,40,c2,1e-05,base,left,right,base,1,0.0,1
scenario63,-90,80,100,40,60,40,0.6,40,60,0,60,40,c4,1e-05,right,base,left,base,0,2.4143574351056416,0
scenario64,90,60,100,0,100,40,0.6,80,20,0,60,60,c1,1e-05,base,right,left,right,0,4.310161391268087,0
scenario65,90,20,20,20,80,0,0.6,20,80,0,60,60,c2,1e-05,right,left,base,left,0,4.103517415578596,0
scenario66,30,20,60,0,0,0,0.0,0,100,0,60,60,c4,1e-05,left,right,right,base,0,4.672320846905102,0
scenario67,-90,20,60,100,100,40,0.6,40,60,0,60,80,c1,1e-05,left,right,base,right,0,4.2822225756783805,0
scenario68,60,60,20,0,40,40,0.8,80,20,0,60,80,c2,1e-05,right,base,base,left,1,0.0,1
scenario69,0,60,20,0,0,0,0.8,0,0,0,60,80,c4,1e-05,right,base,left,right,0,0.9364236118835876,0
scenario70,30,60,100,20,60,100,0.6,40,60,0,60,100,c1,1e-05,left,right,base,left,0,3.73086360561161,0
scenario71,-90,20,100,40,100,40,0.6,100,0,0,60,100,c2,1e-05,base,left,right,left,0,3.1060282711953024,0
scenario72,-30,60,80,20,0,80,0.2,40,60,0,60,100,c4,1e-05,left,base,right,base,0,2.81715553853342,0
scenario73,-90,40,60,40,60,40,0.6,0,100,0,80,0,c1,1e-05,base,left,left,right,0,2.937969414355711,0
scenario74,30,60,100,0,80,60,0.6,0,100,0,80,0,c2,1e-05,base,left,right,base,0,1.673522688489121,0
scenario75,90,40,100,80,100,60,0.6,100,0,0,80,0,c4,1e-05,right,base,left,base,0,2.907302640578288,0
scenario76,-60,80,100,0,40,40,0.8,0,100,0,80,20,c1,1e-05,base,right,left,right,0,1.9383309393240689,0
scenario77,60,20,60,20,40,60,0.8,100,100,0,80,20,c2,1e-05,right,left,base,left,0,4.137816685505804,0
scenario78,0,20,60,40,60,0,0.6,40,60,0,80,20,c4,1e-05,left,right,right,base,0,4.456994529726266,0
scenario79,30,60,40,0,40,40,0.8,20,80,0,80,40,c1,1e-05,left,right,base,right,0,3.3212962301708133,0
scenario80,90,20,20,100,0,0,0.8,0,100,0,80,40,c2,1e-05,right,base,base,left,0,2.6765740668786684,0
scenario81,-60,20,100,20,0,0,0.6,40,60,0,80,40,c4,1e-05,right,base,left,right,0,1.0469555404144903,0
scenario82,0,40,20,20,100,60,0.6,0,100,0,80,60,c1,1e-05,left,right,base,left,0,3.790624673136207,0
scenario83,30,20,20,60,0,0,0.8,0,100,0,80,60,c2,1e-05,base,left,right,left,0,2.4405109067565234,0
scenario84,-30,60,40,100,0,0,0.8,0,100,0,80,60,c4,1e-05,left,base,right,base,0,2.23575413743806,0
scenario85,-90,60,40,0,0,60,0.8,0,100,0,80,80,c1,1e-05,base,left,left,right,0,2.8401318412628496,0
scenario86,-90,80,80,0,100,40,0.4,0,100,0,80,80,c2,1e-05,base,left,right,base,0,1.688278113733369,0
scenario87,60,60,80,40,0,80,0.2,40,60,0,80,80,c4,1e-05,right,base,left,base,0,2.676190351197277,0
scenario88,-30,60,20,20,80,40,0.6,40,60,0,80,100,c1,1e-05,base,right,left,right,0,3.531646168456401,0
scenario89,60,40,20,80,0,0,0.8,100,0,0,80,100,c2,1e-05,right,left,base,left,0,2.920535507150898,0
scenario90,-90,20,100,0,0,60,0.4,80,20,0,80,100,c4,1e-05,left,right,right,base,0,4.298740493100848,0
scenario91,90,60,100,60,40,40,0.8,40,60,0,100,0,c1,1e-05,left,right,base,right,0,3.302698797584576,0
scenario92,-60,20,80,60,40,40,0.8,40,60,0,100,0,c2,1e-05,right,base,base,left,0,0.8541586736467005,0
scenario93,0,0,60,0,0,0,0.8,80,20,0,100,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario94,-60,40,20,60,0,80,0.4,100,0,0,100,20,c1,1e-05,left,right,base,left,0,2.1737338860412314,0
scenario95,90,60,60,0,100,40,0.4,0,100,0,100,20,c2,1e-05,base,left,right,left,0,3.599198794395384,0
scenario96,30,80,20,20,0,80,0.2,40,60,0,100,20,c4,1e-05,left,base,right,base,0,2.7476042373479808,0
scenario97,0,20,100,60,100,60,0.6,100,0,0,100,40,c1,1e-05,base,left,left,right,0,3.235814780967348,0
scenario98,-60,0,80,0,20,0,0.8,0,100,0,100,40,c2,1e-05,base,left,right,base,0,1.6201818106847965,0
scenario99,-90,0,20,0,0,100,0.2,0,100,0,100,40,c4,1e-05,right,base,left,base,0,3.116379734303514,0
scenario100,90,20,80,40,0,0,0.8,40,60,0,100,60,c1,1e-05,base,right,left,right,1,0.0,1
scenario101,-60,60,100,0,20,0,0.8,80,20,0,100,60,c2,1e-05,right,left,base,left,1,0.0,1
scenario102,0,60,60,0,0,0,0.8,40,60,0,100,60,c4,1e-05,left,right,right,base,0,4.376686030475219,0
scenario103,90,40,20,60,0,100,0.1,0,100,0,100,80,c1,1e-05,left,right,base,right,0,3.474527987551813,0
scenario104,0,20,40,80,0,0,0.8,40,60,0,100,80,c2,1e-05,right,base,base,left,0,2.882742558426944,0
scenario105,30,60,100,40,80,40,0.6,40,60,0,100,80,c4,1e-05,right,base,left,right,0,0.9929131416321272,0
scenario106,90,60,80,100,0,80,0.8,20,80,0,100,100,c1,1e-05,left,right,base,left,0,3.414127624118665,0
scenario107,60,40,20,80,100,0,0.6,100,0,0,100,100,c2,1e-05,base,left,right,left,0,3.4685543540421864,0
scenario108,60,60,100,0,0,80,0.1,0,100,0,100,100,c4,1e-05,left,base,right,base,0,2.261300624838196,0
scenario109,-30,60,20,60,40,40,0.8,0,100,20,0,0,c1,1e-05,base,left,left,right,0,3.735940553067202,0
scenario110,-30,20,20,60,0,80,0.4,40,60,20,0,0,c2,1e-05,base,left,right,base,0,1.648813206333078,0
scenario111,-30,0,60,0,0,100,0.6,0,100,20,0,0,c4,1e-05,right,base,left,base,0,2.8459539635076974,0
scenario112,60,20,60,40,40,40,0.8,0,100,20,0,20,c1,1e-05,base,right,left,right,0,3.866286471924089,0
scenario113,-90,80,40,60,100,40,0.6,40,60,20,0,20,c2,1e-05,right,left,base,left,1,0.0,1
scenario114,30,40,40,100,100,60,0.6,0,100,20,0,20,c4,1e-05,left,right,right,base,0,4.027247946057475,0
scenario115,30,20,100,0,20,40,0.8,40,60,20,0,40,c1,1e-05,left,right,base,right,0,3.496502785829362,0
scenario116,-90,40,20,0,40,0,0.8,0,100,20,0,40,c2,1e-05,right,base,base,left,0,3.289921519405352,0
scenario117,60,60,100,60,0,0,0.8,0,100,20,0,40,c4,1e-05,right,base,left,right,0,1.059167635791551,0
scenario118,-60,80,20,0,0,80,0.4,80,20,20,0,60,c1,1e-05,left,right,base,left,0,3.923722164324761,0
scenario119,-90,40,40,40,100,40,0.6,100,100,20,0,60,c2,1e-05,base,left,right,left,0,2.001012325642934,0
scenario120,-30,40,100,40,0,0,0.8,20,0,20,0,60,c4,1e-05,left,base,right,base,0,2.892050616414069,0
scenario121,90,20,20,20,0,80,0.8,40,60,20,0,80,c1,1e-05,base,left,left,right,0,2.926702063139649,0
scenario122,30,20,20,0,0,60,0.8,0,100,20,0,80,c2,1e-05,base,left,right,base,0,1.7910815199819303,0
scenario123,-30,80,20,0,20,40,0.8,40,60,20,0,80,c4,1e-05,right,base,left,base,0,2.5297252202588165,0
scenario124,0,20,20,40,20,60,0.8,100,0,20,0,100,c1,1e-05,base,right,left,right,0,4.235715843487914,0
scenario125,-90,60,40,0,0,100,0.6,40,60,20,0,100,c2,1e-05,right,left,base,left,0,1.8649877301919509,0
scenario126,-90,20,60,0,100,0,0.6,0,100,20,0,100,c4,1e-05,left,right,right,base,0,4.032617925471732,0
scenario127,-30,20,60,60,100,40,0.6,0,100,20,20,0,c1,1e-05,left,right,base,right,0,3.386623925117005,0
scenario128,30,20,20,100,0,80,0.4,20,80,20,20,0,c2,1e-05,right,base,base,left,0,2.587239234938145,0
scenario129,90,60,20,20,40,40,0.8,0,100,20,20,0,c4,1e-05,right,base,left,right,0,1.0043268439605626,0
scenario130,90,20,20,0,100,100,0.4,40,60,20,20,20,c1,1e-05,left,right,base,left,0,3.8233788877546857,0
scenario131,-90,60,80,0,80,40,0.6,80,20,20,20,20,c2,1e-05,base,left,right,left,0,3.049103922814639,0
scenario132,0,60,80,0,0,100,0.4,0,100,20,20,20,c4,1e-05,left,base,right,base,0,3.414766163668965,0
scenario133,-30,20,80,40,20,40,0.8,0,100,20,20,40,c1,1e-05,base,left,left,right,0,4.503864551903916,0
scenario134,0,20,100,60,0,80,0.4,40,60,20,20,40,c2,1e-05,base,left,right,base,0,1.769383614924571,0
scenario135,90,40,100,0,20,40,0.8,40,60,20,20,40,c4,1e-05,right,base,left,base,0,2.8788131829789725,0
scenario136,-60,60,100,60,60,40,0.6,100,0,20,20,60,c1,1e-05,base,right,left,right,0,3.979033994524032,0
scenario137,-60,40,40,0,100,60,0.6,0,100,20,20,60,c2,1e-05,right,left,base,left,0,3.383701566354656,0
scenario138,-60,40,80,40,0,100,0.2,100,0,20,20,60,c4,1e-05,left,right,right,base,0,3.486098819905328,0
scenario139,90,40,100,0,40,60,0.8,80,20,20,20,80,c1,1e-05,left,right,base,right,0,3.249465062164646,0
scenario140,60,0,80,0,100,40,0.6,0,100,20,20,80,c2,1e-05,right,base,base,left,0,1.8315072706019,0
scenario141,-60,20,60,60,40,0,0.8,100,0,20,20,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario142,-60,80,60,0,0,0,0.8,0,20,20,20,100,c1,1e-05,left,right,base,left,0,4.069330062228465,0
scenario143,-60,20,20,0,0,20,0.8,40,60,20,20,100,c2,1e-05,base,left,right,left,0,2.3787929844887112,0
scenario144,0,20,80,0,100,40,0.6,40,60,20,20,100,c4,1e-05,left,base,right,base,0,1.8414032910154867,0
scenario145,-60,80,80,0,0,100,0.6,0,100,20,40,0,c1,1e-05,base,left,left,right,0,3.13785928051902,0
scenario146,-30,20,20,20,0,0,0.4,0,100,20,40,0,c2,1e-05,base,left,right,base,0,1.8365166720635555,0
scenario147,90,60,20,0,40,40,0.8,40,60,20,40,0,c4,1e-05,right,base,left,base,0,3.704366833217272,0
scenario148,90,80,60,0,0,0,0.8,80,20,20,40,20,c1,1e-05,base,right,left,right,0,2.288296480223088,0
scenario149,60,20,60,20,0,80,0.2,100,0,20,40,20,c2,1e-05,right,left,base,left,1,0.0,1
