Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario51,-90,20,20,0,0,0,0.8,0,100,0,40,80,c4,0.01057,right,base,left,base,0,15.412417867410966,0
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,left,right,base,right,0,3.705622903490076,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,base,left,right,left,0,1.8330834299260408,0
scenario54,60,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.00684,left,right,right,base,0,4.763931764241622,0
scenario55,-90,40,40,0,0,0,0.8,0,100,0,60,0,c1,0.00563,left,right,base,left,0,3.438961303382547,0
scenario56,-90,40,80,0,0,0,0.8,0,100,0,60,0,c2,0.00568,base,left,right,base,0,1.7030988035171966,0
scenario57,0,20,20,0,0,0,0.8,0,100,0,60,0,c4,0.00526,left,base,right,base,0,2.2797536051204426,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,60,20,c1,0.00295,base,left,left,right,0,1.7357542156708592,0
scenario59,-30,40,20,0,0,0,0.8,0,100,0,60,20,c2,0.00231,right,base,base,left,0,2.31196481890999,0
scenario60,-90,20,60,0,0,0,0.8,0,100,0,60,20,c4,0.01474,right,base,left,right,0,0.7769877406074647,0
scenario61,-90,20,100,0,0,0,0.8,0,100,0,60,40,c1,0.0129,base,right,left,right,0,3.10428814706262,0
scenario62,30,20,40,0,0,0,0.8,0,100,0,60,40,c2,0.00825,right,left,base,left,0,4.352236239557636,0
scenario63,0,20,60,0,0,0,0.8,0,100,0,60,40,c4,0.00787,right,base,left,base,0,2.42207755110513,0
scenario64,0,20,80,0,0,0,0.8,0,100,0,60,60,c1,0.00833,left,right,base,right,0,3.1364823648072804,0
scenario65,90,20,40,0,0,0,0.8,0,100,0,60,60,c2,0.00691,base,left,right,left,0,4.991312194960851,0
scenario66,-30,20,100,0,0,0,0.8,0,100,0,60,60,c4,0.0069,left,right,right,base,0,5.091368679848336,0
scenario67,60,20,60,0,0,0,0.8,0,100,0,60,80,c1,0.00697,left,right,base,left,0,3.434111593915551,0
scenario68,-30,20,60,0,0,0,0.8,0,100,0,60,80,c2,0.00674,base,left,right,base,0,1.7719306554325889,0
