Row,timeofday,direction,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-90,1,0.1,100,100,40,20,60,40,0
scenario2,0,0,0.8,80,100,100,0,40,80,20
scenario3,-30,0,0.2,0,60,0,60,0,0,40
scenario4,-60,0,0.4,20,80,20,40,80,20,80
scenario5,0,1,0.6,20,20,60,60,20,60,60
scenario6,0,1,1,40,0,100,80,100,100,40
scenario7,60,1,0.8,80,60,80,100,20,20,100
scenario8,90,1,0.6,60,40,40,80,0,80,100
scenario9,30,0,1,0,40,80,20,40,100,80
scenario10,60,1,0.2,60,20,100,0,80,0,0
scenario11,90,1,1,80,80,60,40,60,0,40
scenario12,-60,0,0.4,100,40,100,100,100,40,60
scenario13,0,1,0.8,0,0,20,40,0,60,0
scenario14,-60,0,0.6,40,80,0,100,20,100,0
scenario15,90,0,0.2,40,100,100,60,60,60,80
scenario16,90,0,0.1,60,20,80,40,100,40,20
scenario17,90,1,0.1,20,0,20,100,40,0,60
scenario18,-90,0,1,60,100,0,60,80,20,100
scenario19,60,1,0.4,40,60,60,20,100,80,20
scenario20,0,0,0.2,100,80,60,20,0,20,100
scenario21,30,1,0.8,40,80,40,60,80,40,60
scenario22,60,0,0.4,100,80,80,80,40,60,0
scenario23,60,0,0.6,0,20,100,100,60,80,40
scenario24,60,0,1,20,40,80,0,0,0,20
scenario25,60,0,0.1,0,0,40,80,20,0,80
scenario26,90,1,0.8,100,20,60,80,80,100,80
scenario27,90,0,0.6,100,60,20,0,20,40,40
scenario28,0,1,0.4,0,100,60,100,80,40,40
scenario29,60,0,0.2,80,100,20,40,100,100,60
scenario30,60,1,0.2,60,0,0,100,40,40,20
scenario31,30,1,0.4,40,20,80,0,60,60,100
scenario32,-30,0,0.2,80,40,40,20,20,80,0
scenario33,-60,1,0.1,60,60,100,20,40,60,100
scenario34,90,0,0.8,0,80,0,0,100,20,60
scenario35,60,1,0.8,20,40,0,20,80,60,40
scenario36,-30,1,0.6,100,0,20,60,60,20,20
scenario37,30,1,1,80,20,40,100,0,20,80
scenario38,90,0,1,20,60,60,60,40,80,0
scenario39,-30,1,0.4,40,100,20,80,20,0,100
scenario40,-60,1,0.1,20,20,0,80,0,80,20
scenario41,60,0,0.1,80,0,60,0,80,20,60
scenario42,-90,0,0.6,80,60,100,80,0,60,60
scenario43,0,0,1,20,20,40,40,40,40,100
scenario44,-60,1,0.2,0,0,80,60,80,100,20
scenario45,30,0,0.6,0,0,0,40,100,80,100
scenario46,60,0,0.4,20,0,100,20,60,100,0
scenario47,-60,1,0.6,40,40,60,0,100,0,80
scenario48,-90,1,0.2,20,0,80,40,20,20,40
scenario49,-60,1,0.4,40,100,40,40,40,80,40
scenario50,0,0,1,100,60,0,100,60,60,20
scenario51,-60,1,0.2,60,60,20,0,60,80,60
scenario52,90,1,0.4,60,100,80,100,0,100,0
scenario53,60,1,0.1,80,80,20,60,0,40,80
scenario54,30,1,0.2,80,40,60,80,40,0,100
scenario55,-30,0,1,40,20,0,20,40,20,60
scenario56,60,0,0.1,40,80,100,40,80,100,100
scenario57,90,1,0.2,0,40,20,80,100,40,0
scenario58,0,1,0.4,20,60,40,0,0,100,80
scenario59,90,0,0.1,0,100,80,20,20,60,40
scenario60,90,0,0.6,20,100,40,0,80,60,20
scenario61,90,1,0.2,80,0,100,20,0,20,20
scenario62,-30,1,1,60,80,40,60,100,60,40
scenario63,30,0,1,60,80,60,80,20,40,20
scenario64,90,1,1,40,40,80,100,80,80,60
scenario65,30,0,0.4,80,40,0,60,60,40,40
scenario66,30,0,0.2,20,60,0,20,100,40,80
scenario67,30,0,0.8,80,0,80,60,100,0,0
scenario68,-90,0,0.8,20,0,100,80,60,40,100
