Method,N Scenarios,Realism (%),Triples Covered,All Triples (%),Real Triples (%),Precision (%),Recall (%),F1 Score,Mean TTC,Critical TTC,Critical TTC Realism (%),Collision 2/3,Collision 2/3 Realism (%),Collision 3/3,Collision 3/3 Realism (%)
bayscen,648,90.74,10922,57.03,87.22,88.02,87.22,87.61,4.928,25,88.0,35,88.6,11,90.9
random,648,38.27,18015,94.06,93.98,57.5,93.98,71.34,10.08,3,33.3,10,30.0,2,0.0
sitcov,648,36.57,18108,94.55,94.25,57.37,94.25,71.32,21.687,18,38.9,19,42.1,6,50.0
PICT_3w,525,35.62,19152,100.0,100.0,57.55,100.0,73.06,11.269,12,33.3,13,46.2,1,0.0
PICT_2w,68,36.76,5368,28.03,27.5,56.46,27.5,36.99,25.774,1,0.0,2,50.0,0,0.0
CTBC,165,47.88,9580,50.02,49.83,57.33,49.83,53.32,33.403,6,50.0,9,44.4,2,0.0
