Method,All triples,Real triples,Precision,F1,N
bayscen,59.6%,94.0%,79.5%,86.1,648
random,94.9%,95.0%,50.5%,66.0,648
sitcov,94.7%,94.9%,50.5%,65.9,648
PICT_3w,100.0%,100.0%,50.4%,67.0,456
PICT_2w,27.1%,27.0%,50.2%,35.1,61
CTBC,33.9%,33.4%,49.7%,40.0,95
