Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario67,c4,right,100,0.8,40,right,0,0,80,base,100,60,left,1,0.0,1
scenario68,c2,left,100,0.8,0,right,20,100,20,left,20,80,base,0,3.651122165209311,0
scenario69,c1,right,100,0.6,80,left,80,100,20,right,60,80,base,0,4.521286123770044,0
scenario70,c4,base,0,1.0,40,right,0,0,60,base,60,60,left,1,0.0,1
scenario71,c1,left,60,0.1,40,left,60,60,100,right,60,40,base,0,4.156895889983149,0
scenario72,c4,base,60,0.4,80,left,20,0,60,right,20,40,right,0,0.7792005172517924,0
scenario73,c4,base,60,0.1,0,left,0,100,100,base,80,20,right,0,1.9272561754463056,0
scenario74,c1,right,0,0.2,40,base_left_lane,60,100,60,left,40,100,left,1,0.0,1
scenario75,c4,base,0,0.2,100,left,60,60,40,right,60,80,right,1,0.0,1
scenario76,c1,right,80,0.2,20,left,100,100,80,right,60,100,base,0,4.801204289072222,0
scenario77,c2,left,0,1.0,0,right,100,20,60,base,100,40,base,0,2.0169085549767694,0
scenario78,c4,base,20,0.6,40,right,60,0,80,base,0,60,left,1,0.0,1
scenario79,c4,right,40,0.1,40,right,60,60,60,base,60,60,left,1,0.0,1
scenario80,c2,left,100,0.2,80,base_left_lane,60,20,20,left,60,20,right,0,9999.0,0
scenario81,c1,right,40,0.6,60,base_left_lane,100,80,20,left,40,100,left,1,0.0,1
scenario82,c4,base,0,0.8,0,right,60,100,60,base,40,60,left,1,0.0,1
scenario83,c2,left,100,0.8,100,right,40,60,40,left,40,40,base,0,3.546602706460257,0
scenario84,c2,base,60,1.0,20,base_left_lane,20,20,40,left,40,40,right,0,3.1782627566349952,0
scenario85,c1,right,40,0.8,60,left,80,80,0,right,80,0,base,0,8.461936224688166,0
scenario86,c2,left,80,0.1,100,base_left_lane,40,0,80,left,100,100,right,0,3.422542179377845,0
scenario87,c4,base,40,0.1,100,left,80,60,20,base,60,80,right,0,3.1631129254290085,0
scenario88,c4,right,60,0.1,40,right,80,40,0,base,100,80,left,0,9999.0,0
scenario89,c2,left,80,0.4,40,right,80,0,40,base,80,20,base,0,3.723270742801197,0
scenario90,c1,right,60,0.2,100,base,0,80,100,right,0,60,left,0,3.308062705557324,0
scenario91,c4,base,60,1.0,40,left,0,0,100,base,20,60,right,0,2.713411066994972,0
scenario92,c4,base,20,0.1,100,left,80,20,100,right,40,0,right,1,0.0,1
scenario93,c1,right,60,1.0,60,base_left_lane,20,0,20,left,40,100,left,1,0.0,1
scenario94,c2,left,100,0.8,100,right,80,100,80,left,60,100,base,0,4.917541544877272,0
scenario95,c1,left,0,0.4,20,left,20,40,20,right,0,0,base,0,2.2686475564883164,0
scenario96,c1,left,0,1.0,80,left,100,0,40,right,0,60,base,0,4.785718001476286,0
scenario97,c1,right,60,0.6,40,left,60,60,20,right,0,20,base,0,4.139657638657355,0
scenario98,c4,right,0,0.6,60,right,60,20,40,base,40,20,left,1,0.0,1
scenario99,c1,right,80,0.8,60,base,0,100,40,right,60,80,left,0,4.109218797616791,0
scenario100,c2,left,60,0.8,20,right,40,80,0,base,60,40,base,0,4.0167198945344245,0
scenario101,c4,base,0,0.4,20,right,40,40,80,base,40,0,left,1,0.0,1
scenario102,c4,right,20,0.2,0,right,60,80,40,base,0,40,left,1,0.0,1
scenario103,c4,base,80,0.2,0,left,100,60,100,right,100,100,right,1,0.0,1
scenario104,c4,base,100,0.1,20,left,80,40,60,right,20,80,right,1,0.0,1
scenario105,c4,base,100,0.2,60,right,20,20,40,base,100,80,left,1,0.0,1
scenario106,c1,left,100,0.6,40,left,0,80,20,right,40,20,base,0,4.4921221595227845,0
scenario107,c2,base,0,0.2,100,base_left_lane,20,20,100,left,20,20,right,0,6.531431167117543,0
scenario108,c4,right,60,1.0,20,right,60,60,100,base,0,80,left,1,0.0,1
scenario109,c4,base,80,0.2,0,left,60,40,40,base,80,0,right,0,3.4249508782996907,0
scenario110,c2,left,100,0.6,0,base_left_lane,100,60,80,left,80,40,right,0,2.603835194729035,0
scenario111,c4,base,80,1.0,80,left,20,0,20,right,40,60,right,1,0.0,1
scenario112,c1,right,100,0.4,0,left,60,0,40,right,40,100,base,0,4.459199476433206,0
scenario113,c2,left,40,0.1,100,right,0,40,40,left,80,80,base,0,3.33914076901034,0
scenario114,c4,base,80,1.0,0,left,40,100,20,base,100,40,right,0,2.98692559537788,0
scenario115,c4,right,20,0.8,20,right,100,80,0,base,80,20,left,0,9999.0,0
scenario116,c1,right,0,0.8,20,left,20,20,80,right,0,20,base,0,4.595944577969008,0
scenario117,c1,left,20,0.6,80,left,60,0,100,right,100,100,base,0,4.57214450657998,0
scenario118,c2,base,80,1.0,40,base_left_lane,40,0,60,left,60,60,right,0,3.1511682321013663,0
scenario119,c1,right,100,0.4,40,base,80,60,20,right,80,40,left,0,5.233318275303525,0
scenario120,c2,left,60,0.6,100,right,40,40,60,base,0,60,base,0,3.987946206381369,0
scenario121,c4,base,20,0.1,0,right,60,40,20,base,80,40,left,1,0.0,1
scenario122,c2,left,60,0.6,100,right,80,40,0,base,60,80,base,0,4.070026953676695,0
scenario123,c1,right,100,0.8,80,base,0,80,100,right,0,80,left,0,3.4743700930995183,0
scenario124,c1,right,40,0.4,60,base_left_lane,80,100,80,left,0,100,left,1,0.0,1
scenario125,c2,left,0,1.0,100,right,40,0,20,left,20,40,base,0,4.9403678069658445,0
scenario126,c1,right,60,0.2,20,base_left_lane,60,20,80,left,0,60,left,1,0.0,1
scenario127,c1,right,40,0.1,40,base,80,60,40,right,100,80,left,0,2.9513807160333982,0
scenario128,c4,right,80,0.1,40,right,40,40,60,base,0,0,left,1,0.0,1
scenario129,c4,base,80,0.4,100,left,20,100,40,right,20,100,right,1,0.0,1
scenario130,c2,base,100,0.1,80,base_left_lane,80,20,0,left,0,60,right,0,6.061147001834168,0
scenario131,c1,right,20,1.0,100,left,40,20,100,right,100,80,base,0,9999.0,0
