Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,c1,base,right,left,right,0.4,100,0,60,60,40,100,40,1,0.0,1
scenario2,c2,right,left,base,left,0.1,40,20,40,80,100,20,60,0,2991.2592461671347,0
scenario3,c4,left,base,right,base,0.2,20,80,100,100,0,80,40,0,1.915943906700376,0
scenario4,c4,right,base,left,right,1.0,0,40,20,0,80,40,60,0,0.8691850973861599,0
scenario5,c2,right,left,base,left,0.8,100,100,100,20,20,60,40,1,0.0,1
scenario6,c4,left,right,right,base,1.0,20,60,0,40,60,0,60,1,0.0,1
scenario7,c2,base,left,right,left,0.2,80,0,80,40,20,20,0,0,4.036176161864167,0
scenario8,c4,right,base,left,base,0.6,80,100,0,80,80,100,80,0,2.955011420829164,0
scenario9,c2,base,left,right,left,0.4,60,60,100,0,100,100,100,0,4.336263821430545,0
scenario10,c2,base,left,right,base,0.1,0,40,40,20,60,100,40,0,3.33284703338929,0
scenario11,c4,right,base,left,base,0.2,40,100,60,40,40,40,20,0,3.213178679024582,0
scenario12,c1,left,right,base,right,0.4,0,20,100,60,0,0,80,0,1394.0709693970018,0
scenario13,c1,left,right,base,left,0.6,0,80,80,100,100,40,0,0,2617.591325981635,0
scenario14,c4,left,right,right,base,0.8,60,40,80,60,80,60,20,1,0.0,1
scenario15,c1,left,right,base,right,0.1,100,100,20,100,80,80,100,0,2.873137398294301,0
scenario16,c1,left,right,base,right,0.6,60,60,20,40,20,40,80,0,3.3102521935347795,0
scenario17,c1,base,left,left,right,0.4,80,40,0,100,100,0,20,0,2.699347072466317,0
scenario18,c4,right,base,left,right,0.8,20,60,60,100,100,60,80,1,0.0,1
scenario19,c4,right,base,left,right,0.2,60,80,40,20,80,20,100,1,0.0,1
scenario20,c4,right,base,left,base,0.6,20,0,100,0,40,20,60,1,0.0,1
scenario21,c4,right,base,left,base,0.8,0,0,20,80,60,80,0,0,1.9475670013116693,0
scenario22,c2,base,left,right,left,0.1,0,100,80,0,20,0,20,0,4.451761471986558,0
scenario23,c2,base,left,right,left,0.1,80,80,0,60,40,60,60,0,4.593725284195461,0
scenario24,c4,left,right,right,base,1.0,100,20,60,0,20,80,0,1,0.0,1
scenario25,c2,base,left,right,left,0.8,20,20,40,0,20,40,100,0,3.538526889797484,0
scenario26,c2,right,base,base,left,1.0,40,80,20,40,0,100,100,0,3.9051619201166985,0
scenario27,c2,base,left,right,left,1.0,100,40,40,100,20,20,80,0,5.416090309037958,0
scenario28,c4,right,base,left,base,0.4,80,60,40,20,40,80,0,0,2.7364936811572087,0
scenario29,c2,base,left,right,left,0.6,40,60,40,40,80,60,40,0,5.129415541984251,0
scenario30,c2,right,base,base,left,0.6,100,60,60,20,80,0,20,0,2.94256149917626,0
scenario31,c1,left,right,base,right,0.2,40,40,80,100,40,100,60,0,3.136468092579763,0
scenario32,c1,left,right,base,left,0.4,0,100,0,80,40,20,100,0,4956.191395974502,0
scenario33,c1,left,right,base,right,1.0,100,0,0,80,0,60,20,0,2.270318724423711,0
scenario34,c2,base,left,right,left,0.4,60,40,60,80,0,40,0,0,3.2238244583166384,0
scenario35,c2,right,base,base,left,1.0,40,0,80,60,80,80,80,0,4.302766338520809,0
scenario36,c1,base,left,left,right,0.6,0,20,20,20,0,20,40,0,9999.0,0
scenario37,c1,base,right,left,right,0.1,20,0,80,20,0,0,0,0,4.969195039450242,0
scenario38,c1,base,left,left,right,0.1,20,60,100,80,80,40,40,0,5.285199142751922,0
