Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario54,40,100,0,20,60,0.6,0,100,0,40,100,c4,1e-05,right,base,left,base,0,2.7490551419593365,0
scenario55,20,100,0,40,0,0.8,20,80,0,60,0,c1,1e-05,base,right,left,right,0,4.568827868364632,0
scenario56,60,40,20,0,0,0.8,20,0,0,60,0,c2,1e-05,right,base,base,left,0,2.0874351248346694,0
scenario57,40,20,20,0,100,0.1,0,100,0,60,0,c4,1e-05,left,base,right,base,0,9999.0,0
scenario58,20,80,20,80,80,0.0,100,0,0,60,20,c1,1e-05,left,right,base,right,0,1.7746852070137458,0
scenario59,20,20,40,100,60,0.6,0,100,0,60,20,c2,1e-05,base,left,right,base,0,4.375194312267432,0
scenario60,0,20,0,20,60,0.2,0,100,0,60,20,c4,1e-05,left,right,right,base,0,9999.0,0
scenario61,60,100,20,0,20,0.8,40,60,0,60,40,c1,1e-05,base,left,left,right,0,8.028595804063897,0
scenario62,40,60,40,80,40,0.6,20,0,0,60,40,c2,1e-05,base,left,right,left,0,1.3660805152965472,0
scenario63,20,20,100,0,80,0.4,100,0,0,60,40,c4,1e-05,right,base,left,right,0,0.8668554440984414,0
scenario64,60,20,0,0,80,0.6,60,100,0,60,60,c1,1e-05,left,right,base,left,0,5.3328862485120965,0
scenario65,60,100,40,0,100,0.6,0,100,0,60,60,c2,1e-05,right,left,base,left,0,5.197828016789079,0
scenario66,80,40,100,0,80,0.4,60,40,0,60,60,c4,1e-05,right,base,left,base,0,2.956115133857231,0
scenario67,40,80,40,0,80,0.4,100,100,0,60,80,c1,1e-05,base,right,left,right,0,9999.0,0
scenario68,20,60,0,20,100,0.1,80,20,0,60,80,c2,1e-05,right,base,base,left,0,2.45169740172128,0
scenario69,60,100,60,0,100,0.2,100,0,0,60,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario70,60,20,20,40,40,0.8,60,40,0,60,100,c1,1e-05,left,right,base,right,0,2.7559670201645727,0
scenario71,40,40,20,100,0,0.6,100,0,0,60,100,c2,1e-05,base,left,right,base,0,3.542673509697238,0
scenario72,60,60,20,100,40,0.1,0,100,0,60,100,c4,1e-05,left,right,right,base,0,9999.0,0
scenario73,0,100,0,40,40,0.6,80,20,0,80,0,c1,1e-05,base,left,left,right,0,4.554195360886672,0
scenario74,20,20,0,60,100,0.6,0,100,0,80,0,c2,1e-05,base,left,right,left,0,4.681104888544056,0
scenario75,20,20,40,100,100,0.1,40,60,0,80,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario76,80,20,0,0,0,0.6,0,100,0,80,20,c1,1e-05,left,right,base,left,0,5.918469455965753,0
scenario77,80,20,60,100,60,0.2,0,100,0,80,20,c2,1e-05,right,left,base,left,0,9999.0,0
