Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario73,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario74,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario75,c2,right,left,base,left,0,0,100,20,20,60,20,0.4,False,3.261,0
scenario76,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,False,2.083,0
scenario77,c4,left,base,right,base,60,100,80,20,100,0,100,0.2,False,2.152,0
scenario78,c1,base,right,left,right,0,20,20,40,80,40,100,0.1,False,4.599,0
scenario79,c2,base,left,right,left,60,0,40,0,20,80,0,1.0,False,3.214,0
scenario80,c2,base,left,right,base,60,0,0,20,60,20,0,0.6,False,2.593,0
scenario81,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,3.166,0
scenario82,c4,left,base,right,base,40,100,60,20,100,0,100,0.2,False,2.566,0
scenario83,c1,base,right,left,right,100,80,20,100,60,100,20,0.8,False,3489.355,0
scenario84,c2,base,left,right,left,0,20,20,40,60,20,0,0.6,False,3.635,0
scenario85,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,False,2.612,0
scenario86,c2,right,base,base,left,20,0,0,0,80,20,40,0.4,False,3.463,0
scenario87,c1,base,right,left,right,60,20,0,60,80,0,40,0.2,False,2.841,0
scenario88,c2,right,left,base,left,20,0,100,0,20,0,20,0.1,False,3.4,0
scenario89,c2,base,left,right,base,40,0,20,20,40,20,20,0.4,False,2.436,0
scenario90,c2,base,left,right,base,40,0,20,0,40,20,40,0.2,False,4.089,0
scenario91,c2,base,left,right,base,80,0,20,40,80,40,20,0.2,False,4.094,0
scenario92,c4,left,base,right,base,40,0,0,20,60,20,20,0.2,True,0.0,1
scenario93,c4,left,base,right,base,40,20,20,0,60,20,20,0.2,False,2.619,0
scenario94,c2,right,base,base,left,60,0,0,0,80,20,40,0.1,False,3.358,0
scenario95,c1,base,left,left,right,60,20,0,20,80,0,20,0.4,False,2.877,0
scenario96,c1,base,right,left,right,40,20,0,100,80,40,20,0.1,False,4.893,0
scenario97,c4,left,base,right,base,40,0,0,20,60,20,20,0.2,False,1.761,0
scenario98,c4,left,right,right,base,60,0,0,0,60,20,0,0.1,False,2.306,0
scenario99,c1,left,right,base,right,40,0,20,20,20,40,40,0.1,False,3.191,0
scenario100,c1,left,right,base,right,0,20,0,0,100,20,60,0.4,False,2.339,0
scenario101,c2,base,left,right,base,60,0,0,20,60,40,40,0.4,False,2.633,0
scenario102,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario103,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario104,c2,right,left,base,left,0,0,100,20,20,60,20,0.4,False,4450.877,0
scenario105,c2,base,left,right,base,40,0,0,20,60,20,20,0.2,True,0.0,1
scenario106,c4,left,base,right,base,60,100,80,20,100,0,100,0.2,False,2.162,0
scenario107,c1,base,right,left,right,0,20,20,40,80,40,100,0.1,False,5.086,0
scenario108,c2,base,left,right,left,60,0,40,0,20,80,0,1.0,False,5.154,0
scenario109,c2,base,left,right,base,60,0,0,20,60,20,0,0.6,False,2.236,0
scenario110,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,7834.918,0
scenario111,c4,left,base,right,base,40,100,60,20,100,0,100,0.2,False,1.887,0
scenario112,c1,base,right,left,right,100,80,20,100,60,100,20,0.8,False,9999.0,0
scenario113,c2,base,left,right,left,0,20,20,40,60,20,0,0.6,False,4.446,0
scenario114,c4,left,base,right,base,40,100,60,20,100,0,100,0.2,False,2.075,0
scenario115,c1,left,right,base,right,0,100,60,40,100,0,100,0.4,False,2.686,0
scenario116,c1,left,right,base,right,40,100,40,20,20,0,100,0.1,False,3.659,0
scenario117,c4,right,base,left,base,20,100,60,20,100,20,100,0.2,False,2.506,0
scenario118,c2,right,left,base,left,40,20,40,20,100,0,100,0.1,False,2.323,0
scenario119,c4,right,base,left,base,20,100,80,40,100,80,100,0.4,False,3.615,0
scenario120,c4,right,base,left,right,20,100,100,0,100,0,100,0.4,True,0.0,1
scenario121,c4,left,base,right,base,20,100,60,0,100,0,100,0.2,False,2.063,0
scenario122,c4,left,right,right,base,20,100,40,0,100,0,100,0.1,True,0.0,1
scenario123,c4,right,base,left,right,20,100,60,60,80,80,100,0.8,True,0.0,1
scenario124,c4,left,base,right,base,80,100,40,20,100,20,20,0.6,False,2.168,0
scenario125,c2,right,base,base,left,60,100,40,20,80,100,100,0.2,False,9999.0,0
scenario126,c4,right,base,left,right,20,100,100,0,100,0,100,0.4,True,0.0,1
scenario127,c1,base,left,left,right,40,80,40,40,60,100,100,0.8,False,5.095,0
scenario128,c2,right,left,base,left,40,40,80,20,80,0,100,0.2,False,2.441,0
scenario129,c2,right,left,base,left,60,20,100,20,0,20,80,0.1,False,8886.195,0
scenario130,c1,left,right,base,left,20,100,60,20,100,0,100,0.4,False,2.221,0
scenario131,c2,base,left,right,base,20,100,20,0,40,20,80,0.1,False,2.83,0
scenario132,c4,right,base,left,right,20,100,40,40,100,100,100,0.8,True,0.0,1
scenario133,c1,left,right,base,right,40,80,60,20,0,0,80,0.1,False,1408.672,0
scenario134,c4,right,base,left,right,20,80,80,60,80,60,100,1.0,True,0.0,1
scenario135,c1,left,right,base,right,0,80,80,80,80,0,100,0.4,False,3.095,0
scenario136,c1,left,right,base,left,0,40,80,0,100,40,100,0.2,False,3.75,0
scenario137,c1,left,right,base,left,80,100,60,20,60,0,20,0.2,False,2.322,0
scenario138,c4,right,base,left,right,20,100,100,0,100,0,100,0.4,True,0.0,1
scenario139,c1,base,left,left,right,0,100,60,60,100,60,100,0.2,False,5.204,0
scenario140,c1,left,right,base,right,0,100,20,60,100,100,20,1.0,False,3.09,0
scenario141,c4,left,right,right,base,80,100,60,40,60,0,0,0.2,False,2.46,0
scenario142,c4,left,right,right,base,20,80,60,0,100,40,100,1.0,False,2.458,0
scenario143,c4,right,base,left,base,20,80,80,80,80,0,80,0.6,False,3.163,0
scenario144,c4,right,base,left,right,20,100,20,60,100,100,100,0.8,True,0.0,1
scenario145,c4,left,base,right,base,100,80,40,0,0,0,20,0.2,False,9999.0,0
scenario146,c1,left,right,base,left,80,100,40,80,60,20,40,0.2,False,2.336,0
scenario147,c2,right,left,base,left,40,100,80,20,60,0,20,0.4,False,2.715,0
scenario148,c2,right,left,base,left,40,20,100,80,0,20,60,0.2,False,4.265,0
scenario149,c1,left,right,base,right,100,100,40,0,80,0,0,0.4,False,2.682,0
scenario150,c4,right,base,left,right,20,100,100,0,100,0,100,0.4,False,0.998,0
scenario151,c4,right,base,left,right,60,100,60,100,60,0,40,0.2,True,0.0,1
scenario152,c4,left,base,right,base,80,100,80,60,0,0,0,0.2,False,9999.0,0
scenario153,c2,right,base,base,left,60,100,60,20,80,0,20,0.6,False,2.407,0
scenario154,c4,left,base,right,base,100,60,40,0,20,0,20,0.1,True,0.0,1
scenario155,c4,left,right,right,base,20,100,60,0,80,60,80,1.0,False,2.788,0
scenario156,c4,left,base,right,base,100,100,0,40,40,0,20,0.8,True,0.0,1
scenario157,c1,left,right,base,right,0,80,100,0,80,0,0,0.2,False,2.458,0
scenario158,c1,left,right,base,right,0,100,0,80,100,100,20,1.0,False,3.235,0
scenario159,c2,base,left,right,left,40,80,60,0,40,40,80,0.8,False,4.935,0
scenario160,c1,left,right,base,right,100,40,60,0,80,100,0,0.4,False,3.622,0
scenario161,c4,left,base,right,base,100,100,60,40,80,0,0,0.2,False,2.5,0
scenario162,c4,right,base,left,right,60,100,60,100,60,0,40,0.2,True,0.0,1
scenario163,c4,left,base,right,base,80,100,80,80,100,0,0,0.1,False,1.913,0
scenario164,c2,base,left,right,base,0,100,40,0,80,60,80,1.0,False,4.022,0
scenario165,c4,left,right,right,base,100,80,60,40,0,0,40,0.4,False,9999.0,0
scenario166,c1,left,right,base,right,80,100,60,60,0,0,100,0.1,False,2485.959,0
scenario167,c4,right,base,left,right,100,40,40,20,0,0,0,0.1,True,0.0,1
scenario168,c4,left,base,right,base,80,100,20,20,80,0,20,0.2,False,1.902,0
scenario169,c2,right,base,base,left,60,0,80,20,80,0,40,0.4,False,2.294,0
scenario170,c4,left,base,right,base,80,100,80,40,0,20,60,0.1,False,9999.0,0
scenario171,c1,left,right,base,right,0,60,80,0,0,0,0,0.1,False,7713.59,0
scenario172,c4,right,base,left,right,80,80,0,100,60,0,60,0.6,True,0.0,1
scenario173,c2,right,left,base,left,40,100,40,0,40,20,60,0.8,False,3.104,0
scenario174,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario175,c4,right,base,left,right,40,100,80,0,100,0,100,0.2,True,0.0,1
scenario176,c4,right,base,left,right,0,100,80,0,100,20,100,0.2,True,0.0,1
scenario177,c4,left,base,right,base,20,100,100,0,20,0,100,0.4,True,0.0,1
scenario178,c4,right,base,left,right,0,60,100,80,40,100,80,1.0,True,0.0,1
scenario179,c2,base,left,right,base,60,0,0,20,60,20,0,1.0,False,1.918,0
scenario180,c4,right,base,left,right,0,60,100,80,60,60,60,0.4,True,0.0,1
scenario181,c2,base,left,right,left,0,20,20,40,60,20,20,0.4,False,3.392,0
scenario182,c4,right,base,left,base,0,20,40,20,80,40,100,0.1,False,3.205,0
scenario183,c4,right,base,left,right,0,60,100,80,60,100,80,0.8,True,0.0,1
scenario184,c2,base,left,right,left,20,0,100,0,100,0,100,0.4,False,2.905,0
scenario185,c2,base,left,right,base,0,0,20,40,60,20,0,0.8,True,0.0,1
scenario186,c2,base,left,right,base,60,0,0,20,60,20,0,1.0,False,2.144,0
scenario187,c2,base,left,right,base,60,20,60,20,80,20,80,0.8,False,2.782,0
scenario188,c1,left,right,base,left,60,0,100,20,40,0,20,1.0,False,4.585,0
scenario189,c2,right,left,base,left,60,20,0,80,60,20,80,0.2,False,3.856,0
scenario190,c2,right,left,base,left,80,0,20,80,60,0,20,1.0,False,2.321,0
scenario191,c2,base,left,right,base,80,20,20,40,60,40,0,0.4,False,3.936,0
scenario192,c2,base,left,right,base,40,0,20,20,40,20,0,0.8,False,2.552,0
scenario193,c1,base,right,left,right,40,0,20,20,40,20,0,1.0,False,4.781,0
scenario194,c2,base,left,right,base,60,0,20,0,40,20,20,1.0,False,3.971,0
scenario195,c2,base,left,right,base,80,0,20,40,80,40,0,1.0,True,0.0,1
scenario196,c4,left,base,right,base,60,0,0,20,60,20,0,1.0,False,1.802,0
scenario197,c4,left,base,right,base,60,20,20,0,60,20,0,1.0,True,0.0,1
scenario198,c2,base,left,right,base,80,0,20,40,80,40,0,1.0,True,0.0,1
scenario199,c2,base,left,right,base,40,0,0,0,20,40,20,1.0,False,3.043,0
scenario200,c2,right,base,base,left,100,20,40,40,80,60,0,1.0,False,3.872,0
scenario201,c1,base,right,left,right,20,20,20,100,60,40,0,0.6,False,5.298,0
scenario202,c4,left,right,right,base,60,0,0,0,40,20,0,0.1,True,0.0,1
scenario203,c1,left,right,base,right,80,0,20,20,40,60,0,0.2,False,3.574,0
scenario204,c1,base,right,left,right,40,40,60,20,100,20,100,0.8,False,2.98,0
scenario205,c2,base,left,right,base,60,0,0,20,60,40,20,1.0,False,3.966,0
scenario206,c4,right,base,left,base,80,0,20,40,40,40,20,0.8,False,3.478,0
scenario207,c1,left,right,base,right,40,100,0,40,60,20,0,1.0,False,2.702,0
scenario208,c1,base,right,left,right,20,0,40,20,40,0,0,0.8,False,4.895,0
scenario209,c2,base,left,right,left,60,0,20,40,40,20,0,1.0,False,3.803,0
scenario210,c2,base,left,right,base,80,0,20,40,80,40,0,1.0,False,2.518,0
scenario211,c1,left,right,base,right,40,100,20,60,40,20,0,1.0,False,2.577,0
scenario212,c1,left,right,base,right,100,20,40,40,60,60,0,1.0,False,3.09,0
scenario213,c2,base,left,right,left,80,0,20,60,40,100,0,0.6,False,3.474,0
scenario214,c4,right,base,left,right,60,0,0,0,0,20,20,0.2,True,0.0,1
scenario215,c1,left,right,base,left,80,0,0,20,60,20,20,0.8,False,4.435,0
scenario216,c1,base,right,left,right,20,0,20,20,20,0,0,1.0,False,3.821,0
scenario217,c2,right,left,base,left,40,0,0,0,40,60,40,1.0,False,3.924,0
scenario218,c1,left,right,base,right,100,20,40,40,100,80,0,1.0,False,2.89,0
scenario219,c1,base,right,left,right,40,0,20,40,80,40,0,0.8,False,5.2,0
scenario220,c1,left,right,base,left,20,80,20,20,80,20,0,0.8,False,2.714,0
scenario221,c2,base,left,right,left,80,0,0,20,0,40,40,0.8,False,3.894,0
scenario222,c4,right,base,left,right,60,0,0,0,0,20,20,0.2,True,0.0,1
scenario223,c1,left,right,base,left,40,20,0,0,20,60,60,0.8,False,5.517,0
scenario224,c4,right,base,left,base,20,0,40,40,20,20,0,0.6,False,3.092,0
scenario225,c4,right,base,left,base,20,0,20,60,60,80,20,1.0,False,3.114,0
scenario226,c2,right,left,base,left,40,0,60,80,60,40,0,1.0,False,4.065,0
scenario227,c2,right,left,base,left,100,20,20,40,80,60,0,1.0,False,3.789,0
scenario228,c4,left,right,right,base,40,0,0,0,0,20,40,0.8,False,9999.0,0
scenario229,c2,right,base,base,left,80,0,40,40,80,40,80,0.8,False,3.989,0
scenario230,c2,base,left,right,left,40,20,60,40,100,20,0,0.8,False,4.411,0
scenario231,c1,base,right,left,right,20,0,40,40,60,40,0,1.0,False,5.195,0
scenario232,c1,base,left,left,right,80,20,0,0,40,40,100,0.8,False,4.758,0
scenario233,c1,base,right,left,right,40,80,60,80,20,80,0,1.0,False,9999.0,0
scenario234,c4,right,base,left,right,60,0,0,0,0,20,20,0.2,True,0.0,1
scenario235,c4,left,right,right,base,80,40,60,0,40,80,20,0.6,False,2.459,0
scenario236,c1,base,right,left,right,60,40,0,0,60,60,100,0.4,False,5.085,0
scenario237,c1,left,right,base,left,20,0,20,60,20,40,100,0.8,False,5.053,0
scenario238,c2,base,left,right,left,80,40,40,20,60,40,80,0.8,False,5.159,0
scenario239,c1,left,right,base,right,40,20,60,80,60,60,0,1.0,False,3.616,0
