Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario55,20,80,0,0,0,0.8,0,100,0,60,0,c1,0.05148,base,right,left,right,0,5345.155038820766,0
scenario56,20,80,0,100,40,0.6,0,100,0,60,0,c2,0.00125,base,left,right,left,0,3.639956005263067,0
scenario57,40,40,0,0,0,0.8,0,100,0,60,0,c4,0.02135,left,right,right,base,0,9999.0,0
scenario58,20,20,0,20,40,0.8,0,100,0,60,20,c1,0.00885,base,left,left,right,0,9999.0,0
scenario59,20,80,0,20,40,0.8,0,100,0,60,20,c2,0.00748,right,left,base,left,0,9999.0,0
scenario60,20,60,0,40,40,0.8,0,100,0,60,20,c4,0.00256,right,base,left,base,0,3.220579244766991,0
scenario61,20,20,0,0,100,0.2,0,100,0,60,40,c1,0.0017,left,right,base,left,0,1212.6093843708022,0
scenario62,20,100,0,0,0,0.8,0,100,0,60,40,c2,0.04891,base,left,right,base,0,4.145295362005659,0
scenario63,60,20,0,60,40,0.6,0,100,0,60,40,c4,0.00123,right,base,left,right,1,0.0,1
scenario64,20,60,0,0,0,0.8,0,100,0,60,60,c1,0.04996,left,right,base,right,0,1131.0687155554224,0
scenario65,60,40,0,0,0,0.8,0,100,0,60,60,c2,0.02163,right,base,base,left,0,9999.0,0
scenario66,60,20,0,0,0,0.8,0,100,0,60,60,c4,0.02033,left,base,right,base,0,9999.0,0
scenario67,60,80,0,0,0,0.8,0,100,0,60,80,c1,0.01823,base,right,left,right,0,9999.0,0
scenario68,40,100,0,0,0,0.8,0,100,0,60,80,c2,0.01778,base,left,right,left,0,4.863534521437581,0
scenario69,40,60,0,0,0,0.8,0,100,0,60,80,c4,0.01721,left,right,right,base,0,9999.0,0
scenario70,20,40,0,20,40,0.8,0,100,0,60,100,c1,0.00954,base,left,left,right,0,9944.78080980534,0
scenario71,20,100,0,20,40,0.8,0,100,0,60,100,c2,0.00786,right,left,base,left,0,9999.0,0
