Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,0,80,0,0,100,0.1,0,100,0,0,0,c1,1e-05,base,left,left,right,0,3.808422309827999,0
scenario2,60,60,60,100,40,0.6,100,0,0,0,0,c2,1e-05,base,left,right,left,0,3.115150259162032,0
scenario3,20,20,20,80,0,0.6,0,100,0,0,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario4,20,100,0,0,0,0.2,80,20,0,0,20,c1,1e-05,left,right,base,left,0,4.0081206561734986,0
scenario5,20,40,100,0,80,0.4,40,60,0,0,20,c2,1e-05,right,left,base,left,0,3.869743855837169,0
scenario6,60,40,20,80,100,0.6,20,80,0,0,20,c4,1e-05,right,base,left,base,0,3.0810883730502843,0
scenario7,60,100,0,0,0,0.0,0,100,0,0,40,c1,1e-05,base,right,left,right,0,9999.0,0
scenario8,80,80,0,20,100,0.6,80,20,0,0,40,c2,1e-05,right,base,base,left,0,2.658993315734604,0
scenario9,40,20,20,0,40,0.8,20,80,0,0,40,c4,1e-05,left,base,right,base,0,1.994591960393678,0
scenario10,40,100,60,100,40,0.6,0,100,0,0,60,c1,1e-05,left,right,base,right,0,971.2779381173788,0
scenario11,60,20,20,20,0,0.8,100,0,0,0,60,c2,1e-05,base,left,right,base,0,2.259393334557355,0
scenario12,20,100,100,0,80,0.8,100,0,0,0,60,c4,1e-05,left,right,right,base,0,1.742135981099375,0
scenario13,40,20,100,100,40,0.6,20,80,0,0,80,c1,1e-05,base,left,left,right,0,4.508774424755306,0
scenario14,20,100,20,40,60,0.8,40,60,0,0,80,c2,1e-05,base,left,right,left,0,5.286420578806486,0
scenario15,80,60,0,0,100,0.4,20,80,0,0,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario16,40,80,100,0,0,0.8,80,20,0,0,100,c1,1e-05,left,right,base,left,0,3.4388301322511707,0
scenario17,20,20,40,0,100,0.2,100,0,0,0,100,c2,1e-05,right,left,base,left,0,3.2088222694684148,0
scenario18,0,40,0,100,40,0.6,80,20,0,0,100,c4,1e-05,right,base,left,base,0,3.263877030404238,0
scenario19,80,20,0,100,40,0.6,80,20,0,20,0,c1,1e-05,base,right,left,right,0,4.599579877979934,0
scenario20,20,20,20,60,40,0.6,100,80,0,20,0,c2,1e-05,right,base,base,left,0,4733.915287364252,0
scenario21,80,60,40,40,0,0.8,40,60,0,20,0,c4,1e-05,left,base,right,base,0,2.096058044794736,0
scenario22,80,20,0,0,60,0.2,80,20,0,20,20,c1,1e-05,left,right,base,right,0,2.54378023068883,0
scenario23,20,100,20,0,80,0.8,100,0,0,20,20,c2,1e-05,base,left,right,base,0,2.666187196476321,0
scenario24,20,20,100,0,0,0.8,0,100,0,20,20,c4,1e-05,left,right,right,base,0,9999.0,0
scenario25,0,40,0,20,40,0.8,80,20,0,20,40,c1,1e-05,base,left,left,right,0,4.225916607671916,0
scenario26,60,100,40,100,60,0.6,60,40,0,20,40,c2,1e-05,base,left,right,left,0,4.195522793534301,0
scenario27,80,100,0,80,60,0.6,0,100,0,20,40,c4,1e-05,right,base,left,right,0,0.9767825267403076,0
scenario28,80,20,20,60,40,0.6,0,100,0,20,60,c1,1e-05,left,right,base,left,0,3279.9009780182864,0
scenario29,20,60,60,0,80,0.4,0,100,0,20,60,c2,1e-05,right,left,base,left,0,4.140903881265124,0
scenario30,20,100,0,0,80,0.4,0,20,0,20,60,c4,1e-05,right,base,left,base,0,2.89613237162999,0
scenario31,0,80,0,100,40,0.6,0,100,0,20,80,c1,1e-05,base,right,left,right,0,4624.189472038988,0
scenario32,60,100,0,60,40,0.6,100,0,0,20,80,c2,1e-05,right,base,base,left,0,4.0755466082899865,0
scenario33,20,20,0,20,100,0.2,40,60,0,20,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario34,60,100,80,0,100,0.2,40,60,0,20,100,c1,1e-05,left,right,base,right,0,2.832860873583402,0
scenario35,20,80,60,80,0,0.6,40,60,0,20,100,c2,1e-05,base,left,right,base,0,3.4178498993074,0
scenario36,20,20,0,40,0,0.8,40,60,0,20,100,c4,1e-05,left,right,right,base,1,0.0,1
scenario37,80,20,40,0,80,0.4,40,60,0,40,0,c1,1e-05,base,left,left,right,0,4.543629229459208,0
scenario38,20,100,60,0,0,0.8,40,60,0,40,0,c2,1e-05,base,left,right,left,0,4.203577281271228,0
