instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c4,2,0,1,0,1.0,80,100,40,60,20,100,20,0,3.046640730433615,0
scenario2,c4,1,2,2,0,0.8,40,0,0,20,100,60,40,0,2.0062020763820985,0
scenario3,c4,2,0,1,2,0.2,100,20,60,100,40,0,60,1,0.0,1
scenario4,c4,1,0,2,0,0.1,60,60,80,0,80,80,0,0,2.3158544898572493,0
scenario5,c4,2,0,1,0,0.4,20,40,20,40,60,20,80,0,3.44515621389145,0
scenario6,c4,1,2,2,0,0.6,0,80,100,80,0,40,100,0,9999.0,0
scenario7,c2,0,1,2,1,1.0,80,100,40,60,20,100,20,0,3.3938363698648235,0
scenario8,c2,2,1,0,1,0.8,40,0,0,20,100,60,20,0,3.716346194296319,0
scenario9,c2,2,0,0,1,0.2,100,20,60,100,40,0,20,0,2.630895184939587,0
scenario10,c2,0,1,2,0,0.8,80,0,0,20,100,100,40,0,4.05585846581709,0
scenario11,c2,0,1,2,1,0.2,40,60,40,0,80,100,20,0,4.875165072002699,0
scenario12,c2,2,1,0,1,0.2,80,100,0,20,60,60,20,0,2.537434521801785,0
scenario13,c2,2,0,0,1,0.8,80,100,40,20,40,0,60,0,3.810629326569413,0
scenario14,c2,0,1,2,0,1.0,100,20,0,20,40,100,60,0,4.17975348277428,0
scenario15,c2,0,1,2,1,1.0,40,100,80,40,0,60,20,0,4.155304377971698,0
scenario16,c2,2,1,0,1,0.8,60,40,40,60,20,60,20,0,3.708902791695905,0
scenario17,c2,2,0,0,1,1.0,80,20,0,100,80,0,0,1,0.0,1
scenario18,c2,0,1,2,0,0.2,40,40,0,60,20,100,0,0,2.563090432712355,0
scenario19,c2,0,1,2,1,0.1,80,60,60,20,20,80,20,0,4.785713987415766,0
scenario20,c2,2,1,0,1,1.0,40,100,40,100,60,100,40,0,3.737254671705552,0
scenario21,c2,2,0,0,1,0.4,40,80,20,60,20,0,20,0,4.016784815307193,0
scenario22,c1,0,2,1,2,1.0,20,0,40,80,20,20,20,0,4.12366707280829,0
scenario23,c2,0,1,2,0,0.2,100,100,40,60,20,60,40,0,4.17923010071636,0
scenario24,c1,1,2,0,1,0.1,80,40,60,0,0,100,80,0,5.088102197877056,0
scenario25,c2,0,1,2,1,0.2,0,0,100,60,100,40,20,0,4.797415529342333,0
scenario26,c2,2,1,0,1,1.0,80,80,80,40,100,0,40,0,3.932518822074005,0
scenario27,c2,2,0,0,1,0.8,100,100,80,40,100,100,0,0,2.792574845460246,0
scenario28,c2,0,1,2,0,0.2,60,100,60,60,80,100,60,0,4.025247129563902,0
scenario29,c2,0,1,2,1,1.0,40,60,0,0,20,60,60,0,5.033521173627791,0
scenario30,c2,2,1,0,1,0.1,100,0,40,20,100,0,0,0,2.520008902735244,0
scenario31,c2,2,0,0,1,0.6,20,80,20,60,40,100,20,0,4.089073886122766,0
scenario32,c2,0,1,2,0,0.8,40,20,40,100,40,60,0,0,3.994224843308464,0
scenario33,c2,0,1,2,1,0.8,80,20,20,60,80,20,40,0,4.201286957267514,0
scenario34,c2,2,1,0,1,0.8,0,100,60,0,60,100,40,0,3.304557499764728,0
scenario35,c1,0,1,1,2,0.8,80,60,100,20,80,40,40,0,4.4494355348325,0
scenario36,c2,2,0,0,1,1.0,60,60,60,60,60,0,40,0,3.5230414480622536,0
scenario37,c2,0,1,2,0,1.0,80,40,60,80,80,60,100,0,4.05786357083565,0
scenario38,c2,0,1,2,1,1.0,40,20,60,100,20,80,60,0,6.721468597920507,0
scenario39,c1,1,2,0,2,0.1,60,100,0,80,40,100,40,0,3.0016823643221024,0
scenario40,c2,2,1,0,1,0.8,20,0,40,40,0,80,60,0,9999.0,0
scenario41,c2,2,0,0,1,0.2,60,100,0,20,0,80,40,0,4.050354799171229,0
scenario42,c2,0,1,2,0,0.2,100,60,80,0,80,0,0,0,3.3639159809454444,0
scenario43,c1,0,2,1,2,0.2,100,40,0,40,60,0,40,0,4.585920358795269,0
scenario44,c1,1,2,0,1,0.4,80,40,100,20,100,100,60,0,4.559146264878693,0
scenario45,c2,0,1,2,1,0.6,80,100,80,60,0,80,80,0,5.63821857185905,0
scenario46,c2,2,1,0,1,0.1,40,80,40,40,20,60,80,0,5.403019407563736,0
scenario47,c2,2,0,0,1,1.0,20,100,80,20,0,0,80,0,3.998662433453907,0
scenario48,c1,0,1,1,2,1.0,0,0,40,100,40,100,100,0,4.669412655937404,0
scenario49,c2,0,1,2,0,0.1,20,0,0,60,80,60,40,0,4.014300440908556,0
scenario50,c2,0,1,2,1,1.0,60,0,60,0,60,40,60,0,4.899612249188008,0
scenario51,c2,2,1,0,1,0.8,40,80,80,20,20,20,80,0,6463.934801716337,0
scenario52,c1,1,2,0,2,0.2,20,100,20,80,60,20,0,0,3.038147088886301,0
scenario53,c2,2,0,0,1,0.2,100,80,0,100,0,20,80,0,3.924832797368764,0
scenario54,c1,0,2,1,2,0.4,0,100,40,20,20,40,100,0,9999.0,0
scenario55,c1,1,2,0,1,1.0,40,20,20,100,100,40,100,0,7.9345591689558,0
scenario56,c2,0,1,2,0,0.8,0,60,0,80,100,60,60,0,2.827557570966748,0
scenario57,c2,0,1,2,1,0.1,40,60,0,80,40,40,60,0,3.54147524919568,0
scenario58,c2,2,1,0,1,0.6,100,20,20,20,60,80,0,1,0.0,1
scenario59,c1,0,1,1,2,0.1,0,60,60,100,100,0,0,0,9999.0,0
scenario60,c1,1,2,0,2,0.4,60,0,80,0,100,60,60,0,6.946429408537443,0
scenario61,c2,2,0,0,1,1.0,60,20,100,0,40,60,0,0,3.39302410784349,0
scenario62,c2,0,1,2,0,0.6,40,100,100,80,0,0,0,0,2.1889235087856185,0
scenario63,c1,0,2,1,2,0.6,60,80,20,100,20,60,60,0,5.357861141783555,0
scenario64,c1,1,2,0,1,0.6,100,20,40,40,40,40,40,0,4.495190643384384,0
scenario65,c2,0,1,2,1,0.4,60,60,0,40,80,80,100,0,5.033709522009656,0
scenario66,c2,2,1,0,1,0.8,20,40,80,100,40,80,100,0,6468.50222667319,0
scenario67,c1,0,1,1,2,0.6,100,20,0,80,0,20,60,0,2.8670796997635546,0
scenario68,c1,1,2,0,2,0.2,20,60,60,60,0,0,100,0,1131.8430662517053,0
scenario69,c2,2,0,0,1,0.1,20,20,80,0,60,80,80,0,9999.0,0
scenario70,c1,0,2,1,2,0.4,100,80,100,0,20,40,0,0,2.7024552895529284,0
scenario71,c1,1,2,0,1,0.6,20,0,60,40,100,80,80,0,957.6106334244388,0
scenario72,c1,0,1,1,2,0.4,0,80,60,0,80,20,40,0,9999.0,0
scenario73,c2,0,1,2,0,0.4,100,80,20,0,60,80,100,0,3.980752738704665,0
scenario74,c1,1,2,0,2,0.1,0,0,20,40,100,20,80,0,1610.2453848528796,0
scenario75,c1,0,2,1,2,0.4,0,20,100,100,40,20,80,0,3800.448542364709,0
scenario76,c1,1,2,0,1,0.6,60,60,20,0,80,20,80,0,4.847799162875584,0
scenario77,c1,0,1,1,2,0.6,0,40,80,80,0,20,80,0,4.956878171286609,0
scenario78,c1,1,2,0,2,0.4,20,40,80,80,0,40,80,0,7.178526769711692,0
scenario79,c1,0,2,1,2,0.1,0,80,100,80,60,80,100,0,4489.688975362628,0
scenario80,c1,1,2,0,1,0.6,60,40,20,100,0,20,100,0,4.297349464527872,0
scenario81,c1,0,1,1,2,0.2,20,20,100,40,20,80,60,0,5.197765728164811,0
scenario82,c1,1,2,0,2,1.0,80,100,40,0,20,100,20,0,2.728314314592501,0
scenario83,c1,0,2,1,2,1.0,80,100,60,60,20,100,20,0,3.8118319144342703,0
scenario84,c1,1,2,0,1,1.0,80,100,80,60,20,100,20,0,3.509071098535891,0
scenario85,c1,0,1,1,2,0.1,80,100,40,60,20,100,20,0,3.0517923783384195,0
scenario86,c1,1,2,0,2,1.0,80,80,40,60,20,100,20,0,2.908117854328565,0
scenario87,c1,0,2,1,2,1.0,0,100,40,60,20,100,20,0,9999.0,0
scenario88,c1,1,2,0,1,1.0,80,100,40,60,20,20,20,0,2.728443315819688,0
scenario89,c1,0,1,1,2,1.0,80,100,40,60,20,40,20,0,2.8759487725098904,0
scenario90,c1,1,2,0,2,1.0,80,100,40,60,20,100,80,0,3.4025794709282007,0
scenario91,c1,0,2,1,2,1.0,80,100,40,80,20,100,20,0,4.39390884252802,0
