instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c4,1,0,2,0,1.0,100,0,0,0,0,0,0,0,2.9407818466534983,0
scenario2,-60,c4,2,0,1,2,1.0,100,0,0,0,0,0,40,0,1.5104428824628242,0
scenario3,-60,c4,2,0,1,0,1.0,100,0,80,0,0,100,0,0,2.4981638816685776,0
scenario4,-60,c4,1,2,2,0,1.0,40,0,0,0,0,100,40,0,1.9956347634776817,0
scenario5,-60,c4,1,0,2,0,0.8,100,0,80,0,0,0,0,0,2.1510632397618896,0
scenario6,-30,c4,2,0,1,2,0.2,100,0,0,40,60,0,0,0,1.6072932245650449,0
scenario7,-60,c1,1,2,0,1,0.8,100,0,60,100,0,0,40,0,1.8030647310788457,0
scenario8,-60,c2,2,0,0,1,1.0,100,0,80,80,60,0,20,1,1.6478880843039554,1
scenario9,-60,c4,2,0,1,0,0.2,40,0,0,0,0,100,40,0,3.108094560168224,0
scenario10,-30,c4,1,2,2,0,0.8,100,0,80,0,100,40,0,0,1.892880601037892,0
scenario11,-60,c4,1,0,2,0,1.0,40,0,60,40,0,100,0,0,2.5781181634728223,0
scenario12,-60,c1,0,1,1,2,0.2,100,0,40,100,0,60,20,0,2.159858931284894,0
scenario13,-30,c1,1,2,0,2,0.2,100,20,60,0,0,100,40,0,0.9829408150841816,0
scenario14,-60,c2,0,1,2,0,0.8,60,0,80,80,0,0,40,0,3.3617981910029693,0
scenario15,-60,c1,0,2,1,2,1.0,40,20,60,0,60,0,20,0,2.5427136089287288,0
scenario16,-60,c2,0,1,2,1,0.1,100,0,60,0,0,40,0,0,3.2694495695700128,0
scenario17,0,c4,2,0,1,2,0.8,100,40,0,40,20,0,0,0,1.9638156568026133,0
scenario18,-30,c4,2,0,1,0,1.0,40,0,0,40,0,60,0,0,2.5921184457882576,0
scenario19,30,c1,1,2,0,1,1.0,100,100,80,100,100,100,100,0,1.0009822891728413,0
scenario20,-60,c1,0,1,1,2,1.0,60,0,0,0,100,60,20,0,2.110865702147588,0
scenario21,-90,c1,1,2,0,2,0.2,100,0,0,100,60,0,0,0,1.70766846801838,0
scenario22,60,c2,2,1,0,1,1.0,100,20,60,80,0,40,40,0,1.8427897510817344,0
scenario23,-30,c2,2,0,0,1,0.8,100,0,40,20,0,0,40,0,0.6007683675126184,0
scenario24,-60,c2,0,1,2,0,1.0,40,40,40,0,0,60,40,0,3.421479256336658,0
scenario25,-30,c4,1,2,2,0,0.1,60,0,60,40,20,0,0,0,1.69760493666599,0
scenario26,-30,c4,1,0,2,0,0.8,60,20,0,40,60,100,0,0,2.432044762752572,0
scenario27,90,c4,2,0,1,2,0.1,100,100,20,80,0,0,20,0,2.023706913181041,0
scenario28,0,c1,0,2,1,2,0.8,40,0,80,40,60,100,40,0,2.258398968141821,0
scenario29,30,c4,2,0,1,0,0.2,60,0,0,0,100,40,40,0,2.4406769260880807,0
scenario30,-60,c1,1,2,0,1,0.1,80,20,0,0,20,40,0,0,1.1495622643917078,0
scenario31,0,c2,0,1,2,1,1.0,60,20,60,80,0,100,0,0,3.351947999903,0
scenario32,30,c2,2,1,0,1,1.0,100,0,0,80,0,20,100,0,1.608931814967356,0
scenario33,60,c4,1,2,2,0,1.0,100,0,40,0,0,40,80,0,3.411742772405076,0
scenario34,-60,c4,1,0,2,0,1.0,20,100,0,100,20,60,100,0,9999.0,0
scenario35,-90,c1,0,1,1,2,0.2,60,0,80,20,0,60,0,0,1.8386293599732024,0
scenario36,-30,c2,2,0,0,1,1.0,40,40,40,100,100,0,40,0,0.7589408037909412,0
scenario37,-60,c4,2,0,1,2,0.6,100,20,80,20,80,0,20,0,1.145793588530526,0
scenario38,0,c1,1,2,0,2,0.2,100,60,0,0,100,100,20,0,1.0702709071514365,0
scenario39,30,c4,2,0,1,0,0.4,100,80,20,0,0,40,40,0,2.338006123973264,0
scenario40,-90,c4,1,2,2,0,1.0,100,40,0,0,40,0,60,0,2.1108820887739856,0
scenario41,90,c4,1,0,2,0,0.1,80,0,20,80,0,0,40,0,2.107697052442059,0
scenario42,-60,c4,2,0,1,2,0.8,40,100,20,0,100,0,0,0,1.148990285850373,0
scenario43,-30,c2,0,1,2,0,0.8,40,0,80,100,60,100,80,0,3.7935094755446657,0
scenario44,60,c4,2,0,1,0,1.0,40,60,60,0,20,0,100,0,2.5513598939856585,0
scenario45,0,c4,1,2,2,0,0.8,100,40,60,60,20,0,0,1,9999.0,1
scenario46,90,c4,1,0,2,0,1.0,80,20,20,20,0,60,40,0,3.37870624527556,0
scenario47,30,c4,2,0,1,2,0.2,40,60,40,20,0,0,0,0,1.9847821302745827,0
scenario48,-60,c4,2,0,1,0,0.1,20,60,80,80,0,40,80,0,3.322559018976444,0
scenario49,30,c1,0,2,1,2,0.8,40,0,0,40,0,20,20,0,1.852493663813838,0
scenario50,-60,c4,1,2,2,0,0.6,100,80,100,80,100,100,60,0,1.4321149731292977,0
scenario51,-60,c4,1,0,2,0,0.2,40,100,60,100,60,20,0,0,2.6615184753098204,0
scenario52,90,c4,2,0,1,2,0.6,20,0,80,0,100,60,60,0,2.006719992390188,0
scenario53,-90,c4,2,0,1,0,0.8,60,0,20,60,80,0,0,0,2.599746340802638,0
scenario54,60,c4,1,2,2,0,0.8,60,20,0,100,60,100,0,1,9999.0,1
scenario55,-30,c2,0,1,2,1,0.8,100,0,60,40,40,80,20,0,3.714519897076369,0
scenario56,90,c4,1,0,2,0,0.1,80,20,80,0,20,0,40,0,2.617779538910202,0
scenario57,90,c1,1,2,0,1,1.0,40,80,0,20,0,20,60,0,3.272208362090917,0
scenario58,90,c2,2,1,0,1,0.6,40,40,40,20,0,100,0,0,0.9954111962705452,0
scenario59,-60,c4,2,0,1,2,1.0,40,40,80,60,0,40,80,0,1.1173177943946684,0
scenario60,0,c1,0,1,1,2,0.4,60,60,60,0,0,20,40,0,2.4356096212845646,0
scenario61,-60,c2,2,0,0,1,0.8,60,80,60,0,80,40,80,0,1.0656561467544483,0
scenario62,-90,c1,1,2,0,2,0.4,40,0,100,80,20,100,40,0,2.693216740101253,0
scenario63,-60,c2,0,1,2,0,0.8,40,100,60,80,40,60,40,0,3.409671307389989,0
scenario64,-30,c4,2,0,1,0,0.2,60,60,20,40,60,0,20,0,2.587370551090345,0
scenario65,-60,c4,1,2,2,0,0.4,80,80,20,0,40,0,0,1,9999.0,1
scenario66,60,c1,0,2,1,2,0.1,60,100,80,80,60,100,40,0,3.387457396579378,0
scenario67,0,c4,1,0,2,0,1.0,20,60,80,20,80,100,100,0,9999.0,0
scenario68,30,c1,1,2,0,1,0.2,40,20,80,100,100,100,20,0,0.8178595283894133,0
scenario69,-90,c1,0,1,1,2,1.0,60,20,80,40,40,0,80,0,1.0638170574432917,0
scenario70,-30,c1,1,2,0,2,1.0,60,0,100,100,0,80,20,0,2.0622891651491218,0
scenario71,-30,c2,0,1,2,1,0.2,60,20,20,80,60,40,40,0,3.693876424345656,0
scenario72,-30,c1,0,2,1,2,0.8,80,20,0,60,100,20,80,0,3.1604675071379384,0
scenario73,0,c2,2,1,0,1,0.6,20,60,0,80,80,40,20,0,1.2266625965138067,0
scenario74,0,c1,1,2,0,1,0.6,20,80,0,100,80,20,0,0,3.350255924814962,0
scenario75,0,c4,2,0,1,2,0.6,20,20,60,60,80,0,60,0,1.3621418645488954,0
scenario76,-60,c4,2,0,1,0,0.1,40,60,60,60,100,80,0,0,2.072468525027022,0
scenario77,0,c2,2,0,0,1,0.8,40,40,40,40,20,40,100,1,1.0279129472761903,1
scenario78,-30,c1,0,1,1,2,0.2,60,20,100,0,60,60,20,0,1.6674196294356405,0
scenario79,30,c2,0,1,2,0,0.8,40,20,0,100,40,40,60,0,3.6360267710985537,0
scenario80,90,c1,1,2,0,2,0.2,80,60,20,40,100,100,40,0,1.9831818408892068,0
scenario81,-90,c4,1,2,2,0,0.8,20,80,60,40,20,60,40,0,2.0460682611517744,0
scenario82,30,c4,1,0,2,0,0.6,60,40,60,100,100,20,40,0,3.2124831831536635,0
scenario83,60,c2,0,1,2,1,0.4,40,40,0,100,100,60,20,0,3.461165924669141,0
scenario84,0,c1,0,2,1,2,1.0,40,40,40,0,60,80,100,0,2.778705493544721,0
scenario85,60,c1,1,2,0,1,0.8,80,60,80,20,100,40,80,0,1.2981934584968893,0
scenario86,-30,c2,2,1,0,1,0.2,60,40,100,60,100,0,40,0,0.7371714050605718,0
scenario87,30,c1,0,1,1,2,0.1,40,80,80,20,60,20,20,0,2.619148499217151,0
scenario88,0,c4,2,0,1,2,0.2,60,80,40,40,80,100,20,0,1.5680171532087546,0
scenario89,60,c2,2,0,0,1,0.1,0,0,60,40,60,100,80,0,1.1661222290280184,0
scenario90,30,c1,1,2,0,2,0.2,60,20,60,80,20,40,100,0,1.998219334772244,0
scenario91,-30,c1,0,2,1,2,0.1,20,40,40,100,80,100,40,0,2.969700262698264,0
scenario92,-90,c2,0,1,2,0,0.2,40,40,20,40,40,100,40,0,3.4041838898018897,0
scenario93,-90,c4,2,0,1,0,0.2,60,100,100,40,60,80,0,0,2.078670550935254,0
scenario94,-90,c4,1,2,2,0,0.4,60,100,60,20,20,100,20,0,1.8316821580496965,0
scenario95,-60,c2,0,1,2,1,0.8,0,20,20,80,100,100,60,0,4.487694275642432,0
scenario96,90,c1,1,2,0,1,0.8,40,60,80,60,80,100,60,0,1.6121296140241193,0
scenario97,0,c4,1,0,2,0,0.4,0,20,0,40,0,80,40,0,9999.0,0
scenario98,30,c1,0,1,1,2,0.6,20,100,80,40,20,100,100,1,9999.0,1
scenario99,60,c2,2,1,0,1,0.2,60,20,40,80,100,60,20,0,0.7686678000673304,0
scenario100,30,c2,2,0,0,1,0.1,60,40,40,100,20,40,100,1,1.379654287115617,1
scenario101,-30,c2,0,1,2,0,1.0,0,100,100,100,20,40,40,0,3.803352161657364,0
scenario102,0,c1,1,2,0,2,0.2,60,60,80,20,40,40,100,0,2.7821398175097745,0
scenario103,-90,c1,0,2,1,2,0.4,40,20,80,100,100,40,80,0,2.5695048370564515,0
scenario104,90,c2,0,1,2,1,0.1,80,40,60,80,60,60,20,0,4.19002119923515,0
scenario105,-30,c2,2,1,0,1,0.8,80,80,20,20,60,20,100,0,0.672270629697942,0
scenario106,60,c1,1,2,0,1,0.8,40,80,60,100,60,20,80,0,1.4770006950698849,0
scenario107,0,c2,2,0,0,1,0.1,60,100,20,80,20,60,20,0,0.7267061088086408,0
scenario108,30,c1,0,1,1,2,0.1,80,20,40,80,100,60,100,0,3.06081013430534,0
scenario109,90,c4,2,0,1,2,0.2,0,40,100,0,100,100,80,0,1.913750592120812,0
scenario110,-90,c2,0,1,2,0,0.8,20,60,60,80,60,60,60,0,4.383928357139998,0
scenario111,60,c2,0,1,2,1,0.6,40,20,20,80,20,40,20,0,3.878581204068632,0
scenario112,90,c1,1,2,0,2,0.2,0,80,20,40,60,0,20,0,2028.4794557374807,0
