Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario77,left,80,20,60,100,-30,40,20,80,0.8,False,1.4836397183336831,0
scenario78,left,20,40,0,80,-90,40,80,100,0.6,False,1.502423143124613,0
scenario79,right,100,20,0,80,60,100,20,0,1.0,False,0.8730325162317918,0
scenario80,right,100,80,0,80,90,0,40,80,0.6,False,2.642755022366929,0
scenario81,right,0,80,100,40,-90,60,60,0,0.6,False,1.023795760203901,0
scenario82,right,100,60,100,20,0,20,100,80,1.0,False,0.8368333964872073,0
scenario83,right,80,80,60,60,0,100,80,40,0.4,False,2.287880461348503,0
scenario84,left,0,40,60,20,90,60,80,80,1.0,False,0.876329774350015,0
scenario85,right,40,0,60,40,-60,60,20,40,0.4,False,1.4139108684384458,0
scenario86,right,40,80,100,40,30,0,80,20,0.1,False,0.7161403385248865,0
scenario87,left,100,60,60,80,90,20,100,60,1.0,False,1.3687473140338182,0
scenario88,right,60,0,0,40,-60,60,100,20,0.4,False,1.9430246106020177,0
scenario89,right,60,80,80,40,0,100,80,40,0.4,False,0.9499257680899266,0
scenario90,right,40,40,40,20,-90,100,20,40,0.1,False,1.7703757722335496,0
scenario91,left,20,20,100,60,-30,100,80,80,0.8,False,0.9664110279687176,0
scenario92,right,0,20,40,20,-30,20,40,0,1.0,False,0.9246851020623164,0
scenario93,left,40,0,0,80,-30,100,20,100,0.6,False,0.8833099232864787,0
scenario94,left,0,80,40,60,0,60,40,20,0.1,False,1.4810852019591751,0
scenario95,right,60,0,0,60,0,0,80,100,1.0,False,0.7870948938807838,0
scenario96,left,20,20,80,40,-90,20,0,80,0.6,False,0.9221898918404218,0
scenario97,left,80,60,60,60,-30,80,60,40,0.8,False,1.5239081838331785,0
scenario98,left,80,100,0,20,60,20,40,100,0.1,False,1.4590550421613406,0
scenario99,left,20,20,80,0,-60,0,60,60,1.0,False,1.498357594251486,0
scenario100,right,40,0,20,40,60,40,100,60,0.1,False,0.8976856023698179,0
scenario101,left,40,100,80,100,90,20,60,0,0.8,False,1.400052263109432,0
scenario102,left,100,20,40,20,-90,0,20,40,0.8,False,1.3861709916438545,0
scenario103,right,60,0,60,100,-30,100,60,40,0.8,False,3.3060222560167225,0
scenario104,right,60,0,80,0,0,100,40,80,0.4,False,2.0931260440486867,0
scenario105,left,0,20,100,80,30,0,100,40,0.8,False,1.143307366125916,0
scenario106,left,20,60,80,100,0,40,20,80,0.6,False,1.4027181886779456,0
scenario107,right,0,60,40,60,-30,40,100,0,0.2,False,0.7499249387768021,0
scenario108,right,60,100,60,40,60,60,80,0,0.6,False,0.6534087292814411,0
scenario109,left,40,40,40,0,90,60,80,0,1.0,False,1.3714668475985543,0
scenario110,right,60,0,20,80,-30,80,60,100,0.6,False,0.8133317157189203,0
scenario111,left,20,40,80,20,-30,60,100,60,0.1,False,1.420183366274164,0
scenario112,left,100,80,20,100,-60,40,80,0,0.8,False,0.7987657161548476,0
scenario113,right,0,20,0,60,-90,100,20,60,1.0,False,1.0273424263535862,0
scenario114,right,80,100,40,60,90,60,60,20,0.6,False,1.911679674176762,0
scenario115,left,60,20,80,80,60,20,0,40,0.6,False,1.3442911319491857,0
scenario116,right,80,40,0,40,60,40,80,80,1.0,False,1.7375143164099838,0
scenario117,right,20,60,80,60,-30,40,80,80,0.6,False,0.8179836583383507,0
scenario118,right,40,20,100,20,30,60,20,60,0.1,False,2.039508695834485,0
scenario119,right,100,60,100,60,0,100,100,20,0.6,False,1.4880494983534074,0
scenario120,left,20,80,80,40,90,0,60,0,0.8,False,1.3764316256479554,0
scenario121,right,0,100,20,60,90,100,20,0,0.6,False,2.0623803925816766,0
scenario122,right,40,80,100,60,60,0,40,100,0.8,False,1.80348457573052,0
scenario123,right,40,100,100,60,90,80,0,80,0.1,False,2.1759744388002,0
scenario124,left,100,100,40,20,60,0,60,0,1.0,False,1.362391492779073,0
scenario125,left,60,20,100,40,-90,0,40,0,0.4,False,1.3883969132372032,0
scenario126,right,40,60,20,20,30,60,80,100,0.2,False,2.239686108107401,0
scenario127,left,20,0,80,60,30,100,20,60,0.8,False,1.3860695043602391,0
