Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario1,left,0,100,20,80,30,40,0,20,0.4,0,1.5704278071333757,0
scenario2,left,0,100,0,20,-90,100,20,0,0.4,0,0.5597621449217062,0
scenario3,right,20,100,80,80,-60,100,0,100,0.1,0,0.979057671951368,0
scenario4,left,100,100,20,80,30,100,60,20,0.4,0,1.3603127455861184,0
scenario5,right,0,100,60,80,-60,60,40,100,0.4,0,0.9470956134678794,0
scenario6,left,40,100,20,80,-90,40,0,20,0.2,0,0.9913668369074962,0
scenario7,left,0,100,100,40,30,40,0,60,1.0,0,0.6066922492780047,0
scenario8,right,20,100,0,80,30,20,80,0,0.4,0,1.7979498002869874,0
scenario9,right,60,100,0,20,30,40,20,100,0.6,0,0.6630468399998976,0
scenario10,left,80,100,0,80,-60,40,0,80,0.1,0,0.9254594569851002,0
scenario11,left,0,100,80,100,30,100,0,0,0.1,0,1.5159772030858198,0
scenario12,left,40,80,80,80,-90,100,20,20,0.4,0,0.8577857131936499,0
scenario13,right,20,100,40,20,0,80,0,100,0.8,0,1.811907589070386,0
scenario14,right,20,100,60,60,-30,40,60,0,0.4,0,1.86655847266902,0
scenario15,left,0,100,20,40,-60,100,100,40,0.4,0,1.3890814509386693,0
scenario16,left,100,80,20,80,30,40,60,20,0.2,0,1.4403334587786114,0
scenario17,left,0,60,20,20,-90,100,20,20,0.4,0,0.7799031248906587,0
scenario18,left,40,100,100,100,30,0,40,60,0.4,0,1.1502169029490783,0
scenario19,left,60,40,0,80,-60,100,40,20,0.4,0,1.3837809374619086,0
scenario20,right,100,20,60,40,30,100,0,100,0.4,0,0.8706304028308766,0
scenario21,left,40,80,80,80,30,40,0,60,1.0,0,0.9400326812583616,0
scenario22,left,20,100,20,0,60,100,60,0,0.0,0,1.335789314286408,0
scenario23,left,0,100,60,80,90,60,80,20,0.1,0,1.0436727527978944,0
scenario24,left,0,60,0,80,30,60,80,0,0.6,0,0.988209049032843,0
scenario25,left,20,20,0,80,-90,20,0,0,0.1,0,1.4101393667377216,0
scenario26,left,60,40,20,100,30,20,0,100,0.1,0,1.992571956958098,0
scenario27,left,80,60,100,80,0,80,0,80,0.4,0,1.429223143178037,0
scenario28,right,0,60,60,40,-90,40,40,100,0.2,0,0.841821993833524,0
scenario29,left,20,80,0,20,-60,60,0,20,0.2,0,0.8341517292836941,0
scenario30,right,60,40,100,100,-60,40,80,0,0.1,0,0.8437033730243132,0
scenario31,right,0,20,80,0,-60,40,100,100,0.4,0,0.8648409461725796,0
scenario32,left,40,80,20,20,-60,100,20,0,0.1,0,0.8372070747243467,0
scenario33,right,0,80,0,80,-30,40,0,40,0.6,0,0.8534041811714368,0
scenario34,right,100,80,80,100,-90,100,40,20,0.2,0,1.963831644465997,0
scenario35,right,80,0,0,60,30,80,20,80,0.4,0,2.2158045507175967,0
scenario36,right,100,60,20,80,30,100,80,40,0.8,0,0.8116409729088333,0
scenario37,left,0,40,40,20,60,100,60,100,0.4,0,1.3705362063231077,0
scenario38,right,20,0,0,80,90,0,100,100,0.4,0,0.8052905334390872,0
scenario39,left,40,20,60,40,-90,100,60,20,1.0,0,0.8941177482614682,0
scenario40,right,20,80,100,20,30,100,100,60,0.6,0,0.8335419174599478,0
scenario41,left,80,80,80,60,0,40,20,100,0.8,0,1.4083166356528978,0
scenario42,left,60,60,40,60,30,100,0,20,0.8,0,1.3325227199677434,0
scenario43,left,100,80,20,40,-60,40,60,80,0.1,0,1.0095185932824675,0
scenario44,left,20,40,20,80,-90,60,20,20,0.0,0,1.4169828472981942,0
scenario45,left,0,20,20,80,60,60,40,60,0.2,0,1.3726575945466186,0
scenario46,right,40,80,40,80,-60,0,0,0,0.1,0,1.0110188139219976,0
scenario47,left,100,60,80,20,-90,20,80,60,0.1,0,1.4495545508772123,0
scenario48,left,0,40,20,0,30,20,80,20,0.0,0,1.7059700691384083,0
scenario49,left,100,60,0,100,0,100,60,20,0.6,0,1.3656649938272512,0
scenario50,left,0,0,60,100,-30,100,0,80,1.0,0,0.9101533818572004,0
scenario51,left,60,60,20,100,-90,100,20,40,1.0,0,1.438738242341743,0
scenario52,left,0,0,100,0,-90,40,0,20,0.6,0,0.8735766794109353,0
scenario53,right,40,60,20,20,-60,60,40,60,0.6,0,1.786058941125625,0
scenario54,right,100,40,80,100,-60,20,20,0,0.2,0,0.8549412841610612,0
scenario55,left,80,20,60,40,-60,100,60,0,1.0,0,1.3909382396321597,0
scenario56,right,40,40,0,40,60,40,0,100,0.0,0,0.9250319567439232,0
scenario57,right,100,80,40,40,90,40,0,100,0.1,0,1.8780202494000413,0
scenario58,left,20,40,80,20,-60,80,80,20,0.2,0,1.383019661136945,0
scenario59,right,40,60,100,40,-60,60,20,0,0.1,0,0.9188624346960812,0
scenario60,right,60,20,0,20,-60,60,40,60,0.1,0,0.9737617917726544,0
scenario61,right,20,80,0,40,-30,20,60,20,0.2,0,0.7615465819337515,0
scenario62,left,0,40,20,20,0,80,40,0,1.0,0,1.4388365566886716,0
scenario63,left,80,40,60,20,-90,80,20,80,0.1,0,1.4801440128468488,0
scenario64,left,80,20,20,60,-30,20,20,20,0.8,0,1.3870644843672106,0
scenario65,left,0,60,0,60,-90,60,80,100,1.0,0,1.4396196298524755,0
scenario66,right,20,80,80,0,60,100,40,100,0.2,0,2.121962421135901,0
scenario67,right,40,80,100,20,90,100,20,60,0.0,0,2.4099149607032824,0
scenario68,left,20,60,20,100,-90,60,100,80,0.1,0,1.4596155107971722,0
scenario69,right,0,0,80,40,-90,0,60,40,0.8,0,0.8764564851800364,0
scenario70,right,60,80,0,100,0,20,80,0,0.6,0,0.9268940040998134,0
scenario71,right,60,20,60,60,-60,20,20,100,0.6,0,0.961445072365494,0
scenario72,left,0,0,20,20,-30,0,100,20,0.1,0,1.3790833362394388,0
scenario73,left,80,0,100,100,-60,80,100,100,0.8,0,1.406759639567015,0
scenario74,left,40,80,80,100,-60,60,60,80,1.0,0,1.0493993100270689,0
scenario75,right,20,40,60,100,0,20,80,60,1.0,0,0.8434257311768988,0
scenario76,left,20,20,100,20,-60,0,20,40,0.6,0,1.429160167707846,0
scenario77,right,100,60,0,40,-30,60,40,80,0.2,0,0.961602177747559,0
scenario78,right,80,60,0,0,0,80,20,20,0.1,0,1.996559590080486,0
scenario79,left,0,60,40,0,-90,20,60,20,0.0,0,1.3555082202572546,0
scenario80,left,0,60,80,80,30,40,0,20,0.4,0,1.0701551682379518,0
scenario81,left,0,100,20,80,60,40,0,20,0.4,0,1.332548031698929,0
scenario82,left,0,100,20,80,90,40,0,20,0.4,0,1.370804971923387,0
scenario83,left,0,80,60,80,30,40,0,20,0.4,0,0.7132306467594793,0
scenario84,left,0,100,20,0,30,40,0,20,0.4,0,1.335026684915092,0
scenario85,left,0,100,20,80,30,40,0,20,0.0,0,1.3314203873090356,0
scenario86,left,0,100,20,80,60,40,0,20,0.4,0,1.327401472554929,0
scenario87,left,0,100,20,80,90,40,0,20,0.4,0,1.374997131559783,0
scenario88,left,0,100,20,80,60,40,0,20,0.4,0,1.3633645535470384,0
scenario89,left,0,100,20,80,90,40,0,20,0.4,0,1.3686021454276611,0
scenario90,left,0,100,80,80,30,40,0,60,0.4,0,1.054073132674764,0
scenario91,left,0,100,0,80,30,40,0,40,0.4,0,1.3278539897934938,0
scenario92,left,0,100,80,80,30,40,80,20,0.4,0,2.205023237965454,0
scenario93,left,0,100,20,60,30,40,0,20,0.1,0,1.407494038546486,0
scenario94,left,100,100,20,80,30,40,0,60,0.4,0,1.38425652614665,0
scenario95,left,0,100,20,80,-30,40,0,0,0.4,0,0.9056766898719738,0
scenario96,left,0,100,80,80,30,20,0,20,0.4,0,1.1933628560901353,0
scenario97,left,100,100,20,80,30,40,80,20,0.4,0,1.4459019930953536,0
scenario98,left,0,100,20,80,30,40,0,40,0.1,0,1.433511076498209,0
scenario99,left,0,40,80,80,30,40,0,20,0.4,0,1.0324367828646628,0
scenario100,left,100,100,60,80,30,40,0,20,0.4,0,0.9218761431278198,0
scenario101,left,100,100,20,80,30,20,0,20,0.4,0,1.4813151959915898,0
scenario102,left,0,100,20,80,0,40,0,100,0.4,0,0.717894624610287,0
scenario103,left,0,20,80,80,30,40,0,20,0.4,0,1.2155865823124972,0
scenario104,left,0,100,20,80,-30,40,0,100,0.4,0,0.821442495389105,0
scenario105,left,0,100,20,80,30,40,60,20,0.2,0,1.154502872624634,0
scenario106,left,100,40,20,80,30,40,0,20,0.4,0,1.3747463608712749,0
scenario107,left,100,100,20,80,30,40,0,20,1.0,0,1.3596440703498949,0
scenario108,left,100,20,20,80,30,40,0,20,0.4,0,1.3717262660744864,0
scenario109,left,0,100,20,80,30,40,60,60,0.4,0,1.4582084314260049,0
scenario110,left,0,100,20,20,30,40,0,20,0.8,0,1.371959736667507,0
scenario111,left,80,100,20,80,30,40,0,0,0.4,0,1.3193566383883208,0
scenario112,left,0,100,20,60,30,40,0,0,0.4,0,1.306851298634374,0
scenario113,left,100,100,100,80,30,40,0,20,0.4,0,1.0417177242853028,0
scenario114,left,0,100,60,80,30,40,60,20,0.4,0,0.9680683210869216,0
scenario115,left,0,100,0,80,30,40,0,20,0.8,0,1.4445453420097103,0
scenario116,left,60,100,80,80,30,40,0,20,0.4,0,1.0590121452012653,0
scenario117,left,0,100,80,80,30,40,0,20,0.6,0,1.244578335008069,0
scenario118,left,0,40,20,80,30,40,60,20,0.4,0,1.4162675237969808,0
scenario119,left,40,100,20,80,30,40,0,20,0.2,0,1.3766978866363466,0
scenario120,left,0,100,0,80,30,40,100,20,0.4,0,1.7711047486514877,0
scenario121,left,0,100,0,80,30,0,0,20,0.4,0,1.558189655038723,0
scenario122,left,0,20,20,80,30,40,60,20,0.4,0,1.440435227793025,0
scenario123,left,100,100,20,80,30,40,0,20,0.6,0,1.3348094854315535,0
scenario124,left,100,100,20,100,30,40,0,20,0.4,0,1.4313728098117555,0
scenario125,left,40,100,20,80,30,40,80,20,0.4,0,1.4780357159052604,0
scenario126,left,0,100,100,80,30,40,60,20,0.4,0,1.1668662102358636,0
scenario127,left,40,100,60,80,30,40,0,20,0.4,0,0.9160360925691724,0
scenario128,left,40,100,20,80,30,20,0,20,0.4,0,1.4577549424699607,0
scenario129,left,20,100,20,80,-30,40,0,20,0.4,0,0.8991745770493885,0
scenario130,left,60,100,20,80,30,40,60,20,0.4,0,1.429777112380802,0
scenario131,left,0,100,20,0,-60,40,0,20,0.4,0,0.9543175194453404,0
scenario132,left,0,100,20,80,-60,40,0,20,0.0,0,0.8993008770958978,0
scenario133,left,0,100,40,80,-60,40,0,20,0.4,0,0.8779915848339179,0
scenario134,left,40,100,20,80,30,40,0,20,1.0,0,1.331178817837929,0
scenario135,left,40,20,20,80,30,40,0,20,0.4,0,1.4254314457882225,0
scenario136,left,0,100,20,80,30,40,60,20,0.6,0,0.9179300846735944,0
scenario137,left,0,100,20,100,30,40,60,20,0.4,0,0.9979709550803152,0
scenario138,left,0,100,20,80,30,40,20,20,0.8,0,1.4868133923012017,0
scenario139,left,20,100,20,80,30,80,0,20,0.4,0,1.3363685629204465,0
scenario140,left,20,100,20,80,30,40,0,80,0.4,0,0.9665656663055004,0
scenario141,left,0,100,20,80,30,0,20,20,0.4,0,1.443823879838523,0
scenario142,left,0,100,20,40,30,40,0,20,0.2,0,1.30754123988856,0
scenario143,left,0,100,20,80,30,40,0,0,0.8,0,1.3694722835609858,0
scenario144,left,0,100,20,40,30,40,0,60,0.4,0,1.4382426999957607,0
scenario145,left,20,100,20,60,30,40,0,20,0.4,0,1.4133668383157725,0
scenario146,left,0,100,20,80,30,40,100,0,0.4,0,1.3545625967477102,0
scenario147,left,0,100,20,40,30,40,80,20,0.4,0,1.4371817834435834,0
scenario148,left,40,100,20,80,30,40,0,20,0.6,0,1.4265082619945524,0
scenario149,left,0,100,20,80,30,0,0,0,0.4,0,1.459105756890685,0
scenario150,left,0,60,20,80,30,40,40,20,0.4,0,1.436859634170817,0
scenario151,left,40,100,20,100,30,40,0,20,0.4,0,1.3129223583978324,0
scenario152,left,0,100,20,80,30,40,0,100,0.8,0,0.8209463093553867,0
scenario153,left,0,100,60,40,30,40,0,20,0.4,0,0.8875910002487449,0
scenario154,left,0,100,20,40,30,20,0,20,0.4,0,2.008061151451374,0
scenario155,left,20,100,20,80,30,40,0,40,0.4,0,1.3819762643826925,0
scenario156,left,0,100,20,80,30,40,100,100,0.4,0,2.042313019023242,0
scenario157,left,0,40,20,40,30,40,0,20,0.4,0,1.4344236011289504,0
scenario158,left,0,100,20,80,30,40,40,20,0.2,0,1.4825277525309015,0
scenario159,left,0,100,20,80,30,0,0,100,0.4,0,2.0911503088891696,0
scenario160,left,0,100,20,40,30,40,0,20,1.0,0,1.4243463042409068,0
scenario161,left,0,20,20,40,30,40,0,20,0.4,0,1.37591292043798,0
scenario162,left,0,100,20,80,30,40,40,60,0.4,0,0.885576832000756,0
scenario163,left,0,100,20,80,30,60,0,20,0.2,0,1.3434907122002258,0
scenario164,left,0,100,20,80,30,40,0,20,0.8,0,1.3012871013847094,0
scenario165,left,0,100,20,80,30,60,0,60,0.4,0,1.3391751065374975,0
scenario166,left,0,100,60,80,30,40,40,20,0.4,0,0.90132837658722,0
scenario167,left,0,100,20,80,30,20,40,20,0.4,0,1.8058900519838224,0
scenario168,left,0,100,20,80,30,60,80,20,0.4,0,1.0447134499605235,0
scenario169,left,0,100,20,80,30,0,0,20,0.4,0,1.3851252253760122,0
scenario170,left,0,40,20,80,30,40,40,20,0.4,0,1.4114163505347073,0
scenario171,left,0,100,60,80,30,60,0,20,0.4,0,1.3726344578704262,0
scenario172,left,0,80,20,80,-30,40,0,20,0.4,0,0.9549880703511584,0
scenario173,left,60,100,20,40,30,40,0,20,0.4,0,1.35085265933584,0
scenario174,left,0,60,20,80,30,40,0,20,0.2,0,1.471589808043502,0
scenario175,left,0,100,20,80,30,40,40,20,1.0,0,1.0661534272033717,0
scenario176,left,0,0,20,20,30,40,0,20,0.4,0,1.4201462237029183,0
scenario177,left,0,100,20,20,60,40,0,20,0.4,0,1.35573308018147,0
scenario178,left,0,100,40,20,30,40,0,20,0.4,0,1.0578934677735956,0
scenario179,left,0,20,20,80,30,40,40,20,0.4,0,1.414564601409835,0
scenario180,left,0,100,20,40,30,40,0,20,0.6,0,1.353481863930158,0
scenario181,left,0,60,20,80,30,40,0,60,0.4,0,1.454236462556983,0
scenario182,left,0,40,20,80,30,60,0,20,0.4,0,1.3561881954654795,0
scenario183,left,0,100,20,80,30,60,0,20,1.0,0,1.349844524145367,0
scenario184,left,0,20,20,80,30,60,0,20,0.4,0,1.3119351318124943,0
scenario185,left,0,60,20,80,30,40,80,20,0.4,0,1.416586518290882,0
scenario186,left,0,100,100,80,30,40,40,20,0.4,0,0.5439513865158601,0
scenario187,left,20,100,20,80,30,40,0,20,0.8,0,1.327116427132809,0
scenario188,left,0,0,0,80,30,40,0,20,0.4,0,1.4307340684356464,0
scenario189,left,0,100,0,0,30,40,0,20,0.4,0,1.3874786725121044,0
scenario190,left,0,100,0,80,30,40,0,20,0.0,0,1.4220517179906558,0
scenario191,left,0,100,0,80,60,40,0,20,0.4,0,1.3624143006089149,0
scenario192,left,0,100,0,80,90,40,0,20,0.4,0,1.3413798721279042,0
scenario193,right,0,100,20,80,30,40,0,20,0.2,0,1.7108570658719178,0
scenario194,left,0,80,20,80,30,80,0,20,0.4,0,1.3937851534309338,0
scenario195,left,0,100,20,80,30,40,0,60,0.2,0,1.5352893034983286,0
scenario196,left,0,60,60,80,30,40,0,20,0.4,0,1.757875808560991,0
scenario197,left,0,80,20,80,30,40,0,80,0.4,0,1.0515616937892136,0
scenario198,left,20,100,20,80,30,40,100,20,0.4,0,1.3708589224184713,0
scenario199,left,0,100,80,80,0,40,0,20,0.4,0,1.3205275704706223,0
scenario200,left,0,100,100,80,30,60,0,20,0.4,0,1.055456924965288,0
scenario201,left,20,100,20,80,30,0,0,20,0.4,0,1.3416550195921757,0
scenario202,left,0,100,20,80,30,40,80,20,0.2,0,1.9606012127186865,0
scenario203,left,80,80,20,80,30,40,0,20,0.4,0,1.3194398708796091,0
scenario204,left,0,100,80,80,-30,40,0,20,0.4,0,0.719573057928941,0
scenario205,left,60,100,20,80,30,40,40,20,0.4,0,1.3459160735205902,0
scenario206,left,0,60,20,80,30,40,0,20,1.0,0,1.4506552537716952,0
scenario207,left,0,100,20,80,30,40,40,20,0.6,0,1.087504421408661,0
scenario208,left,100,100,20,80,0,40,0,20,0.4,0,1.3648434517479242,0
scenario209,left,0,100,60,80,30,40,0,20,0.2,0,1.034408254779301,0
scenario210,left,0,80,20,60,30,40,0,20,0.4,0,1.328877511127993,0
scenario211,left,0,100,20,80,30,20,0,20,0.2,0,1.4551466339728925,0
scenario212,left,0,100,20,100,30,40,40,20,0.4,0,0.9333370882680148,0
scenario213,left,0,0,20,80,30,40,0,20,0.1,0,1.4052992546013443,0
scenario214,left,0,100,20,0,30,40,0,20,0.1,0,1.3452734730204603,0
scenario215,left,0,100,40,80,30,40,0,20,0.1,0,0.8399618898140317,0
scenario216,left,0,100,20,80,60,40,0,20,0.1,0,1.4447668230871555,0
scenario217,left,0,100,20,80,90,40,0,20,0.1,0,1.3471097887787933,0
scenario218,left,100,100,20,80,-30,40,0,20,0.4,0,0.8800581273081682,0
scenario219,left,60,100,20,80,30,60,0,20,0.4,0,1.3393062530731028,0
scenario220,left,0,100,20,80,30,20,0,60,0.4,0,1.467571253261973,0
scenario221,left,0,40,20,80,30,40,0,20,0.2,0,1.5521487418092008,0
scenario222,left,0,100,20,80,30,60,0,20,0.6,0,1.3147389160794365,0
scenario223,left,0,60,100,80,30,40,0,20,0.4,0,0.8055422032700587,0
scenario224,left,0,100,20,100,30,60,0,20,0.4,0,1.3380384107161942,0
scenario225,left,0,100,60,80,30,40,80,20,0.4,0,0.9993858622140076,0
scenario226,left,0,20,20,80,30,40,0,20,0.2,0,1.4229869493226976,0
scenario227,left,0,100,20,80,30,20,80,20,0.4,0,1.417372814840177,0
scenario228,left,0,80,20,80,30,40,0,40,0.4,0,1.3512540027427875,0
scenario229,left,0,100,80,80,30,80,0,20,0.4,0,1.3473529118130567,0
scenario230,right,0,40,20,80,30,40,0,20,0.4,0,0.9867166600979264,0
