Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,right,0.1,100,100,40,20,60,40,0,0,1.4757290750471324,182.4417905807495,0
scenario2,0,left,0.8,80,100,100,0,40,80,20,0,1.3816008142749905,81.28658080101013,0
scenario3,-30,left,0.2,0,60,0,60,0,0,40,0,1.6317906024069155,77.38579845428467,0
scenario4,-60,left,0.4,20,80,20,40,80,20,80,0,1.3920984051079437,78.83899903297424,0
scenario5,0,right,0.6,20,20,60,60,20,60,60,0,1.7979294322251635,102.73511838912964,0
scenario6,0,right,1.0,40,0,100,80,100,100,40,0,2.274462382967889,111.209810256958,0
scenario7,60,right,0.8,80,60,80,100,20,20,100,0,1.311458375813343,156.8383445739746,0
scenario8,90,right,0.6,60,40,40,80,0,80,100,0,1.5492106328881186,101.80639457702635,0
scenario9,30,left,1.0,0,40,80,20,40,100,80,0,1.1585716181477868,83.47880744934082,0
scenario10,60,right,0.2,60,20,100,0,80,0,0,0,1.817370197717393,159.5967161655426,0
scenario11,90,right,1.0,80,80,60,40,60,0,40,0,1.2101924935601238,160.34178113937378,0
scenario12,-60,left,0.4,100,40,100,100,100,40,60,0,1.3648843653920262,76.99072360992432,0
scenario13,0,right,0.8,0,0,20,40,0,60,0,0,0.8659054995383481,87.45184302330017,0
scenario14,-60,left,0.6,40,80,0,100,20,100,0,0,1.610994317814179,143.78300309181213,0
scenario15,90,left,0.2,40,100,100,60,60,60,80,0,1.4584747003797458,75.0688259601593,0
scenario16,90,left,0.1,60,20,80,40,100,40,20,0,1.373232901216258,75.52246260643005,0
scenario17,90,right,0.1,20,0,20,100,40,0,60,0,0.9598436707737866,104.59292316436768,0
scenario18,-90,left,1.0,60,100,0,60,80,20,100,0,1.380024656066119,78.53723502159119,0
scenario19,60,right,0.4,40,60,60,20,100,80,20,0,1.2293202943562742,159.2281630039215,0
