Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario88,left,60,40,20,0,60,20,60,20,0.2,False,1.369,0
scenario89,right,80,0,40,60,60,80,100,40,0.4,False,0.859,0
scenario90,left,60,40,0,20,-90,0,0,80,0.4,False,1.516,0
scenario91,right,20,20,0,100,90,0,80,100,0.8,False,1.12,0
scenario92,left,60,80,40,80,0,60,100,80,0.6,False,1.644,0
scenario93,left,0,60,40,20,-30,0,40,0,1.0,False,1.381,0
scenario94,right,0,40,0,0,-60,40,80,40,0.1,False,0.799,0
scenario95,right,80,80,20,40,-30,80,40,80,0.6,False,0.948,0
scenario96,left,0,100,40,100,30,40,20,40,0.2,False,1.075,0
scenario97,left,80,40,40,40,-30,40,60,40,0.6,False,1.113,0
scenario98,right,60,20,60,60,60,0,60,20,0.4,False,0.734,0
scenario99,left,40,0,20,60,-90,20,20,20,1.0,False,1.391,0
scenario100,right,0,60,0,60,-60,20,80,40,0.1,False,0.755,0
scenario101,left,40,20,60,40,-90,0,40,60,0.6,False,1.58,0
scenario102,right,40,0,80,0,-30,100,80,60,0.1,False,0.724,0
scenario103,right,100,80,40,40,90,100,40,0,0.6,False,2.367,0
scenario104,left,20,0,0,40,-60,60,60,0,1.0,False,1.697,0
scenario105,left,60,80,20,80,-60,20,100,100,0.1,False,1.438,0
scenario106,right,0,100,40,80,0,0,20,0,0.1,False,0.888,0
scenario107,left,100,60,80,0,-90,40,100,60,0.8,False,1.821,0
scenario108,left,0,0,100,20,90,100,80,20,1.0,False,1.345,0
scenario109,right,20,80,0,60,30,0,20,100,0.6,False,0.786,0
scenario110,right,40,0,60,0,-30,0,60,0,0.6,False,1.525,0
scenario111,left,60,20,60,20,60,20,0,0,0.6,False,1.386,0
scenario112,right,100,0,0,60,-30,100,80,60,0.1,False,0.757,0
scenario113,right,40,0,60,80,0,80,0,40,0.4,False,1.602,0
scenario114,left,40,60,80,60,90,40,100,60,1.0,False,1.554,0
scenario115,right,100,100,20,80,90,100,0,80,0.1,False,1.645,0
scenario116,left,20,0,100,20,90,100,0,100,0.4,False,1.313,0
scenario117,right,100,60,80,40,0,0,20,0,0.2,False,1.998,0
scenario118,left,0,80,0,0,-90,60,80,100,0.2,False,0.947,0
scenario119,left,20,0,0,40,-60,20,0,40,1.0,False,1.112,0
scenario120,right,80,0,100,20,-60,80,40,80,1.0,False,0.993,0
scenario121,right,60,100,60,60,90,20,80,20,0.8,False,0.799,0
scenario122,left,100,40,60,100,60,80,20,0,0.8,False,1.378,0
scenario123,right,40,60,40,40,60,40,60,80,1.0,False,0.979,0
scenario124,right,20,80,100,100,-60,100,0,60,0.2,False,1.459,0
scenario125,left,80,20,60,20,-90,0,100,80,0.4,False,1.508,0
scenario126,left,40,0,20,20,-60,60,0,20,1.0,False,1.395,0
scenario127,right,60,40,60,0,90,60,100,40,0.2,False,1.691,0
scenario128,left,80,60,0,80,90,100,80,80,0.8,False,1.045,0
scenario129,left,40,60,20,60,-90,20,100,40,0.1,False,1.417,0
scenario130,right,100,100,0,40,30,40,100,20,0.2,False,0.824,0
scenario131,left,80,80,20,20,0,80,80,100,0.2,False,1.613,0
scenario132,left,40,20,40,80,90,80,60,0,0.2,False,1.346,0
scenario133,right,80,0,60,80,-60,0,0,40,1.0,False,0.746,0
scenario134,left,100,100,60,100,60,20,20,0,0.6,False,1.315,0
scenario135,right,0,80,80,20,0,80,100,40,0.2,False,0.607,0
scenario136,right,80,80,80,100,-60,80,20,20,0.2,False,1.027,0
scenario137,left,100,100,0,0,-90,100,60,20,0.6,False,0.981,0
scenario138,right,0,80,100,80,30,0,60,20,1.0,False,0.614,0
scenario139,right,0,40,60,0,60,80,60,40,0.4,False,0.727,0
scenario140,left,100,100,0,100,60,60,0,100,0.8,False,1.342,0
scenario141,right,100,20,100,0,60,100,40,100,0.2,False,2.116,0
scenario142,right,0,100,100,60,0,60,40,60,0.1,False,1.121,0
scenario143,left,60,0,100,80,-30,0,80,100,0.6,False,1.424,0
scenario144,left,80,0,40,40,60,100,40,100,0.1,False,1.342,0
