Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario52,-60,20,40,20,40,40,0.8,40,60,right,20,40,60,1e-05,0,0.8292840604580218,109.0028591156006,0
scenario53,0,60,20,20,40,40,0.8,20,0,left,20,40,80,1e-05,0,1.4385988105035967,80.97425031661987,0
scenario54,-90,40,100,20,20,40,0.8,40,60,left,20,40,100,1e-05,0,0.8759029426452313,104.401762008667,0
scenario55,-30,20,20,40,80,40,0.6,100,0,left,20,60,0,1e-05,0,0.6262222212990215,101.90183329582214,0
scenario56,60,60,20,0,0,0,0.4,0,100,right,20,60,20,1e-05,0,0.7934218310458434,87.43968486785889,0
scenario57,90,20,40,40,0,80,0.4,40,60,right,20,60,40,1e-05,0,1.7019302468157362,104.413640499115,0
scenario58,0,60,100,0,0,100,0.6,80,20,left,20,60,60,1e-05,0,1.3607392963631946,82.05678725242615,0
scenario59,30,60,60,0,20,100,0.8,0,100,left,20,60,80,1e-05,0,1.9399491430914293,81.1001205444336,0
scenario60,30,20,80,20,40,0,0.8,0,100,right,20,60,100,1e-05,0,2.17858172046462,167.91217923164368,0
scenario61,-30,60,20,0,0,100,0.2,80,20,right,20,80,0,1e-05,0,0.9078443736453004,96.03309273719788,0
scenario62,-30,60,20,40,0,80,0.4,40,60,left,20,80,20,1e-05,0,1.4054175122198462,82.3155403137207,0
scenario63,-60,0,80,0,0,80,0.4,80,20,right,20,80,40,1e-05,0,0.8086270266186704,99.86430740356444,0
scenario64,-90,60,100,40,100,40,0.6,40,60,left,20,80,60,1e-05,0,1.4126581645359222,82.2983865737915,0
scenario65,-30,20,40,0,0,0,0.2,0,100,right,20,80,80,1e-05,0,0.830757528819072,107.83275437355042,0
scenario66,30,20,20,0,40,40,0.8,80,20,right,20,80,100,1e-05,0,1.8214721518128425,167.57411360740662,0
scenario67,90,20,100,80,80,40,0.6,100,0,left,20,100,0,1e-05,0,1.348530236166775,80.69277453422546,0
scenario68,30,40,100,20,100,40,0.6,40,60,left,20,100,20,1e-05,0,0.9500103948015406,87.86881494522095,0
scenario69,30,40,60,40,20,0,0.8,100,0,right,20,100,40,1e-05,0,2.062548805675334,166.7275116443634,0
scenario70,60,60,100,100,0,80,0.4,100,0,left,20,100,60,1e-05,0,0.8142281419902687,96.00701236724854,0
scenario71,60,60,20,40,100,0,0.6,20,80,left,20,100,80,1e-05,0,1.3545534943568012,79.87166094779968,0
scenario72,-90,40,20,60,0,0,0.8,100,0,left,20,100,100,1e-05,0,0.7962769620705211,105.5637276172638,0
scenario73,90,40,20,40,0,0,0.8,40,60,left,40,0,0,1e-05,0,1.4313675633754992,78.94262909889221,0
scenario74,-90,20,80,0,40,0,0.8,0,100,left,40,0,20,1e-05,0,1.3724738167206594,81.56375336647034,0
scenario75,-60,20,40,20,100,100,0.1,40,60,right,40,0,40,1e-05,0,1.0730856523836234,169.2297866344452,0
scenario76,0,80,80,40,60,40,0.6,100,0,left,40,0,60,1e-05,0,1.4319925164832807,82.93649911880493,0
scenario77,-60,0,80,100,0,100,0.4,100,0,right,40,0,80,1e-05,0,1.583087691982305,197.7151391506195,0
scenario78,60,0,100,0,20,40,0.8,0,100,left,40,0,100,1e-05,0,1.4000275219023564,80.67131185531616,0
scenario79,-60,20,20,0,80,0,0.6,0,100,right,40,20,0,1e-05,0,0.8356614367849433,118.2955310344696,0
scenario80,90,80,20,0,80,40,0.6,0,100,right,40,20,20,1e-05,0,2.2439614658928364,169.3486511707306,0
scenario81,90,60,80,20,60,40,0.6,100,0,left,40,20,40,1e-05,0,1.3399103087455526,80.48770236968994,0
scenario82,-30,20,60,40,80,0,0.6,20,80,left,40,20,60,1e-05,0,1.40406615294741,82.9105453491211,0
scenario83,-30,20,100,40,0,0,0.8,20,80,right,40,20,80,1e-05,0,0.851328326651525,108.95290303230286,0
scenario84,-90,20,80,0,80,60,0.6,80,20,left,40,20,100,1e-05,0,1.4132112435252475,81.84183812141418,0
scenario85,30,40,40,20,60,100,0.6,40,60,right,40,40,0,1e-05,0,0.5231424282969499,90.05032062530518,0
scenario86,-90,20,20,0,0,60,0.1,0,100,left,40,40,20,1e-05,0,1.4300685531527026,82.26293468475342,0
scenario87,-30,0,100,0,0,0,0.8,80,20,right,40,40,40,1e-05,0,0.7214395536641932,164.1846308708191,0
scenario88,-30,60,100,60,0,80,0.4,100,0,left,40,40,60,1e-05,0,0.6314391240079587,107.1957504749298,0
scenario89,30,20,80,0,40,60,0.6,100,0,left,40,40,80,1e-05,0,1.3455406575416509,80.55993127822876,0
scenario90,-60,80,40,0,0,0,0.8,80,20,left,40,40,100,1e-05,0,1.3632705085288108,81.37883377075195,0
scenario91,-60,60,80,0,80,100,0.1,0,100,left,40,60,0,1e-05,0,1.4010852004814878,81.55016255378723,0
scenario92,-90,40,100,40,0,80,0.6,0,100,right,40,60,20,1e-05,0,0.8696295431559293,115.14140629768372,0
scenario93,0,80,20,0,0,0,0.8,80,20,right,40,60,40,1e-05,0,2.0300554323400024,168.63523960113525,0
scenario94,90,60,100,0,0,80,0.8,0,100,left,40,60,60,1e-05,0,1.96977665139406,81.7064368724823,0
scenario95,-60,80,40,0,60,60,0.6,80,20,left,40,60,80,1e-05,0,1.5460695643621063,81.36411929130554,0
scenario96,-30,40,80,40,0,80,0.4,40,60,right,40,60,100,1e-05,0,0.9686485343892808,101.27925324440002,0
scenario97,30,80,60,0,0,80,0.8,80,20,right,40,80,0,1e-05,0,2.219333176976158,115.40032267570496,0
scenario98,0,40,20,20,40,40,0.6,0,100,right,40,80,20,1e-05,0,0.7052212381380885,91.23139691352844,0
scenario99,30,80,100,0,100,40,0.4,80,20,right,40,80,40,1e-05,0,1.8002565014775298,167.72969913482666,0
scenario100,90,20,40,40,60,40,0.6,100,0,right,40,80,60,1e-05,0,1.8125122016649968,167.06912994384766,0
scenario101,-30,60,20,100,40,40,0.8,20,80,left,40,80,80,1e-05,0,1.378484018136033,82.87377572059631,0
scenario102,60,20,100,40,20,40,0.8,40,60,right,40,80,100,1e-05,0,1.419247454291464,105.36696720123292,0
scenario103,-90,40,40,0,60,60,0.6,0,100,right,40,100,0,1e-05,0,1.8092924887156576,111.41603088378906,0
scenario104,0,40,60,60,100,100,0.6,100,0,left,40,100,20,1e-05,0,1.355012578365922,83.51346445083618,0
scenario105,-60,20,60,40,0,100,0.2,40,20,left,40,100,40,1e-05,0,0.6674561723061491,188.1099419593811,0
scenario106,-30,20,60,0,0,0,0.8,40,60,left,40,100,60,1e-05,0,0.9883566840546064,104.36730217933656,0
scenario107,30,40,40,100,0,80,0.4,80,20,left,40,100,80,1e-05,0,1.3394672556672955,81.09656286239624,0
scenario108,30,40,80,60,0,80,0.4,0,100,right,40,100,100,1e-05,0,3.1837875896595142,180.66868925094604,0
scenario109,30,60,20,0,0,0,0.8,40,60,left,60,0,0,1e-05,0,1.4397467154199666,79.56518411636353,0
scenario110,-90,40,40,80,60,40,0.6,40,60,right,60,0,20,1e-05,0,1.5016626638347228,172.44907593727112,0
scenario111,0,60,80,0,100,0,0.6,0,100,left,60,0,40,1e-05,0,1.3690315614630886,80.9985978603363,0
scenario112,90,20,20,40,100,40,0.6,0,100,right,60,0,60,1e-05,0,1.5145555303780518,170.01379346847534,0
scenario113,60,20,100,0,100,40,0.4,80,20,left,60,0,80,1e-05,0,1.3709102751430258,79.62569785118103,0
scenario114,-90,60,80,0,0,100,0.2,40,60,right,60,0,100,1e-05,0,0.9347350560860812,96.63321805000304,0
scenario115,-90,60,40,40,80,100,0.1,100,0,right,60,20,0,1e-05,0,0.8654593625016823,108.67911386489868,0
scenario116,0,80,80,0,60,40,0.6,0,100,right,60,20,20,1e-05,0,0.8794571979675658,105.04009985923769,0
scenario117,-90,60,40,20,40,40,0.6,100,0,right,60,20,40,1e-05,0,0.8171103331454793,162.18450784683228,0
scenario118,90,40,60,0,0,100,0.2,80,20,right,60,20,60,1e-05,0,1.857950998685404,166.06878900527954,0
scenario119,30,80,100,0,0,0,0.8,80,20,right,60,20,80,1e-05,0,1.6003074200974274,167.5012378692627,0
