Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,right,0.1,100,100,40,20,60,40,0,0,1.4704995003210697,191.758615732193,0
scenario2,0,left,0.8,80,100,100,0,40,80,20,0,1.3676417652830593,82.36328220367432,0
scenario3,-30,left,0.2,0,60,0,60,0,0,40,0,1.3914574213556423,81.20944094657898,0
scenario4,-60,left,0.4,20,80,20,40,80,20,80,0,1.3857950682348028,81.27530717849731,0
scenario5,0,right,0.6,20,20,60,60,20,60,60,0,1.7747353291027548,170.8073992729187,0
scenario6,0,right,1.0,40,0,100,80,100,100,40,0,1.1783255935517951,176.4419302940369,0
scenario7,60,right,0.8,80,60,80,100,20,20,100,0,0.7912982128359406,106.47481107711792,0
scenario8,90,right,0.6,60,40,40,80,0,80,100,0,1.022863445881878,167.87105178833008,0
scenario9,30,left,1.0,0,40,80,20,40,100,80,0,1.1653316863856842,87.61628365516663,0
scenario10,60,right,0.2,60,20,100,0,80,0,0,0,0.8480948013577433,106.89736866950987,0
scenario11,90,right,1.0,80,80,60,40,60,0,40,0,1.4914391727609462,166.76412773132324,0
scenario12,-60,left,0.4,100,40,100,100,100,40,60,0,1.3732466179681453,82.24838876724243,0
scenario13,0,right,0.8,0,0,20,40,0,60,0,0,1.7355254097906456,103.28610515594482,0
scenario14,-60,left,0.6,40,80,0,100,20,100,0,0,0.6520456234049318,185.90956664085388,0
scenario15,90,left,0.2,40,100,100,60,60,60,80,0,1.4124012386781248,78.21589612960815,0
scenario16,90,left,0.1,60,20,80,40,100,40,20,0,1.34767314976062,80.5371527671814,0
scenario17,90,right,0.1,20,0,20,100,40,0,60,0,0.8829465763787653,160.48028922080994,0
scenario18,-90,left,1.0,60,100,0,60,80,20,100,0,1.4626815375653357,83.25705695152283,0
scenario19,60,right,0.4,40,60,60,20,100,80,20,0,0.9926260651595852,104.9681956768036,0
scenario20,0,left,0.2,100,80,60,20,0,20,100,0,1.447435157331732,81.64623069763184,0
scenario21,30,right,0.8,40,80,40,60,80,40,60,0,0.8359411052626903,89.1784315109253,0
scenario22,60,left,0.4,100,80,80,80,40,60,0,0,1.3443160313582354,81.33886313438416,0
scenario23,60,left,0.6,0,20,100,100,60,80,40,0,1.45553064355877,79.80417060852051,0
scenario24,60,left,1.0,20,40,80,0,0,0,20,0,1.3934727404161902,79.8469717502594,0
scenario25,60,left,0.1,0,0,40,80,20,0,80,0,1.3540045928039903,79.69710922241211,0
scenario26,90,right,0.8,100,20,60,80,80,100,80,0,2.1866961623535097,158.5426731109619,0
scenario27,90,left,0.6,100,60,20,0,20,40,40,0,1.3151679582178706,80.13163185119629,0
scenario28,0,right,0.4,0,100,60,100,80,40,40,0,1.7406850129459346,172.2116255760193,0
scenario29,60,left,0.2,80,100,20,40,100,100,60,0,0.7008827971448468,87.75199818611145,0
scenario30,60,right,0.2,60,0,0,100,40,40,20,0,1.8100978404521253,166.60435390472412,0
scenario31,30,right,0.4,40,20,80,0,60,60,100,0,0.7348667526217983,88.02036380767822,0
scenario32,-30,left,0.2,80,40,40,20,20,80,0,0,1.3829153877969105,81.91887950897217,0
scenario33,-60,right,0.1,60,60,100,20,40,60,100,0,0.9200787627406012,117.66998100280762,0
scenario34,90,left,0.8,0,80,0,0,100,20,60,0,1.4284628617388286,79.08844566345215,0
scenario35,60,right,0.8,20,40,0,20,80,60,40,0,0.721718682493343,92.48211765289308,0
scenario36,-30,right,0.6,100,0,20,60,60,20,20,0,1.9257657298624884,171.54796648025513,0
scenario37,30,right,1.0,80,20,40,100,0,20,80,0,1.4969680527550164,163.38054299354553,0
scenario38,90,left,1.0,20,60,60,60,40,80,0,0,1.455116438721855,79.57850241661072,0
scenario39,-30,right,0.4,40,100,20,80,20,0,100,0,1.126683264918889,173.63283586502075,0
scenario40,-60,right,0.1,20,20,0,80,0,80,20,0,0.9416232971460572,97.9880645275116,0
scenario41,60,left,0.1,80,0,60,0,80,20,60,0,1.428642331479573,78.72779321670532,0
scenario42,-90,left,0.6,80,60,100,80,0,60,60,0,1.4093184478236775,81.59283566474915,0
scenario43,0,left,1.0,20,20,40,40,40,40,100,0,1.4617174671687534,81.65099620819092,0
scenario44,-60,right,0.2,0,0,80,60,80,100,20,0,0.715525099686697,162.33315587043762,0
scenario45,30,left,0.6,0,0,0,40,100,80,100,0,1.4343582520627307,78.49583721160889,0
scenario46,60,left,0.4,20,0,100,20,60,100,0,0,1.4674045469852512,79.15891551971436,0
scenario47,-60,right,0.6,40,40,60,0,100,0,80,0,0.8209851977360468,112.11876964569092,0
scenario48,-90,right,0.2,20,0,80,40,20,20,40,0,1.023581077363331,105.31736254692078,0
scenario49,-60,right,0.4,40,100,40,40,40,80,40,0,0.7929679059609536,163.42428588867188,0
scenario50,0,left,1.0,100,60,0,100,60,60,20,0,1.4218456149408925,82.0568904876709,0
scenario51,-60,right,0.2,60,60,20,0,60,80,60,0,0.755211928903354,163.1665976047516,0
scenario52,90,right,0.4,60,100,80,100,0,100,0,0,2.1174613632841583,169.6263656616211,0
scenario53,60,right,0.1,80,80,20,60,0,40,80,0,1.5200072466281256,157.81997799873352,0
scenario54,30,right,0.2,80,40,60,80,40,0,100,0,1.6493703573972378,107.63949203491212,0
scenario55,-30,left,1.0,40,20,0,20,40,20,60,0,1.3676477183162623,82.72967910766602,0
scenario56,60,left,0.1,40,80,100,40,80,100,100,0,1.4256480117798709,78.36224937438965,0
scenario57,90,right,0.2,0,40,20,80,100,40,0,0,1.786981470061499,168.19149041175842,0
scenario58,0,right,0.4,20,60,40,0,0,100,80,0,1.93264401481972,171.57707452774048,0
scenario59,90,left,0.1,0,100,80,20,20,60,40,0,1.3913512403227906,78.44412755966187,0
