Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario1,left,0,100,20,80,30,40,0,20,0.4,0,1.3481903073140808,0
scenario2,left,0,100,0,20,-90,100,20,0,0.4,0,0.6940409755553174,0
scenario3,right,20,100,80,80,-60,100,0,100,0.1,0,1.1459237196265222,0
scenario4,left,100,100,20,80,30,100,60,20,0.4,0,1.356208957040978,0
scenario5,right,0,100,60,80,-60,60,40,100,0.4,0,0.9792565608327894,0
scenario6,left,40,100,20,80,-90,40,0,20,0.2,0,0.9329049696132824,0
scenario7,left,0,100,100,40,30,40,0,60,1.0,0,2.213246575489346,0
scenario8,right,20,100,0,80,30,20,80,0,0.4,0,2.797433010993592,0
scenario9,right,60,100,0,20,30,40,20,100,0.6,0,0.9634761122638524,0
scenario10,left,80,100,0,80,-60,40,0,80,0.1,0,0.9796097809079728,0
scenario11,left,0,100,80,100,30,100,0,0,0.1,0,1.3483759155980712,0
scenario12,left,40,80,80,80,-90,100,20,20,0.4,0,0.7328831997839877,0
scenario13,right,20,100,40,20,0,80,0,100,0.8,0,2.2402572339546536,0
scenario14,right,20,100,60,60,-30,40,60,0,0.4,0,0.8607157899133027,0
scenario15,left,0,100,20,40,-60,100,100,40,0.4,0,1.3936919058645774,0
scenario16,left,100,80,20,80,30,40,60,20,0.2,0,1.2879998204411094,0
scenario17,left,0,60,20,20,-90,100,20,20,0.4,0,0.7805843332320038,0
scenario18,left,40,100,100,100,30,0,40,60,0.4,0,0.961738404582604,0
scenario19,left,60,40,0,80,-60,100,40,20,0.4,0,1.7332732188986384,0
scenario20,right,100,20,60,40,30,100,0,100,0.4,0,0.8433818979199666,0
scenario21,left,40,80,80,80,30,40,0,60,1.0,0,0.4952045170708402,1
scenario22,left,20,100,20,0,60,100,60,0,0.0,0,1.378883367031157,0
scenario23,left,0,100,60,80,90,60,80,20,0.1,0,1.1123783490514378,0
scenario24,left,0,60,0,80,30,60,80,0,0.6,0,1.3498904041132196,0
scenario25,left,20,20,0,80,-90,20,0,0,0.1,0,1.4110257271823772,0
scenario26,left,60,40,20,100,30,20,0,100,0.1,0,1.9451432126749364,0
scenario27,left,80,60,100,80,0,80,0,80,0.4,0,1.3659082291778863,0
scenario28,right,0,60,60,40,-90,40,40,100,0.2,0,1.1232989879300483,0
scenario29,left,20,80,0,20,-60,60,0,20,0.2,0,0.95049849320978,0
scenario30,right,60,40,100,100,-60,40,80,0,0.1,0,0.8293340416844924,0
scenario31,right,0,20,80,0,-60,40,100,100,0.4,0,0.8395135344953943,0
scenario32,left,40,80,20,20,-60,100,20,0,0.1,0,0.8113628199877104,0
scenario33,right,0,80,0,80,-30,40,0,40,0.6,0,0.9939631862964028,0
scenario34,right,100,80,80,100,-90,100,40,20,0.2,0,1.9444267326003624,0
scenario35,right,80,0,0,60,30,80,20,80,0.4,0,2.3877798188060653,0
scenario36,right,100,60,20,80,30,100,80,40,0.8,0,1.0237423762536797,0
scenario37,left,0,40,40,20,60,100,60,100,0.4,0,1.3517022099862324,0
scenario38,right,20,0,0,80,90,0,100,100,0.4,0,0.8313525588160313,0
scenario39,left,40,20,60,40,-90,100,60,20,1.0,0,1.8040160239287344,0
scenario40,right,20,80,100,20,30,100,100,60,0.6,0,1.7818958114370158,0
scenario41,left,80,80,80,60,0,40,20,100,0.8,0,1.382375629723055,0
scenario42,left,60,60,40,60,30,100,0,20,0.8,0,1.3383622856668085,0
scenario43,left,100,80,20,40,-60,40,60,80,0.1,0,1.464272041724603,0
scenario44,left,20,40,20,80,-90,60,20,20,0.0,0,0.9166132631132108,0
scenario45,left,0,20,20,80,60,60,40,60,0.2,0,1.4306119080362194,0
scenario46,right,40,80,40,80,-60,0,0,0,0.1,0,0.8634792821773748,0
scenario47,left,100,60,80,20,-90,20,80,60,0.1,0,1.450348124386445,0
scenario48,left,0,40,20,0,30,20,80,20,0.0,0,1.339796454506819,0
scenario49,left,100,60,0,100,0,100,60,20,0.6,0,1.3850141486122345,0
scenario50,left,0,0,60,100,-30,100,0,80,1.0,0,1.3512210415279788,0
scenario51,left,60,60,20,100,-90,100,20,40,1.0,0,1.3787016004925663,0
scenario52,left,0,0,100,0,-90,40,0,20,0.6,0,0.9782673074480078,0
scenario53,right,40,60,20,20,-60,60,40,60,0.6,0,1.0421634651330676,0
scenario54,right,100,40,80,100,-60,20,20,0,0.2,0,0.8464833601381437,0
scenario55,left,80,20,60,40,-60,100,60,0,1.0,0,1.4017664953956512,0
scenario56,right,40,40,0,40,60,40,0,100,0.0,0,0.9270866894993344,0
scenario57,right,100,80,40,40,90,40,0,100,0.1,0,2.181369990116641,0
scenario58,left,20,40,80,20,-60,80,80,20,0.2,0,1.479074688080765,0
scenario59,right,40,60,100,40,-60,60,20,0,0.1,0,0.9808481482856004,0
scenario60,right,60,20,0,20,-60,60,40,60,0.1,0,1.0104866368371248,0
scenario61,right,20,80,0,40,-30,20,60,20,0.2,0,1.494637039754154,0
scenario62,left,0,40,20,20,0,80,40,0,1.0,0,1.3243088878058398,0
scenario63,left,80,40,60,20,-90,80,20,80,0.1,0,1.4174487647758875,0
scenario64,left,80,20,20,60,-30,20,20,20,0.8,0,1.4088004172745268,0
scenario65,left,0,60,0,60,-90,60,80,100,1.0,0,0.6959046051154899,0
scenario66,right,20,80,80,0,60,100,40,100,0.2,0,0.9427987210297348,0
scenario67,right,40,80,100,20,90,100,20,60,0.0,0,1.8372500360341248,0
scenario68,left,20,60,20,100,-90,60,100,80,0.1,0,1.4612877870796068,0
scenario69,right,0,0,80,40,-90,0,60,40,0.8,0,1.8952473063104216,0
scenario70,right,60,80,0,100,0,20,80,0,0.6,0,1.8164594637916185,0
scenario71,right,60,20,60,60,-60,20,20,100,0.6,0,0.9003880576481149,0
scenario72,left,0,0,20,20,-30,0,100,20,0.1,0,1.397963617774824,0
scenario73,left,80,0,100,100,-60,80,100,100,0.8,0,1.5119565982854222,0
scenario74,left,40,80,80,100,-60,60,60,80,1.0,0,1.3793037466726727,0
scenario75,right,20,40,60,100,0,20,80,60,1.0,0,0.7980665999615074,0
scenario76,left,20,20,100,20,-60,0,20,40,0.6,0,1.4087809728183276,0
scenario77,right,100,60,0,40,-30,60,40,80,0.2,0,0.8531970857442241,0
scenario78,right,80,60,0,0,0,80,20,20,0.1,0,2.222541592436259,0
scenario79,left,0,60,40,0,-90,20,60,20,0.0,0,1.3737134272151013,0
scenario80,left,0,60,80,80,30,40,0,20,0.4,0,1.09900054825259,0
scenario81,left,0,100,20,80,60,40,0,20,0.4,0,1.3901813092845452,0
scenario82,left,0,100,20,80,90,40,0,20,0.4,0,1.3778845360302705,0
scenario83,left,0,80,60,80,30,40,0,20,0.4,0,1.1067506239919482,0
scenario84,left,0,100,20,0,30,40,0,20,0.4,0,1.3931129581567698,0
scenario85,left,0,100,20,80,30,40,0,20,0.0,0,1.3116467976170176,0
scenario86,left,0,100,20,80,60,40,0,20,0.4,0,1.3800642112232089,0
scenario87,left,0,100,20,80,90,40,0,20,0.4,0,1.5965798990974294,0
scenario88,left,0,100,20,80,60,40,0,20,0.4,0,1.3623804965867072,0
scenario89,left,0,100,20,80,90,40,0,20,0.4,0,1.358777223230501,0
scenario90,left,0,100,80,80,30,40,0,60,0.4,0,0.6660132055397888,0
scenario91,left,0,100,0,80,30,40,0,40,0.4,0,1.4494552890639834,0
scenario92,left,0,100,80,80,30,40,80,20,0.4,0,1.201490066316252,0
scenario93,left,0,100,20,60,30,40,0,20,0.1,0,1.3644159035632688,0
scenario94,left,100,100,20,80,30,40,0,60,0.4,0,1.316785884279406,0
scenario95,left,0,100,20,80,-30,40,0,0,0.4,0,0.956282071323555,0
scenario96,left,0,100,80,80,30,20,0,20,0.4,0,0.9401145279347498,0
scenario97,left,100,100,20,80,30,40,80,20,0.4,0,1.3879341049245366,0
scenario98,left,0,100,20,80,30,40,0,40,0.1,0,1.338850284830564,0
scenario99,left,0,40,80,80,30,40,0,20,0.4,0,1.0158762544145314,0
scenario100,left,100,100,60,80,30,40,0,20,0.4,0,1.431269766332322,0
scenario101,left,100,100,20,80,30,20,0,20,0.4,0,1.331868668402027,0
scenario102,left,0,100,20,80,0,40,0,100,0.4,0,0.6163684570248911,0
scenario103,left,0,20,80,80,30,40,0,20,0.4,0,1.0336522256823353,0
scenario104,left,0,100,20,80,-30,40,0,100,0.4,0,1.421104768942864,0
scenario105,left,0,100,20,80,30,40,60,20,0.2,0,1.4699202651864038,0
scenario106,left,100,40,20,80,30,40,0,20,0.4,0,1.3843773087078923,0
scenario107,left,100,100,20,80,30,40,0,20,1.0,0,1.3304649532318922,0
scenario108,left,100,20,20,80,30,40,0,20,0.4,0,1.342095956200594,0
