Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario77,right,100,60,0,40,-30,60,40,80,0.2,0,1.025332420621472,0
scenario78,right,80,60,0,0,0,80,20,20,0.1,0,2.036206283927483,0
scenario79,left,0,60,40,0,-90,20,60,20,0.0,0,1.3774519483771444,0
scenario80,left,0,60,80,80,30,40,0,20,0.4,0,1.0849070214017678,0
scenario81,left,0,100,20,80,60,40,0,20,0.4,0,1.3436532721556187,0
scenario82,left,0,100,20,80,90,40,0,20,0.4,0,1.424518146704464,0
scenario83,left,0,80,60,80,30,40,0,20,0.4,0,1.0105688822736654,0
scenario84,left,0,100,20,0,30,40,0,20,0.4,0,1.3550484592588723,0
scenario85,left,0,100,20,80,30,40,0,20,0.0,0,1.3896930472343882,0
scenario86,left,0,100,20,80,60,40,0,20,0.4,0,1.3363031176352194,0
scenario87,left,0,100,20,80,90,40,0,20,0.4,0,1.3648016176567752,0
scenario88,left,0,100,20,80,60,40,0,20,0.4,0,1.3705277505098956,0
scenario89,left,0,100,20,80,90,40,0,20,0.4,0,1.3696976399323,0
scenario90,left,0,100,80,80,30,40,0,60,0.4,0,0.9893678983936576,0
scenario91,left,0,100,0,80,30,40,0,40,0.4,0,1.0529792392946205,0
scenario92,left,0,100,80,80,30,40,80,20,0.4,0,1.064233590314279,0
scenario93,left,0,100,20,60,30,40,0,20,0.1,0,1.393897600428842,0
scenario94,left,100,100,20,80,30,40,0,60,0.4,0,1.3633877400096,0
scenario95,left,0,100,20,80,-30,40,0,0,0.4,0,0.977753733212089,0
scenario96,left,0,100,80,80,30,20,0,20,0.4,0,1.1414787850056871,0
scenario97,left,100,100,20,80,30,40,80,20,0.4,0,1.4382762443800727,0
scenario98,left,0,100,20,80,30,40,0,40,0.1,0,1.3836340137790233,0
scenario99,left,0,40,80,80,30,40,0,20,0.4,0,1.055968608137679,0
scenario100,left,100,100,60,80,30,40,0,20,0.4,0,1.0100937349480372,0
scenario101,left,100,100,20,80,30,20,0,20,0.4,0,1.462467104321942,0
scenario102,left,0,100,20,80,0,40,0,100,0.4,0,0.5736179460725067,0
scenario103,left,0,20,80,80,30,40,0,20,0.4,0,1.0050776764518283,0
scenario104,left,0,100,20,80,-30,40,0,100,0.4,0,0.8117841798842309,0
scenario105,left,0,100,20,80,30,40,60,20,0.2,0,1.513700271867022,0
scenario106,left,100,40,20,80,30,40,0,20,0.4,0,1.2836033774406974,0
scenario107,left,100,100,20,80,30,40,0,20,1.0,0,1.32433554415369,0
scenario108,left,100,20,20,80,30,40,0,20,0.4,0,1.4904646275719298,0
scenario109,left,0,100,20,80,30,40,60,60,0.4,0,1.5328663899576886,0
scenario110,left,0,100,20,20,30,40,0,20,0.8,0,1.4608274372759054,0
scenario111,left,80,100,20,80,30,40,0,0,0.4,0,1.339646629026191,0
scenario112,left,0,100,20,60,30,40,0,0,0.4,0,1.4218722936279875,0
scenario113,left,100,100,100,80,30,40,0,20,0.4,0,1.910927511233655,0
scenario114,left,0,100,60,80,30,40,60,20,0.4,0,1.1436638381526572,0
scenario115,left,0,100,0,80,30,40,0,20,0.8,0,1.361323686091454,0
scenario116,left,60,100,80,80,30,40,0,20,0.4,0,0.927076402712364,0
scenario117,left,0,100,80,80,30,40,0,20,0.6,0,1.165899296412963,0
