Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario65,30,left,0.4,80,40,0,60,60,40,40,0,1.3337065634175644,74.9649543762207,0
scenario66,30,left,0.2,20,60,0,20,100,40,80,0,1.500701933467685,72.36758041381836,0
scenario67,30,left,0.8,80,0,80,60,100,0,0,0,1.3145993385430963,75.0591049194336,0
scenario68,-90,left,0.8,20,0,100,80,60,40,100,0,0.90128756491347,99.51572036743164,0
scenario69,60,left,0.8,40,40,40,40,60,20,0,0,1.410646684907352,75.52023243904114,0
scenario70,-30,right,0.1,60,40,100,0,20,20,80,0,0.9803696768347758,95.3944969177246,0
scenario71,60,left,0.8,20,100,60,100,20,80,80,0,1.702741839732688,74.63111233711243,0
scenario72,-30,right,0.6,20,100,100,40,0,40,60,0,0.7593436607637388,153.864976644516,0
scenario73,60,left,0.6,60,100,20,20,40,0,40,0,1.3546686790714906,75.37987613677979,0
scenario74,30,right,0.4,100,60,100,40,80,0,20,0,2.373833525819581,106.81433343887328,0
scenario75,90,left,0.8,100,20,0,40,20,0,100,0,1.4575580892582312,74.65140271186829,0
scenario76,60,right,0.6,0,80,40,60,40,20,20,0,1.4275751824267835,158.0476725101471,0
scenario77,-90,right,0.6,100,0,80,100,40,80,80,0,0.8874038657983389,103.6516466140747,0
scenario78,-90,right,1.0,80,0,0,0,40,100,0,0,0.9895675596549252,96.21119666099548,0
scenario79,60,right,1.0,100,20,20,80,100,60,100,0,1.7752170303746375,96.8475694656372,0
scenario80,60,right,0.8,20,20,80,80,40,100,60,0,0.8330392018360067,96.33263421058656,0
scenario81,-60,left,0.2,80,20,20,100,80,60,40,0,0.8917230916987773,92.66821026802064,0
scenario82,-60,left,0.1,100,60,20,60,100,100,0,0,0.748387277651944,74.97150945663452,0
scenario83,90,left,0.8,60,0,80,0,60,40,80,0,1.3438366769485548,73.76194524765015,0
scenario84,-30,right,0.4,60,80,0,40,60,80,80,0,0.8907574221419647,108.1418640613556,0
scenario85,90,left,0.1,40,60,60,100,0,40,100,0,1.4152412148012767,74.81213974952698,0
scenario86,30,left,0.8,40,100,0,20,0,100,20,0,0.7878537677085021,80.3087592124939,0
scenario87,-90,right,0.4,0,80,20,20,20,80,60,0,0.7674401757990101,155.28845405578613,0
scenario88,30,left,0.6,0,20,60,0,0,40,0,0,1.3729845832020395,74.73663425445557,0
scenario89,-30,right,0.2,20,40,60,100,60,100,100,0,0.8769906929969105,99.67382860183716,0
scenario90,-60,left,1.0,80,100,100,60,20,0,60,0,1.3531534065127708,77.50389075279236,0
scenario91,-30,left,0.1,100,80,80,0,80,80,40,0,0.6695384679374506,87.70758485794067,0
scenario92,-90,left,0.1,80,80,40,100,100,0,20,0,0.9996184340820508,105.61726689338684,0
