Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-60,right,1.0,0,100,80,80,80,80,80,0,0.8987341989826337,119.1167893409729,0
scenario2,-30,left,1.0,60,60,0,40,60,20,20,0,1.0912728686471478,100.47584462165833,0
scenario3,-90,right,0.2,20,80,100,60,20,40,20,0,0.8109637526663976,115.85542845726012,0
scenario4,-90,left,0.6,40,0,60,20,40,100,0,0,1.3767049018575328,82.41569995880127,0
scenario5,-90,left,0.4,80,40,20,100,0,0,100,0,1.453224175453958,83.55347394943237,0
scenario6,-60,left,0.8,100,20,40,0,100,60,60,0,1.3960007762491764,82.90376257896423,0
scenario7,-30,right,0.4,100,0,100,20,80,60,40,0,0.9773153842928244,98.54879546165466,0
scenario8,-90,right,1.0,60,40,80,60,100,100,60,0,1.032539654578468,104.64329409599304,0
scenario9,60,right,0.1,0,60,60,0,20,0,40,0,0.828873493824056,113.41036868095398,0
scenario10,-90,left,0.1,20,60,0,80,40,60,80,0,1.4956494632886397,81.60330390930176,0
scenario11,0,right,0.8,0,100,40,20,60,40,100,0,1.6528809361605252,164.41387939453125,0
scenario12,-60,right,0.1,40,20,20,40,0,40,0,0,0.8821557411054065,102.40132761001588,0
scenario13,-60,right,0.2,80,0,80,100,40,0,20,0,0.948588969809159,114.99803400039671,0
scenario14,60,left,0.2,40,100,100,100,100,20,0,0,1.3746054016102671,79.55822038650513,0
scenario15,30,left,0.6,60,80,40,60,0,80,40,0,1.4460126169609435,79.72401881217957,0
scenario16,-30,left,0.8,100,80,20,100,20,100,80,0,0.8821429552588929,110.57885193824768,0
scenario17,0,left,0.6,100,40,20,0,40,80,20,0,1.3579253865437797,82.56932401657104,0
scenario18,90,right,0.6,80,80,60,40,80,20,60,0,0.7705444774928156,107.39972567558289,0
scenario19,60,left,0.2,60,20,20,60,80,60,100,0,1.4566505041058464,79.25880432128906,0
scenario20,60,right,0.4,100,80,0,80,60,0,0,0,0.8173346497569927,108.8738009929657,0
scenario21,0,left,1.0,80,0,60,80,100,40,80,0,1.4357379023790255,79.35232758522034,0
scenario22,90,left,1.0,20,20,0,20,20,80,100,0,1.3710087369149866,80.29984712600708,0
scenario23,-30,left,0.4,20,100,80,0,40,40,60,0,1.5010173818257606,84.30077075958252,0
scenario24,60,left,0.8,40,60,40,80,0,100,20,0,1.3846567493310145,80.03901481628418,0
scenario25,90,left,0.8,60,40,100,60,60,0,80,0,1.3993909813606331,79.64495825767517,0
scenario26,0,left,0.6,0,20,80,100,40,20,40,0,1.5850399251664296,81.23540329933167,0
scenario27,-60,right,0.2,20,40,0,40,60,100,40,0,0.7700406444048771,105.39409041404724,0
scenario28,-30,left,0.6,0,60,100,40,100,0,100,0,1.386386683371572,83.73617768287659,0
scenario29,30,right,0.4,40,60,80,20,20,0,60,0,0.3768750411885712,153.60285353660583,1
scenario30,30,left,1.0,0,40,60,100,60,60,0,0,1.1328128664445605,87.78749179840088,0
scenario31,60,right,0.8,80,0,40,40,40,80,80,0,2.865654323166506,157.34511423110962,0
scenario32,0,right,0.4,60,60,60,60,20,80,0,0,0.8526706722979932,117.44706797599792,0
scenario33,90,right,0.4,0,100,20,20,100,60,20,0,1.7457294944565782,168.60213112831116,0
scenario34,30,right,0.1,100,0,40,40,20,20,100,0,1.6275878742826042,158.6182563304901,0
scenario35,-30,left,0.1,80,20,100,80,0,80,60,0,0.9158193597530608,103.6332621574402,0
scenario36,-60,right,1.0,40,80,100,0,40,100,100,0,1.5532667079047882,169.78951025009155,0
scenario37,90,right,0.1,20,60,40,100,80,100,0,0,1.6795834041063544,158.90588545799255,0
scenario38,-90,right,0.8,80,100,0,0,0,20,40,0,0.8596203169145175,98.98844385147096,0
scenario39,90,right,0.2,100,60,80,80,0,40,40,0,1.8196784587074253,166.12331461906433,0
scenario40,90,right,0.6,40,0,20,0,60,20,80,0,0.8001602975778729,159.20017170906067,0
scenario41,0,left,0.2,0,0,0,40,0,60,60,0,1.552966433176846,79.54128456115723,0
scenario42,30,right,0.2,40,40,0,0,80,40,80,0,2.218209624752234,161.2094316482544,0
scenario43,-90,left,0.1,0,20,60,60,60,80,20,0,1.3558042527295409,80.31787896156311,0
scenario44,-30,right,0.2,20,40,40,20,0,0,80,0,0.7469253664817006,164.70853924751282,0
scenario45,-60,left,0.6,80,100,80,60,20,100,0,0,0.6550678824633138,98.20305514335632,0
scenario46,-90,left,0.1,100,80,0,60,100,20,40,0,0.8943079295168924,101.54123091697691,0
scenario47,-90,right,1.0,60,100,40,20,80,0,40,0,0.7987221486329922,102.46997547149658,0
scenario48,30,right,0.8,20,100,60,20,80,20,0,0,0.839909387727371,90.79430627822876,0
scenario49,60,left,0.1,60,40,80,80,20,60,100,0,1.412269895563934,79.34921526908875,0
scenario50,-60,left,0.4,60,60,20,100,40,20,60,0,1.36266706485884,81.3318178653717,0
scenario51,-30,right,1.0,40,80,20,60,40,60,40,0,0.963709237782666,105.8829107284546,0
scenario52,0,right,0.1,0,80,60,20,0,100,0,0,0.7086770858638427,91.85154604911804,0
scenario53,-30,right,0.2,100,100,60,0,100,80,0,0,1.4680801192643371,193.5478174686432,0
scenario54,30,right,0.4,20,20,20,80,100,100,20,0,0.6413264486192558,90.8944606781006,0
scenario55,0,right,0.4,20,20,80,40,80,0,80,0,1.871322356522136,172.45423936843872,0
scenario56,60,right,0.6,60,0,0,100,60,40,60,0,1.0148118329881453,99.54703044891356,0
scenario57,60,left,0.6,20,0,80,80,80,20,20,0,1.3994753053299558,78.91083574295044,0
scenario58,0,left,0.1,40,100,100,100,60,80,100,0,1.6070584404312227,82.89687514305115,0
scenario59,-90,right,0.6,80,100,80,40,60,60,100,0,1.1824949730561274,173.9766297340393,0
scenario60,30,left,0.2,80,40,60,20,40,20,100,0,1.4495781148335052,80.36228084564209,0
scenario61,30,left,1.0,100,0,100,60,0,80,60,0,1.384848486418598,80.23518252372742,0
scenario62,60,left,1.0,80,80,80,20,0,100,20,0,1.4242724639162698,81.13384652137756,0
scenario63,90,right,0.4,80,60,40,20,40,60,40,0,1.85019124544638,168.57595133781433,0
scenario64,-60,right,0.2,0,40,60,20,80,60,100,0,1.2002434544532925,107.54440951347352,0
scenario65,90,right,0.8,60,40,80,0,80,60,100,0,1.7271748327897034,158.24326276779175,0
