Row,z_1,z_2
bnd_pnt_1,-2.16287576857979,-0.0181299293137201
bnd_pnt_2,-2.00959020178827,0.10232494025759
bnd_pnt_3,-1.9220454805476,0.393597164198318
bnd_pnt_4,-1.51350854442828,0.0274669081812651
bnd_pnt_5,-1.48294268811993,-0.491755866260549
bnd_pnt_6,-1.58661770167016,-0.673813658854281
bnd_pnt_7,-1.56063847051991,-0.995214565066949
bnd_pnt_8,-1.39208891925151,-1.22850418769073
bnd_pnt_9,-1.75403102930235,-0.970822888691352
bnd_pnt_10,-2.03293119449371,-0.997501059536845
bnd_pnt_11,NaN,NaN
bnd_pnt_12,-1.47606412223752,-1.59898314353105
bnd_pnt_13,-1.39208891925151,-1.22850418769073
bnd_pnt_14,-0.846970148269365,-1.85794199997543
bnd_pnt_15,-1.16960134478766,-2.45066327618438
bnd_pnt_16,-1.64003358322333,-1.74751826981599
bnd_pnt_17,NaN,NaN
bnd_pnt_18,-0.911418429396762,0.313714626136891
bnd_pnt_19,-1.51350854442828,0.0274669081812651
bnd_pnt_20,-1.16760820562892,0.533046049027513
bnd_pnt_21,-1.30426411180197,1.30079140079237
bnd_pnt_22,-1.62742912356566,1.57425270333799
bnd_pnt_23,-1.42318930984821,1.82077625428256
bnd_pnt_24,-1.34198650069295,2.31625199386828
bnd_pnt_25,-1.03382041760757,2.1830924363024
bnd_pnt_26,-0.681719163858692,2.2044190717344
bnd_pnt_27,-0.486009778454774,2.35823088410649
bnd_pnt_28,-0.341534766927256,1.94647319551222
bnd_pnt_29,0.347576892749074,1.71746375920785
bnd_pnt_30,-0.268273092958692,1.42877709452227
bnd_pnt_31,-0.280087738611446,1.32324146078981
bnd_pnt_32,-0.53240752464785,1.28712926353202
bnd_pnt_33,-0.612571778712751,0.739656132128263
bnd_pnt_34,-0.790806538744843,0.660092782068634
bnd_pnt_35,NaN,NaN
bnd_pnt_36,0.504693570573535,1.47220490111919
bnd_pnt_37,0.347576892749074,1.71746375920785
bnd_pnt_38,0.6073859482838,1.85435275568234
bnd_pnt_39,0.955548781440091,2.3190642016507
bnd_pnt_40,1.10340843094817,2.68027909298049
bnd_pnt_41,1.40471220606285,2.22428107624938
bnd_pnt_42,1.46535574320968,1.75080964194304
bnd_pnt_43,1.29854992949687,1.55566845661316
bnd_pnt_44,1.16522757635288,0.741498263420397
bnd_pnt_45,1.31816061638852,0.173821025157522
bnd_pnt_46,1.31215042253318,-0.103504790618307
bnd_pnt_47,1.4790794071363,-0.282227222365968
bnd_pnt_48,1.27550851359781,-0.385727314764411
bnd_pnt_49,0.827901076259261,-0.830215276715466
bnd_pnt_50,1.02954860109044,-1.54835839714698
bnd_pnt_51,0.943919783127181,-1.80834647727885
bnd_pnt_52,0.621355608512157,-1.97890818970625
bnd_pnt_53,0.0194638568461552,-2.77434533361062
bnd_pnt_54,-0.18674897685149,-1.98679882223108
bnd_pnt_55,-0.136658169173554,-1.79507538616955
bnd_pnt_56,-0.222119271101948,-1.49124698756169
bnd_pnt_57,-0.205360385965029,-1.12329030701062
bnd_pnt_58,-0.0715796765163245,-1.02211169852944
bnd_pnt_59,0.0122747300078834,-0.736407480289606
bnd_pnt_60,0.511839909678406,-0.679355702652495
bnd_pnt_61,1.01009371114962,0.0408145559122618
bnd_pnt_62,0.954986012810896,0.377989058936831
bnd_pnt_63,0.469778556695147,1.22451266612029
bnd_pnt_64,NaN,NaN
bnd_pnt_65,2.01217274810714,-0.470635296634559
bnd_pnt_66,1.4790794071363,-0.282227222365968
bnd_pnt_67,2.07891293820315,-0.0825345476398371
bnd_pnt_68,1.976434241972,0.331453199793997
bnd_pnt_69,2.27788960288126,0.419831665348002
bnd_pnt_70,2.51037192868346,0.00857297756161058
bnd_pnt_71,2.41748297205839,-0.651822478324129
bnd_pnt_72,2.25528890219164,-0.746266600941107
