instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,1,2,0,2,0,3427.1882519293813,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,0,1,2,1,0,4.0187302373929255,0
scenario54,60,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.00684,1,2,2,0,0,9999.0,0
scenario55,-90,40,40,0,0,0,0.8,0,100,0,60,0,c1,0.00563,1,2,0,1,0,1313.7980700055416,0
scenario56,-90,40,80,0,0,0,0.8,0,100,0,60,0,c2,0.00568,0,1,2,0,0,3.821264365007163,0
scenario57,0,20,20,0,0,0,0.8,0,100,0,60,0,c4,0.00526,1,0,2,0,0,9999.0,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,60,20,c1,0.00295,0,1,1,2,0,2.551658150616109,0
scenario59,-30,40,20,0,0,0,0.8,0,100,0,60,20,c2,0.00231,2,0,0,1,1,0.5742274881735898,1
scenario60,-90,20,60,0,0,0,0.8,0,100,0,60,20,c4,0.01474,2,0,1,2,0,1.761150233511172,0
scenario61,-90,20,100,0,0,0,0.8,0,100,0,60,40,c1,0.0129,0,2,1,2,0,2.7035687604917857,0
scenario62,30,20,40,0,0,0,0.8,0,100,0,60,40,c2,0.00825,2,1,0,1,0,1.3514694663887636,0
scenario63,0,20,60,0,0,0,0.8,0,100,0,60,40,c4,0.00787,2,0,1,0,0,3.0824069226459008,0
scenario64,0,20,80,0,0,0,0.8,0,100,0,60,60,c1,0.00833,1,2,0,2,0,9999.0,0
scenario65,90,20,40,0,0,0,0.8,0,100,0,60,60,c2,0.00691,0,1,2,1,0,4.174081897870369,0
scenario66,-30,20,100,0,0,0,0.8,0,100,0,60,60,c4,0.0069,1,2,2,0,0,9999.0,0
scenario67,60,20,60,0,0,0,0.8,0,100,0,60,80,c1,0.00697,1,2,0,1,0,9999.0,0
scenario68,-30,20,60,0,0,0,0.8,0,100,0,60,80,c2,0.00674,0,1,2,0,0,4.772593622375041,0
scenario69,-60,20,100,0,0,0,0.8,0,100,0,60,80,c4,0.00664,1,0,2,0,0,9999.0,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,60,100,c1,0.00591,0,1,1,2,0,2.229906224011913,0
scenario71,90,20,80,0,0,0,0.8,0,100,0,60,100,c2,0.00611,2,0,0,1,0,0.4891070352285325,1
scenario72,30,20,100,0,0,0,0.8,0,100,0,60,100,c4,0.00574,2,0,1,2,0,1.8951766287328204,0
scenario73,-60,20,60,0,0,0,0.8,0,100,0,80,0,c1,0.00587,0,2,1,2,0,2.5574709114306304,0
scenario74,-90,40,60,0,0,0,0.8,0,100,0,80,0,c2,0.00583,2,1,0,1,0,2.733466281588532,0
scenario75,-90,40,100,0,0,0,0.8,0,100,0,80,0,c4,0.00499,2,0,1,0,0,2.8668216183329283,0
scenario76,-90,60,40,0,0,0,0.8,0,100,0,80,20,c1,0.00481,1,2,0,2,0,9999.0,0
scenario77,-90,60,80,0,0,0,0.8,0,100,0,80,20,c2,0.00442,0,1,2,1,0,4.674410709305088,0
scenario78,-90,40,20,0,0,0,0.8,0,100,0,80,20,c4,0.00368,1,2,2,0,0,9999.0,0
scenario79,90,60,40,0,0,0,0.8,0,100,0,80,40,c1,0.00319,1,2,0,1,0,9999.0,0
scenario80,0,40,40,0,0,0,0.8,0,100,0,80,40,c2,0.00296,0,1,2,0,0,3.827631566933912,0
scenario81,-30,40,40,0,0,0,0.8,0,100,0,80,40,c4,0.00294,1,0,2,0,0,9999.0,0
