Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},-0.5166,-0.8071,0.0184,0.1504,-0.5304,0.6424,-0.914,0.2982,0.2955,-0.3427,0.306,0.2496,0.0425
Z_{2},-0.1922,-0.7361,0.0392,-0.8804,-0.2937,-0.9692,-0.662,0.4634,-0.0982,-0.001,0.2287,-0.3789,0.393
