instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario67,c2,2,0,0,1,0.4,20,20,80,80,60,100,20,0,2.1511833550451835,0
scenario68,c4,2,0,1,0,0.1,40,40,60,20,100,20,100,0,14.24286842268524,0
scenario69,c4,2,0,1,0,0.2,80,0,20,100,60,0,80,0,2.6494848741186474,0
scenario70,c4,1,0,2,0,0.8,100,40,0,40,0,20,60,1,0.0,1
scenario71,c1,1,2,0,2,0.6,80,0,40,60,40,40,20,0,5.119492923681839,0
scenario72,c4,2,0,1,2,0.6,100,20,100,100,60,100,0,1,0.0,1
scenario73,c2,0,1,2,0,0.8,0,60,0,100,40,40,40,0,2.2659479173595694,0
scenario74,c4,1,2,2,0,0.8,40,0,40,100,40,60,100,1,0.0,1
scenario75,c1,1,2,0,2,0.1,60,80,40,80,20,100,0,0,6.587882735405748,0
scenario76,c2,0,1,2,1,0.6,80,80,100,60,60,0,40,0,2.9771805532892937,0
scenario77,c2,0,1,2,1,0.2,80,100,20,80,100,40,60,0,3.153924577199346,0
scenario78,c4,2,0,1,2,0.2,20,100,40,60,20,0,60,0,1.2539100515150778,0
scenario79,c4,2,0,1,0,0.1,0,80,20,80,100,60,40,0,23.56073789024325,0
scenario80,c4,2,0,1,0,0.2,80,20,0,60,100,80,100,0,14.05806711300556,0
scenario81,c1,1,2,0,2,1.0,0,100,40,60,100,60,0,0,6.593492701353832,0
scenario82,c4,2,0,1,0,1.0,20,20,20,100,80,20,20,0,10.063930341249645,0
scenario83,c1,1,2,0,2,0.6,20,100,40,40,60,20,80,0,6.021047615753544,0
scenario84,c2,2,1,0,1,1.0,20,40,40,80,100,80,100,0,3.542869107592643,0
scenario85,c1,0,2,1,2,0.4,60,100,60,0,60,60,60,0,2.829293322070965,0
scenario86,c2,0,1,2,1,0.1,40,40,100,80,60,60,80,0,2.972823042050685,0
scenario87,c1,1,2,0,2,0.4,80,20,80,0,80,80,40,0,4.696136209612952,0
scenario88,c4,2,0,1,0,0.4,100,60,80,100,20,40,20,0,4.222483701576698,0
scenario89,c2,0,1,2,1,0.4,60,80,0,40,20,0,40,0,3.0632146934371014,0
scenario90,c2,0,1,2,1,0.8,100,40,20,80,80,0,40,0,3.1442117063495028,0
scenario91,c2,2,1,0,1,0.8,20,40,20,40,40,100,0,0,2.076913063979396,0
scenario92,c2,0,1,2,1,0.8,60,20,20,100,20,80,60,0,3.0915486266004604,0
scenario93,c2,2,1,0,1,1.0,100,60,80,60,40,40,100,0,3.795774460370373,0
scenario94,c1,1,2,0,2,0.1,20,40,100,20,40,40,20,0,5.506081464877519,0
scenario95,c2,0,1,2,1,0.2,0,0,60,80,0,100,100,0,4.167132500839208,0
scenario96,c1,0,2,1,2,0.8,80,100,100,20,0,20,20,0,2.4350273951431345,0
scenario97,c1,0,2,1,2,0.2,100,60,80,80,100,20,0,0,2.231813962570577,0
scenario98,c4,1,0,2,0,0.6,0,0,80,40,40,60,80,0,2.43625828464846,0
scenario99,c1,1,2,0,2,1.0,80,40,60,40,20,40,40,0,5.254992336888939,0
scenario100,c4,1,2,2,0,0.2,100,100,40,20,0,40,80,0,4.242775031129522,0
scenario101,c4,2,0,1,0,0.2,0,40,100,40,0,0,20,0,17.114483183300806,0
scenario102,c2,0,1,2,1,1.0,80,80,100,0,80,80,20,0,3.097439171680337,0
scenario103,c2,0,1,2,0,0.2,100,20,80,40,80,0,100,0,1.5178642539164324,0
scenario104,c1,0,1,1,2,1.0,60,60,60,20,60,80,40,0,2.468786289229236,0
scenario105,c2,2,0,0,1,1.0,0,20,40,20,40,60,60,0,3.041878355396502,0
scenario106,c4,1,0,2,0,0.1,0,20,0,0,100,100,0,0,2.195085388164129,0
scenario107,c4,1,2,2,0,0.4,100,20,20,20,60,60,100,0,4.619265737453402,0
scenario108,c2,0,1,2,1,0.8,80,100,40,40,80,80,80,0,5.64328830855538,0
scenario109,c2,0,1,2,0,0.2,40,80,60,0,60,0,0,0,1.6433825997618208,0
scenario110,c1,0,2,1,2,0.2,0,20,80,60,60,40,40,0,2.6637945262734286,0
scenario111,c2,2,0,0,1,0.6,60,100,100,100,100,60,20,0,2.1118465701843854,0
scenario112,c1,1,2,0,2,0.1,40,60,60,60,0,40,60,0,5.812961656504302,0
scenario113,c1,1,2,0,2,0.8,40,80,80,20,100,0,40,0,7.014004655317453,0
scenario114,c1,0,1,1,2,0.1,100,60,40,0,40,0,80,0,2.219224354824545,0
scenario115,c1,1,2,0,1,0.6,100,40,20,60,100,100,60,0,4.443442682985625,0
scenario116,c4,1,0,2,0,0.6,40,80,80,80,20,80,20,0,3.60733433106486,0
scenario117,c2,2,1,0,1,0.1,60,0,0,20,80,60,0,0,2.697701648475361,0
scenario118,c2,2,1,0,1,0.4,80,60,20,100,0,20,100,0,3.2530904763091915,0
scenario119,c1,1,2,0,1,0.2,20,20,60,80,40,80,80,0,5.119785796752467,0
scenario120,c1,0,2,1,2,0.8,100,60,40,40,100,100,20,0,2.6905353494333872,0
scenario121,c2,0,1,2,0,0.6,0,60,100,80,20,0,60,0,1.7127115191063231,0
scenario122,c4,2,0,1,0,0.4,20,40,60,0,80,0,80,0,17.946688726202925,0
scenario123,c4,2,0,1,0,1.0,40,100,20,60,40,80,40,0,2.5303000981824626,0
scenario124,c2,0,1,2,1,0.4,80,0,60,20,80,40,100,0,2.940181179801518,0
scenario125,c4,1,0,2,0,0.8,40,0,0,60,20,0,80,1,0.0,1
scenario126,c2,2,0,0,1,0.1,20,60,0,20,20,100,100,0,1.9713838887272783,0
scenario127,c1,1,2,0,1,0.4,40,20,0,20,20,40,60,0,7.12650186449153,0
scenario128,c1,1,2,0,2,0.1,60,0,80,0,40,80,100,0,6.637238017760327,0
scenario129,c1,0,1,1,2,0.4,0,80,40,40,20,60,20,0,2.364809120900038,0
scenario130,c2,0,1,2,0,1.0,60,100,80,100,0,100,40,0,1.6986539264113,0
scenario131,c4,1,2,2,0,0.6,0,20,100,80,80,40,100,1,0.0,1
scenario132,c4,2,0,1,0,0.1,60,80,80,100,60,20,60,0,6.394633033773671,0
scenario133,c4,2,0,1,0,0.6,60,0,60,100,0,40,80,0,20.40955442566186,0
scenario134,c4,2,0,1,2,0.1,100,0,0,40,100,40,100,0,1.2552791875003002,0
scenario135,c2,0,1,2,1,0.1,0,60,20,20,100,80,20,0,3.416366035785887,0
scenario136,c2,0,1,2,1,0.4,40,100,0,100,0,80,0,0,2.424270616438204,0
scenario137,c1,0,2,1,2,1.0,40,100,60,80,80,60,0,1,0.0,1
scenario138,c2,2,1,0,1,0.6,100,0,0,0,60,20,40,0,3.0167036335226083,0
scenario139,c2,0,1,2,1,0.6,60,100,80,20,80,80,60,0,2.800361002060839,0
scenario140,c4,2,0,1,0,0.1,80,20,80,60,80,20,80,0,32.426277612415966,0
scenario141,c4,1,0,2,0,0.1,80,40,100,100,20,60,0,0,2.816550164770204,0
scenario142,c4,1,0,2,0,1.0,40,100,100,60,60,100,60,0,3.4186796497441647,0
scenario143,c2,2,1,0,1,1.0,80,0,80,80,0,0,60,0,3.4095081834060346,0
scenario144,c2,2,0,0,1,0.2,0,100,100,0,80,20,0,0,3.2264005726076714,0
scenario145,c4,2,0,1,2,0.4,0,40,20,60,40,0,100,0,1.2776790862566652,0
scenario146,c4,2,0,1,2,0.4,60,40,100,60,20,20,20,0,1.2674431049963912,0
scenario147,c1,1,2,0,1,0.8,0,60,100,60,40,80,0,0,6.132841824511834,0
scenario148,c4,1,0,2,0,0.8,100,80,40,60,80,40,0,0,2.662124033181024,0
scenario149,c2,0,1,2,1,0.1,100,80,20,40,40,20,20,0,2.876109345841732,0
scenario150,c2,2,1,0,1,0.2,20,60,20,60,60,60,0,0,3.080118183053587,0
scenario151,c2,2,0,0,1,0.8,60,80,0,80,60,40,20,0,2.284934915472668,0
scenario152,c4,1,2,2,0,0.6,80,40,60,80,60,20,40,0,2.897057680863293,0
scenario153,c2,2,1,0,1,0.6,0,100,60,60,20,100,80,0,3.4460851993839854,0
