Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario2,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.62288709611327,0,0
scenario3,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario4,0,1.7536633555874,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario5,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario6,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario7,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario8,0,1.62833745171735,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario9,0,1.73003861988031,0.585275952657141,0,0,0,0,1.62288709611327,0,0
scenario10,0,1.74458332769159,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario11,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario12,0,1.70256941193463,-0.25645595589108,0,0,0,0,1.62288709611327,0,0
scenario13,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario14,0,1.62833745171735,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario15,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.75137291733101,0,0
scenario16,0,1.7536633555874,-0.25645595589108,0,0,0,0,1.72698543319673,0,0
scenario17,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.62288709611327,0,0
scenario18,0,1.70256941193463,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario19,0,1.73003861988031,-1.56515003888201,0,0,0,0,1.69875493647252,0,0
scenario20,0,1.7536633555874,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario21,0,1.70256941193463,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario22,0,1.62833745171735,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario23,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario24,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.74198504635896,0,0
scenario25,0,1.62833745171735,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario26,0,1.73003861988031,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario27,0,1.74458332769159,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario28,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.69875493647252,0,0
scenario29,0,1.62833745171735,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario30,0,1.73003861988031,-1.56515003888201,0,0,0,0,1.74198504635896,0,0
scenario31,0,-0.581513083738736,-1.9952891888281,0,0,0,0,1.75137291733101,0,0
scenario32,0,1.70256941193463,-0.25645595589108,0,0,0,0,1.62288709611327,0,0
scenario33,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario34,0,1.7536633555874,-0.25645595589108,0,0,0,0,1.69875493647252,0,0
scenario35,0,1.74458332769159,-2.21360322365284,0,0,0,0,1.62288709611327,0,0
scenario36,0,1.7536633555874,-0.977920779857446,0,0,0,0,1.74198504635896,0,0
scenario37,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.72698543319673,0,0
scenario38,0,1.62833745171735,-2.21360322365284,0,0,0,0,1.75137291733101,0,0
scenario39,0,1.70256941193463,-1.9952891888281,0,0,0,0,1.72698543319673,0,0
scenario40,0,1.62833745171735,-0.25645595589108,0,0,0,0,1.75137291733101,0,0
scenario41,0,1.74458332769159,-0.25645595589108,0,0,0,0,1.62288709611327,0,0
scenario42,0,1.73003861988031,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario43,0,1.7536633555874,-0.25645595589108,0,0,0,0,1.72698543319673,0,0
scenario44,0,1.62833745171735,-1.56515003888201,0,0,0,0,1.62288709611327,0,0
scenario45,0,-0.581513083738736,-1.9952891888281,0,0,0,0,1.69875493647252,0,0
scenario46,0,1.70256941193463,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario47,0,1.7536633555874,-0.977920779857446,0,0,0,0,1.74198504635896,0,0
scenario48,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.74198504635896,0,0
scenario49,0,1.7536633555874,-0.977920779857446,0,0,0,0,1.72698543319673,0,0
scenario50,0,-0.581513083738736,-2.21360322365284,0,0,0,0,-0.581518984137751,0,0
scenario51,0,1.73003861988031,-0.977920779857446,0,0,0,0,1.62288709611327,0,0
scenario52,0,-0.581513083738736,-2.21360322365284,0,0,0,0,-0.581518984137751,0,0
scenario53,0,1.70256941193463,-0.977920779857446,0,0,0,0,1.69875493647252,0,0
scenario54,0,1.7536633555874,-1.56515003888201,0,0,0,0,1.62288709611327,0,0
scenario55,0,1.74458332769159,-1.9952891888281,0,0,0,0,1.72698543319673,0,0
scenario56,0,1.70256941193463,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario57,0,1.7536633555874,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario58,0,1.62833745171735,-1.56515003888201,0,0,0,0,1.74198504635896,0,0
scenario59,0,1.70256941193463,-0.977920779857446,0,0,0,0,1.62288709611327,0,0
scenario60,0,1.73003861988031,-1.9952891888281,0,0,0,0,1.69875493647252,0,0
scenario61,0,1.62833745171735,-0.25645595589108,0,0,0,0,1.72698543319673,0,0
scenario62,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.69875493647252,0,0
scenario63,0,1.74458332769159,-1.56515003888201,0,0,0,0,1.62288709611327,0,0
scenario64,0,1.74458332769159,-1.9952891888281,0,0,0,0,1.62288709611327,0,0
scenario65,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.74198504635896,0,0
scenario66,0,1.62833745171735,-0.25645595589108,0,0,0,0,1.69875493647252,0,0
scenario67,0,1.70256941193463,-0.25645595589108,0,0,0,0,1.62288709611327,0,0
scenario68,0,1.62833745171735,-0.977920779857446,0,0,0,0,1.75137291733101,0,0
scenario69,0,-0.581513083738736,-2.21360322365284,0,0,0,0,1.72698543319673,0,0
scenario70,0,1.73003861988031,-0.25645595589108,0,0,0,0,1.74198504635896,0,0
scenario71,0,1.73003861988031,-1.9952891888281,0,0,0,0,1.62288709611327,0,0
scenario72,0,-0.581513083738736,-2.21360322365284,0,0,0,0,1.75137291733101,0,0
scenario73,0,1.74458332769159,-2.21360322365284,0,0,0,0,1.75137291733101,0,0
scenario74,0,1.70256941193463,-0.25645595589108,0,0,0,0,1.72698543319673,0,0
scenario75,0,1.62833745171735,-1.56515003888201,0,0,0,0,1.74198504635896,0,0
scenario76,0,1.62833745171735,-1.9952891888281,0,0,0,0,1.62288709611327,0,0
scenario77,0,1.7536633555874,-0.977920779857446,0,0,0,0,1.69875493647252,0,0
scenario78,0,1.74458332769159,-0.977920779857446,0,0,0,0,1.62288709611327,0,0
scenario79,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.72698543319673,0,0
scenario80,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario81,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario82,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario83,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario84,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario85,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario86,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario87,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario88,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario89,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario90,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario91,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario92,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario93,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario94,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario95,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario96,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario97,0,1.7536633555874,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario98,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario99,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario100,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario101,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario102,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario103,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario104,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario105,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario106,0,1.7536633555874,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario107,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario108,0,1.7536633555874,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario109,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario110,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario111,0,1.74458332769159,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario112,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario113,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario114,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario115,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario116,0,1.73003861988031,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario117,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario118,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.72698543319673,0,0
scenario119,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario120,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.75137291733101,0,0
scenario121,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario122,0,-0.581513083738736,-1.9952891888281,0,0,0,0,1.72698543319673,0,0
scenario123,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario124,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario125,0,1.70256941193463,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario126,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario127,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario128,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario129,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario130,0,1.73003861988031,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario131,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario132,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario133,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario134,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario135,0,1.70256941193463,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario136,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario137,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario138,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.62288709611327,0,0
scenario139,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario140,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario141,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.62288709611327,0,0
scenario142,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario143,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario144,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario145,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario146,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.75137291733101,0,0
scenario147,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario148,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario149,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario150,0,-0.581513083738736,-0.977920779857446,0,0,0,0,1.69875493647252,0,0
scenario151,0,1.70256941193463,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario152,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario153,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario154,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario155,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario156,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.75137291733101,0,0
scenario157,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario158,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario159,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario160,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario161,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario162,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario163,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario164,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario165,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario166,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario167,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario168,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario169,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
