instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario53,0,20,20,0,0,0,0.8,0,100,1,20,40,80,0.00278,0,0.7949253264002077,27.2621591091156,0
scenario54,-30,40,80,0,0,0,0.8,0,100,0,20,40,100,0.00164,0,1.094407168540913,22.21279525756836,0
scenario55,-30,40,40,0,0,0,0.8,0,100,1,20,60,0,0.0015,0,0.7902148680981212,26.97231101989746,0
scenario56,-60,40,40,0,0,0,0.8,0,100,1,20,60,20,0.0015,0,0.7764247532678096,26.68710732460022,0
scenario57,90,40,40,0,0,0,0.8,0,100,1,20,60,40,0.00151,0,0.8597974655793892,26.220420122146606,0
scenario58,-90,40,40,0,0,0,0.8,0,100,0,20,60,60,0.00308,0,0.9999070381712216,22.31240940093994,0
scenario59,-90,40,80,0,0,0,0.8,0,100,1,20,60,80,0.0026,0,0.8137522709087941,26.872273445129395,0
scenario60,-90,20,60,0,0,0,0.8,0,100,0,20,60,100,0.00784,0,1.0072698656887278,22.384106874465942,0
scenario61,-60,60,20,0,0,0,0.8,0,100,1,20,80,0,0.00148,0,0.8476281798368469,26.96024775505066,0
scenario62,60,20,60,0,0,0,0.8,0,100,1,20,80,20,0.00344,0,0.8908315654063673,26.418652296066284,0
scenario63,60,60,20,0,0,0,0.8,0,100,0,20,80,40,0.00155,0,1.0721526444215574,21.99125289916992,0
scenario64,-30,40,80,0,0,0,0.8,0,100,1,20,80,60,0.00149,0,0.857510396802859,27.093287229537964,0
scenario65,-60,20,20,0,0,0,0.8,0,100,0,20,80,80,0.00394,0,1.06046791309364,22.07195854187012,0
scenario66,-30,40,40,0,0,0,0.8,0,100,0,20,80,100,0.00159,0,0.9894210780778644,22.249197244644165,0
scenario67,60,20,20,0,0,0,0.8,0,100,0,20,100,0,0.00356,0,1.1446143212940851,21.966785430908203,0
scenario68,-60,40,100,0,0,0,0.8,0,100,0,20,100,20,0.00152,0,1.0191785201847163,22.335312128067017,0
scenario69,-90,40,80,0,0,0,0.8,0,100,0,20,100,40,0.00294,0,0.9959369825532254,22.27580976486206,0
scenario70,-90,40,60,0,0,0,0.8,0,100,1,20,100,60,0.00296,0,0.9713347316052988,26.63174200057984,0
scenario71,0,20,20,0,0,0,0.8,0,100,0,20,100,80,0.00273,0,1.1193961283692648,22.297738075256348,0
scenario72,90,60,80,0,0,0,0.8,0,100,1,20,100,100,0.00149,0,0.797961817395035,26.42159533500672,0
