Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,direction
scenario1,-1.0262008397536,-0.712394462410268,0.948873845986924,0,0,0,0,0,0,-0.988487073182959
scenario2,1.22176637985773,1.46729742126072,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario3,1.0517705518346,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,-0.988487073182959
scenario4,0.761067439116956,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario5,1.22176637985773,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario6,0.761067439116956,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario7,1.0517705518346,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario8,-1.0262008397536,1.46729742126072,-0.46959272709367,0,0,0,0,0,0,1.00696346707423
scenario9,1.0517705518346,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
scenario10,1.22176637985773,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario11,0.761067439116956,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario12,-1.0262008397536,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario13,-1.0262008397536,1.46729742126072,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario14,1.22176637985773,1.46729742126072,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario15,1.14535327443584,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario16,0.471809697033933,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
scenario17,0.471809697033933,1.46729742126072,-0.46959272709367,0,0,0,0,0,0,-0.988487073182959
scenario18,-1.0262008397536,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario19,-1.0262008397536,1.46729742126072,1.5055570428386,0,0,0,0,0,0,-0.988487073182959
scenario20,0.931077452364808,1.34542989504294,0.948873845986924,0,0,0,0,0,0,-0.988487073182959
scenario21,0.931077452364808,1.34542989504294,-0.46959272709367,0,0,0,0,0,0,1.00696346707423
scenario22,1.0517705518346,1.46729742126072,-0.46959272709367,0,0,0,0,0,0,-0.988487073182959
scenario23,0.761067439116956,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,-0.988487073182959
scenario24,1.0517705518346,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario25,1.22176637985773,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
scenario26,1.22176637985773,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,-0.988487073182959
scenario27,-1.0262008397536,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario28,0.931077452364808,1.34542989504294,0.948873845986924,0,0,0,0,0,0,1.00696346707423
scenario29,1.22176637985773,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario30,1.0517705518346,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario31,-1.0262008397536,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario32,0.761067439116956,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario33,-1.0262008397536,1.46729742126072,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario34,1.14535327443584,-0.712394462410268,-0.46959272709367,0,0,0,0,0,0,-0.988487073182959
scenario35,-1.0262008397536,1.46729742126072,-1.79773327481009,0,0,0,0,0,0,-0.988487073182959
scenario36,0.931077452364808,-0.712394462410268,-0.46959272709367,0,0,0,0,0,0,-0.988487073182959
scenario37,0.471809697033933,-0.712394462410268,-0.46959272709367,0,0,0,0,0,0,-0.988487073182959
scenario38,1.14535327443584,-0.712394462410268,0.948873845986924,0,0,0,0,0,0,1.00696346707423
scenario39,1.14535327443584,-0.712394462410268,0.948873845986924,0,0,0,0,0,0,-0.988487073182959
scenario40,-1.0262008397536,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
scenario41,1.22176637985773,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario42,0.471809697033933,-0.712394462410268,0.948873845986924,0,0,0,0,0,0,-0.988487073182959
scenario43,1.14535327443584,1.46729742126072,0.312292388982711,0,0,0,0,0,0,-0.988487073182959
scenario44,1.0517705518346,1.46729742126072,-0.46959272709367,0,0,0,0,0,0,1.00696346707423
scenario45,0.471809697033933,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario46,0.471809697033933,-0.712394462410268,1.5055570428386,0,0,0,0,0,0,1.00696346707423
scenario47,1.0517705518346,-0.712394462410268,-1.79773327481009,0,0,0,0,0,0,1.00696346707423
scenario48,0.761067439116956,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
scenario49,0.931077452364808,-0.712394462410268,0.312292388982711,0,0,0,0,0,0,1.00696346707423
