Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},-0.1255,0.0146,0.0353,-0.0518,0.2426,-0.1726,0.3555,-0.3341,0.4359,-0.3534,-0.0167,-0.1423
Z_{2},-0.1253,-0.113,-0.3332,-0.0166,-0.0185,-0.1221,-0.7894,0.7578,0.4757,-0.3045,-0.4426,0.0317
