instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario54,40,100,0,20,60,0.6,0,100,0,40,100,c4,1e-05,2,0,1,0,0,99.00775672366775,0
scenario55,20,100,0,40,0,0.8,20,80,0,60,0,c1,1e-05,0,2,1,2,0,2.799068299706837,0
scenario56,60,40,20,0,0,0.8,20,0,0,60,0,c2,1e-05,2,0,0,1,0,2.4210280543955296,0
scenario57,40,20,20,0,100,0.1,0,100,0,60,0,c4,1e-05,1,0,2,0,0,3.38634448594978,0
scenario58,20,80,20,80,80,0.0,100,0,0,60,20,c1,1e-05,1,2,0,2,0,4.66064600903532,0
scenario59,20,20,40,100,60,0.6,0,100,0,60,20,c2,1e-05,0,1,2,0,0,1.6235119207380422,0
scenario60,0,20,0,20,60,0.2,0,100,0,60,20,c4,1e-05,1,2,2,0,0,2.967362127365468,0
scenario61,60,100,20,0,20,0.8,40,60,0,60,40,c1,1e-05,0,1,1,2,0,2.5790331681714806,0
scenario62,40,60,40,80,40,0.6,20,0,0,60,40,c2,1e-05,0,1,2,1,0,4.38735335859855,0
scenario63,20,20,100,0,80,0.4,100,0,0,60,40,c4,1e-05,2,0,1,2,1,0.0,1
scenario64,60,20,0,0,80,0.6,60,100,0,60,60,c1,1e-05,1,2,0,1,0,6.522991208348224,0
scenario65,60,100,40,0,100,0.6,0,100,0,60,60,c2,1e-05,2,1,0,1,0,3.1425197334749786,0
scenario66,80,40,100,0,80,0.4,60,40,0,60,60,c4,1e-05,2,0,1,0,0,2.56324202137846,0
scenario67,40,80,40,0,80,0.4,100,100,0,60,80,c1,1e-05,0,2,1,2,0,4.296742648656043,0
scenario68,20,60,0,20,100,0.1,80,20,0,60,80,c2,1e-05,2,0,0,1,0,2.3984982068183105,0
scenario69,60,100,60,0,100,0.2,100,0,0,60,80,c4,1e-05,1,0,2,0,0,2.484739517802356,0
scenario70,60,20,20,40,40,0.8,60,40,0,60,100,c1,1e-05,1,2,0,2,0,5.725945467681586,0
scenario71,40,40,20,100,0,0.6,100,0,0,60,100,c2,1e-05,0,1,2,0,0,1.919410758965862,0
scenario72,60,60,20,100,40,0.1,0,100,0,60,100,c4,1e-05,1,2,2,0,0,4.397666182835316,0
scenario73,0,100,0,40,40,0.6,80,20,0,80,0,c1,1e-05,0,1,1,2,0,2.325869488524657,0
scenario74,20,20,0,60,100,0.6,0,100,0,80,0,c2,1e-05,0,1,2,1,0,7.523110596502564,0
scenario75,20,20,40,100,100,0.1,40,60,0,80,0,c4,1e-05,2,0,1,2,1,0.0,1
scenario76,80,20,0,0,0,0.6,0,100,0,80,20,c1,1e-05,1,2,0,1,0,6.406390616019452,0
scenario77,80,20,60,100,60,0.2,0,100,0,80,20,c2,1e-05,2,1,0,1,0,3.5182840726352205,0
scenario78,80,60,0,40,0,0.8,0,100,0,80,20,c4,1e-05,2,0,1,0,0,28.064754098029656,0
scenario79,60,20,60,0,60,0.4,100,0,0,80,40,c1,1e-05,0,2,1,2,0,1.9847917040302063,0
scenario80,20,100,60,40,40,0.8,0,100,0,80,40,c2,1e-05,2,0,0,1,0,3.29183811793212,0
scenario81,20,100,0,100,40,0.2,80,20,0,80,40,c4,1e-05,1,0,2,0,0,3.3851664203454868,0
scenario82,20,40,20,60,60,0.6,20,80,0,80,60,c1,1e-05,1,2,0,2,0,4.874885104075003,0
scenario83,20,40,40,0,80,0.4,60,40,0,80,60,c2,1e-05,0,1,2,0,0,1.5428097181736635,0
scenario84,60,100,0,0,40,0.8,80,20,0,80,60,c4,1e-05,1,2,2,0,0,4.8919752952056434,0
scenario85,20,20,80,0,0,0.8,100,0,0,80,80,c1,1e-05,0,1,1,2,0,2.2903895775335066,0
scenario86,40,40,0,0,80,0.4,20,0,0,80,80,c2,1e-05,0,1,2,1,0,3.760309791035864,0
scenario87,20,60,0,0,20,0.8,40,60,0,80,80,c4,1e-05,2,0,1,2,0,1.3250897584278136,0
scenario88,80,100,0,60,40,0.6,40,60,0,80,100,c1,1e-05,1,2,0,1,0,6.14671419765381,0
scenario89,20,100,0,80,100,0.1,0,100,0,80,100,c2,1e-05,2,1,0,1,0,2.904345967675276,0
scenario90,40,100,80,100,40,0.6,40,60,0,80,100,c4,1e-05,2,0,1,0,0,2.622936265874392,0
scenario91,20,60,20,40,0,0.6,100,0,0,100,0,c1,1e-05,0,2,1,2,0,2.591521855681026,0
scenario92,0,100,0,0,60,0.8,20,80,0,100,0,c2,1e-05,2,0,0,1,0,2.801451259895901,0
scenario93,60,20,80,0,80,0.4,20,80,0,100,0,c4,1e-05,1,0,2,0,0,2.6131347274928207,0
scenario94,60,60,60,40,40,0.8,0,100,0,100,20,c1,1e-05,1,2,0,2,0,5.791369196463692,0
scenario95,60,60,20,20,60,0.2,40,60,0,100,20,c2,1e-05,0,1,2,0,0,1.782166799789157,0
scenario96,20,60,20,20,60,0.2,100,0,0,100,20,c4,1e-05,1,2,2,0,0,4.518520044184754,0
scenario97,40,40,20,100,40,0.6,100,60,0,100,40,c1,1e-05,0,1,1,2,0,2.294250525997406,0
scenario98,20,20,0,100,100,0.1,80,20,0,100,40,c2,1e-05,0,1,2,1,0,3.5632320352535154,0
scenario99,20,100,40,60,40,0.6,100,0,0,100,40,c4,1e-05,2,0,1,2,0,1.3752639537460687,0
scenario100,20,60,60,0,0,0.4,0,100,0,100,60,c1,1e-05,1,2,0,1,0,7.340461191263134,0
scenario101,80,60,20,20,40,0.8,100,0,0,100,60,c2,1e-05,2,1,0,1,0,2.390859938224539,0
scenario102,60,60,0,0,0,0.4,80,20,0,100,60,c4,1e-05,2,0,1,0,0,6.235302540446394,0
scenario103,60,100,40,0,80,0.4,60,40,0,100,80,c1,1e-05,0,2,1,2,0,2.787159316032937,0
scenario104,0,60,100,100,40,0.6,40,60,0,100,80,c2,1e-05,2,0,0,1,0,2.263428652926203,0
scenario105,20,20,40,100,0,0.6,40,60,0,100,80,c4,1e-05,1,0,2,0,0,3.5641089761568754,0
scenario106,20,80,40,60,0,0.6,0,100,0,100,100,c1,1e-05,1,2,0,2,0,5.385941194729065,0
scenario107,80,20,0,0,0,0.8,40,60,0,100,100,c2,1e-05,0,1,2,0,0,2.3218849685925904,0
scenario108,20,60,20,20,40,0.8,20,20,0,100,100,c4,1e-05,1,2,2,0,0,4.945303656718427,0
scenario109,80,80,0,100,40,0.6,80,20,20,0,0,c1,1e-05,0,1,1,2,0,2.406122357212776,0
scenario110,40,80,20,60,20,0.6,40,60,20,0,0,c2,1e-05,0,1,2,1,0,3.770475714295823,0
scenario111,40,80,60,40,40,0.8,60,40,20,0,0,c4,1e-05,2,0,1,2,0,1.3736298330408196,0
scenario112,20,40,100,100,40,0.6,80,20,20,0,20,c1,1e-05,1,2,0,1,0,4.817701370778782,0
