Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario95,2,1,0,1,100,20,20,20,-30,60,0,60,0.2
scenario96,0,1,1,2,80,0,0,0,0,40,100,60,0.4
scenario97,2,0,0,1,100,0,40,0,-30,80,20,80,0.4
scenario98,2,1,0,1,100,0,20,0,-30,40,100,40,0.4
scenario99,2,1,0,1,100,0,20,0,-30,80,40,60,0.2
scenario100,0,1,2,0,80,0,40,40,-90,100,60,80,0.2
scenario101,0,1,2,0,60,80,0,0,-30,60,80,80,0.4
scenario102,1,0,2,0,100,0,20,20,-30,40,80,20,0.1
scenario103,2,0,1,2,80,0,0,0,30,20,0,40,0.6
scenario104,2,1,0,1,80,0,20,0,0,80,100,80,0.2
scenario105,2,1,0,1,40,0,0,0,0,60,100,80,0.2
scenario106,1,2,2,0,40,0,40,80,-30,80,60,60,0.2
scenario107,0,2,1,2,100,0,20,0,-30,40,100,80,0.2
scenario108,2,0,0,1,80,0,20,0,-30,100,100,80,1
scenario109,2,0,0,1,100,0,40,0,-30,80,20,80,0.4
scenario110,2,0,0,1,60,20,0,20,30,40,80,100,0.4
scenario111,0,1,2,1,60,0,40,0,-30,40,100,40,0.4
scenario112,0,1,2,0,100,0,0,0,0,100,100,100,0.2
scenario113,2,0,0,1,80,0,60,100,-30,80,40,100,0.4
scenario114,2,1,0,1,60,20,0,80,-30,60,100,60,0.2
scenario115,1,2,0,1,20,80,20,0,-30,40,80,80,0.1
scenario116,0,1,2,0,60,20,60,40,-30,80,80,80,0.2
scenario117,2,1,0,1,80,20,20,40,-30,20,80,0,0.1
scenario118,1,0,2,0,100,0,0,20,-60,20,100,20,0.1
scenario119,1,0,2,0,100,20,20,0,-30,100,100,60,0.8
scenario120,1,2,0,1,40,20,0,0,30,60,80,80,0.6
scenario121,1,2,0,1,40,20,0,0,30,60,80,80,0.6
scenario122,1,2,0,2,20,0,0,0,60,80,80,60,0.4
scenario123,0,1,2,1,100,20,0,0,30,100,60,100,0.4
scenario124,2,0,1,0,80,40,20,80,60,60,100,100,0.8
scenario125,0,1,1,2,40,80,20,20,-30,40,100,60,0.1
scenario126,0,2,1,2,20,0,20,20,-30,100,100,100,0.2
scenario127,1,2,0,2,100,0,0,20,-90,40,80,0,0.6
scenario128,0,1,2,1,100,20,40,0,-90,80,40,60,0.2
scenario129,1,2,2,0,60,100,60,20,0,40,80,60,0.4
scenario130,0,1,2,0,80,0,40,20,0,100,60,100,0.4
scenario131,2,0,1,2,60,0,60,20,-30,20,100,20,0.2
scenario132,0,1,2,1,20,20,0,100,0,40,100,60,0.4
scenario133,1,2,0,1,40,20,0,0,30,60,80,80,0.6
scenario134,0,1,2,1,0,100,20,0,30,60,100,60,0.8
scenario135,0,2,1,2,100,80,40,40,-60,100,100,100,0.2
scenario136,1,2,0,2,20,20,0,80,-30,100,80,60,0.4
scenario137,1,2,0,1,40,20,20,100,-30,100,100,40,0.1
scenario138,0,2,1,2,60,100,0,0,-30,60,100,60,0.1
scenario139,2,0,1,0,60,0,60,20,-60,20,100,0,0.1
scenario140,1,2,0,2,40,20,0,100,0,60,100,80,0.2
scenario141,0,1,2,0,80,40,0,100,60,40,80,100,1
scenario142,1,2,2,0,0,100,0,80,-30,60,100,60,0.4
scenario143,0,2,1,2,20,0,20,40,-30,100,100,80,0.1
scenario144,2,0,1,2,100,20,0,0,60,100,40,100,0.2
scenario145,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario146,2,0,1,0,60,80,20,20,-30,60,20,60,0.4
scenario147,0,2,1,2,60,60,0,0,-30,60,20,0,0.1
scenario148,2,0,1,2,20,0,20,100,60,40,100,100,0.4
scenario149,2,0,0,1,100,0,40,0,-30,80,40,60,0.4
scenario150,1,2,2,0,80,80,0,60,90,40,0,80,0.4
scenario151,1,2,2,0,80,80,20,60,-30,40,0,60,0.2
scenario152,2,0,0,1,100,0,40,0,-60,80,20,80,0.4
scenario153,0,1,2,0,100,0,40,20,-30,80,40,80,0.4
scenario154,0,2,1,2,0,20,0,100,-30,80,100,20,0.4
scenario155,0,1,2,1,80,20,20,60,30,100,0,60,1
scenario156,1,0,2,0,0,60,100,60,-60,80,80,80,0.8
scenario157,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario158,2,0,1,2,60,40,60,60,-90,40,20,100,0.6
scenario159,1,2,2,0,40,60,60,60,-90,60,80,80,0.8
scenario160,0,1,2,1,60,40,80,60,0,60,60,80,1
scenario161,2,1,0,1,40,40,60,60,-90,60,100,100,0.8
scenario162,1,2,0,1,40,60,80,60,-30,80,100,80,0.8
scenario163,2,1,0,1,40,20,80,80,-60,80,100,60,0.6
scenario164,1,2,2,0,100,40,80,20,-60,80,80,80,0.8
scenario165,2,1,0,1,40,60,80,40,-90,80,80,100,0.8
scenario166,2,1,0,1,20,60,100,20,-30,80,80,60,0.6
scenario167,0,1,2,1,20,100,100,80,-30,80,100,80,0.6
scenario168,2,1,0,1,60,0,100,60,-60,100,100,80,0.8
scenario169,1,2,2,0,40,60,60,60,-90,60,80,80,0.8
scenario170,1,2,0,1,40,60,80,40,-90,60,40,100,0.8
scenario171,2,0,1,2,60,40,100,60,90,40,20,80,0.6
scenario172,1,2,0,2,20,80,60,80,-90,80,60,80,1
scenario173,1,2,0,1,100,60,100,20,-60,100,20,100,0.8
scenario174,1,2,0,1,80,20,60,60,-90,60,40,80,0.8
scenario175,1,2,0,2,20,60,80,20,-30,40,100,60,0.6
scenario176,0,1,2,1,100,100,100,100,-30,80,100,20,0.8
scenario177,0,1,2,1,20,100,100,100,-30,80,100,80,0.6
scenario178,0,1,1,2,40,20,80,80,-30,80,100,100,0.8
scenario179,1,2,0,2,40,20,60,0,-90,60,20,40,0.8
scenario180,2,0,1,0,40,60,100,20,-30,100,100,40,0.6
scenario181,1,2,0,1,80,20,60,60,-90,60,40,80,0.8
scenario182,2,0,1,0,20,100,100,100,30,100,100,80,0.4
scenario183,2,0,0,1,0,40,80,40,-30,80,100,60,0.6
scenario184,0,1,1,2,80,40,20,40,-90,40,80,0,0.8
scenario185,2,1,0,1,40,40,80,60,-60,80,100,80,0.8
scenario186,2,0,1,0,60,80,20,20,-30,60,20,60,0.4
scenario187,0,2,1,2,60,60,0,0,-30,60,20,0,0.1
scenario188,2,0,1,2,20,0,20,100,60,40,100,100,0.4
scenario189,2,0,0,1,100,0,40,0,-30,80,40,60,0.4
