instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario70,c1,1,2,0,1,40,20,0,60,-30,100,20,100,1.0,False,1.275,0
scenario71,c1,1,2,0,1,20,40,20,80,-90,100,20,40,1.0,False,1.289,0
scenario72,c4,1,2,2,0,40,60,80,80,-60,100,20,20,1.0,True,0.0,1
scenario73,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,1.582,0
scenario74,c4,2,0,1,2,0,0,20,40,30,40,100,0,0.4,False,2.322,0
scenario75,c4,2,0,1,0,60,60,0,20,-60,60,20,40,0.2,False,3.118,0
scenario76,c1,1,2,0,2,20,60,100,60,-60,80,100,80,0.8,False,1.507,0
scenario77,c2,2,1,0,1,40,40,80,80,-60,40,40,40,0.6,False,1.713,0
scenario78,c1,0,2,1,2,60,60,0,0,-60,60,20,0,0.4,False,2.018,0
scenario79,c2,0,1,2,0,0,20,0,100,-30,80,0,60,1.0,False,3.858,0
scenario80,c4,1,0,2,0,60,60,100,80,-60,40,40,40,0.6,False,2.506,0
scenario81,c2,0,1,2,0,40,80,0,60,-60,80,0,60,1.0,False,4.184,0
scenario82,c2,2,1,0,1,100,0,20,0,-30,60,100,60,0.4,False,1.277,0
scenario83,c2,0,1,2,1,100,20,20,40,30,100,100,20,0.4,False,4.517,0
scenario84,c4,1,2,2,0,80,80,0,60,60,60,0,80,0.4,True,0.0,1
scenario85,c2,2,1,0,1,100,0,20,0,-30,60,100,60,0.4,False,1.921,0
scenario86,c2,2,0,0,1,80,0,20,0,-60,40,100,60,0.2,False,1.03,0
scenario87,c2,2,0,0,1,100,0,40,0,-30,80,20,80,0.4,True,0.0,1
scenario88,c2,2,1,0,1,60,0,0,0,-30,80,100,80,0.4,False,1.509,0
scenario89,c4,1,2,2,0,100,0,20,0,-60,60,100,80,0.2,False,3.494,0
scenario90,c2,2,1,0,1,100,0,40,20,-30,60,100,80,0.2,False,2.324,0
scenario91,c2,2,0,0,1,100,0,20,0,-60,60,80,40,0.6,True,0.0,1
scenario92,c1,1,2,0,2,100,0,20,0,-30,60,100,60,0.4,False,2.004,0
scenario93,c2,2,1,0,1,100,20,40,0,-30,60,60,60,0.4,False,1.208,0
scenario94,c2,0,1,2,0,80,0,20,20,-30,100,80,60,0.4,False,4.041,0
scenario95,c2,2,1,0,1,100,20,20,20,-30,60,0,60,0.2,False,1.225,0
scenario96,c1,0,1,1,2,80,0,0,0,0,40,100,60,0.4,True,0.0,1
scenario97,c2,2,0,0,1,100,0,40,0,-30,80,20,80,0.4,True,0.0,1
scenario98,c2,2,1,0,1,100,0,20,0,-30,40,100,40,0.4,False,1.901,0
scenario99,c2,2,1,0,1,100,0,20,0,-30,80,40,60,0.2,False,2.048,0
scenario100,c2,0,1,2,0,80,0,40,40,-90,100,60,80,0.2,False,2.324,0
scenario101,c2,0,1,2,0,60,80,0,0,-30,60,80,80,0.4,False,3.889,0
scenario102,c4,1,0,2,0,100,0,20,20,-30,40,80,20,0.1,False,1.801,0
scenario103,c4,2,0,1,2,80,0,0,0,30,20,0,40,0.6,False,2.975,0
scenario104,c2,2,1,0,1,80,0,20,0,0,80,100,80,0.2,False,0.764,0
scenario105,c2,2,1,0,1,40,0,0,0,0,60,100,80,0.2,False,1.258,0
scenario106,c4,1,2,2,0,40,0,40,80,-30,80,60,60,0.2,False,3.034,0
scenario107,c1,0,2,1,2,100,0,20,0,-30,40,100,80,0.2,False,3.244,0
scenario108,c2,2,0,0,1,80,0,20,0,-30,100,100,80,1.0,False,1.075,0
scenario109,c2,2,0,0,1,100,0,40,0,-30,80,20,80,0.4,False,1.37,0
scenario110,c2,2,0,0,1,60,20,0,20,30,40,80,100,0.4,False,1.616,0
scenario111,c2,0,1,2,1,60,0,40,0,-30,40,100,40,0.4,False,3.288,0
scenario112,c2,0,1,2,0,100,0,0,0,0,100,100,100,0.2,False,3.764,0
scenario113,c2,2,0,0,1,80,0,60,100,-30,80,40,100,0.4,False,1.462,0
scenario114,c2,2,1,0,1,60,20,0,80,-30,60,100,60,0.2,False,1.353,0
scenario115,c1,1,2,0,1,20,80,20,0,-30,40,80,80,0.1,False,1.45,0
scenario116,c2,0,1,2,0,60,20,60,40,-30,80,80,80,0.2,False,3.975,0
scenario117,c2,2,1,0,1,80,20,20,40,-30,20,80,0,0.1,False,1.231,0
scenario118,c4,1,0,2,0,100,0,0,20,-60,20,100,20,0.1,False,9999.0,0
scenario119,c4,1,0,2,0,100,20,20,0,-30,100,100,60,0.8,False,2.826,0
scenario120,c1,1,2,0,1,40,20,0,0,30,60,80,80,0.6,False,0.658,0
scenario121,c1,1,2,0,1,40,20,0,0,30,60,80,80,0.6,True,0.0,1
scenario122,c1,1,2,0,2,20,0,0,0,60,80,80,60,0.4,False,0.939,0
scenario123,c2,0,1,2,1,100,20,0,0,30,100,60,100,0.4,False,4.486,0
scenario124,c4,2,0,1,0,80,40,20,80,60,60,100,100,0.8,False,2.87,0
scenario125,c1,0,1,1,2,40,80,20,20,-30,40,100,60,0.1,True,0.0,1
scenario126,c1,0,2,1,2,20,0,20,20,-30,100,100,100,0.2,False,1.836,0
scenario127,c1,1,2,0,2,100,0,0,20,-90,40,80,0,0.6,True,0.0,1
scenario128,c2,0,1,2,1,100,20,40,0,-90,80,40,60,0.2,False,4.568,0
scenario129,c4,1,2,2,0,60,100,60,20,0,40,80,60,0.4,True,0.0,1
scenario130,c2,0,1,2,0,80,0,40,20,0,100,60,100,0.4,False,3.864,0
scenario131,c4,2,0,1,2,60,0,60,20,-30,20,100,20,0.2,False,2.025,0
scenario132,c2,0,1,2,1,20,20,0,100,0,40,100,60,0.4,False,4.149,0
scenario133,c1,1,2,0,1,40,20,0,0,30,60,80,80,0.6,False,0.736,0
scenario134,c2,0,1,2,1,0,100,20,0,30,60,100,60,0.8,False,4.186,0
scenario135,c1,0,2,1,2,100,80,40,40,-60,100,100,100,0.2,False,3.064,0
scenario136,c1,1,2,0,2,20,20,0,80,-30,100,80,60,0.4,False,2.017,0
scenario137,c1,1,2,0,1,40,20,20,100,-30,100,100,40,0.1,False,2.638,0
scenario138,c1,0,2,1,2,60,100,0,0,-30,60,100,60,0.1,False,2.998,0
scenario139,c4,2,0,1,0,60,0,60,20,-60,20,100,0,0.1,True,0.0,1
scenario140,c1,1,2,0,2,40,20,0,100,0,60,100,80,0.2,False,2.38,0
scenario141,c2,0,1,2,0,80,40,0,100,60,40,80,100,1.0,False,2.977,0
scenario142,c4,1,2,2,0,0,100,0,80,-30,60,100,60,0.4,True,0.0,1
scenario143,c1,0,2,1,2,20,0,20,40,-30,100,100,80,0.1,False,1.22,0
scenario144,c4,2,0,1,2,100,20,0,0,60,100,40,100,0.2,False,1.97,0
scenario145,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,1.026,0
scenario146,c4,2,0,1,0,60,80,20,20,-30,60,20,60,0.4,False,3.946,0
scenario147,c1,0,2,1,2,60,60,0,0,-30,60,20,0,0.1,False,1.912,0
scenario148,c4,2,0,1,2,20,0,20,100,60,40,100,100,0.4,False,2.987,0
