Row,NumGoodAlgos
scenario1,1
scenario2,1
scenario3,1
scenario4,1
scenario5,0
scenario6,1
scenario7,1
scenario8,1
scenario9,1
scenario10,1
scenario11,1
scenario12,1
scenario13,1
scenario14,1
scenario15,1
scenario16,1
scenario17,1
scenario18,1
scenario19,0
scenario20,1
scenario21,1
scenario22,1
scenario23,1
scenario24,1
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,1
scenario31,1
scenario32,1
scenario33,1
scenario34,1
scenario35,1
scenario36,1
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,1
scenario42,1
scenario43,1
scenario44,1
scenario45,0
scenario46,1
scenario47,1
scenario48,1
scenario49,0
scenario50,0
scenario51,0
scenario52,1
scenario53,1
scenario54,1
scenario55,1
scenario56,1
scenario57,1
scenario58,1
scenario59,1
scenario60,1
scenario61,0
scenario62,0
scenario63,1
scenario64,1
scenario65,0
scenario66,1
scenario67,1
scenario68,0
scenario69,1
scenario70,1
scenario71,1
scenario72,0
scenario73,1
scenario74,1
scenario75,1
scenario76,1
scenario77,1
scenario78,1
scenario79,1
scenario80,1
scenario81,1
scenario82,1
scenario83,1
scenario84,0
scenario85,1
scenario86,1
scenario87,0
scenario88,1
scenario89,1
scenario90,1
scenario91,0
scenario92,1
scenario93,1
scenario94,1
scenario95,1
scenario96,0
scenario97,0
scenario98,1
scenario99,1
scenario100,1
scenario101,1
scenario102,1
scenario103,1
scenario104,1
scenario105,1
scenario106,1
scenario107,1
scenario108,1
scenario109,1
scenario110,1
scenario111,1
scenario112,1
scenario113,1
scenario114,1
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,1
scenario121,0
scenario122,1
scenario123,1
scenario124,1
scenario125,0
scenario126,1
scenario127,0
scenario128,1
scenario129,0
scenario130,1
scenario131,1
scenario132,1
scenario133,1
scenario134,1
scenario135,1
scenario136,1
scenario137,1
scenario138,1
scenario139,0
scenario140,1
scenario141,1
scenario142,0
scenario143,1
scenario144,1
scenario145,1
scenario146,1
scenario147,1
scenario148,1
scenario149,1
scenario150,0
scenario151,1
scenario152,1
scenario153,1
scenario154,1
scenario155,1
scenario156,1
scenario157,1
scenario158,1
scenario159,0
scenario160,1
scenario161,1
scenario162,1
scenario163,1
scenario164,0
scenario165,1
scenario166,1
scenario167,1
scenario168,0
scenario169,1
scenario170,1
scenario171,1
scenario172,1
scenario173,1
scenario174,0
scenario175,1
scenario176,1
scenario177,1
scenario178,1
scenario179,1
scenario180,1
scenario181,1
scenario182,0
scenario183,1
scenario184,1
scenario185,1
scenario186,1
scenario187,1
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,1
scenario194,1
scenario195,1
scenario196,1
scenario197,0
scenario198,0
scenario199,1
scenario200,1
scenario201,1
scenario202,1
scenario203,0
scenario204,0
scenario205,1
scenario206,0
scenario207,1
scenario208,0
scenario209,0
scenario210,1
scenario211,1
scenario212,1
scenario213,1
scenario214,1
scenario215,1
scenario216,1
scenario217,0
scenario218,1
scenario219,1
scenario220,1
scenario221,1
scenario222,1
scenario223,1
scenario224,1
scenario225,1
scenario226,1
scenario227,0
scenario228,1
scenario229,1
scenario230,1
scenario231,1
scenario232,1
scenario233,1
scenario234,1
scenario235,1
scenario236,1
scenario237,1
scenario238,1
scenario239,0
scenario240,1
scenario241,1
scenario242,1
scenario243,1
scenario244,1
scenario245,1
scenario246,1
scenario247,1
scenario248,1
scenario249,1
scenario250,1
scenario251,1
scenario252,0
scenario253,1
scenario254,1
scenario255,1
scenario256,1
scenario257,1
scenario258,0
scenario259,1
scenario260,1
scenario261,1
scenario262,1
scenario263,1
scenario264,1
scenario265,0
scenario266,1
scenario267,0
scenario268,1
scenario269,1
scenario270,0
scenario271,1
scenario272,1
scenario273,1
scenario274,1
scenario275,1
scenario276,1
scenario277,1
scenario278,1
scenario279,1
scenario280,1
scenario281,1
scenario282,1
scenario283,1
scenario284,1
scenario285,0
scenario286,1
scenario287,1
scenario288,1
scenario289,1
scenario290,1
scenario291,1
scenario292,1
scenario293,1
scenario294,1
scenario295,1
scenario296,0
scenario297,0
scenario298,1
scenario299,1
scenario300,1
scenario301,1
scenario302,1
scenario303,1
scenario304,1
scenario305,1
scenario306,0
scenario307,1
scenario308,1
scenario309,1
scenario310,1
scenario311,1
scenario312,1
scenario313,1
scenario314,0
scenario315,1
scenario316,0
scenario317,1
scenario318,1
scenario319,1
scenario320,1
scenario321,1
scenario322,1
scenario323,0
scenario324,1
scenario325,1
scenario326,1
scenario327,1
scenario328,1
scenario329,1
scenario330,1
scenario331,1
scenario332,1
scenario333,1
scenario334,1
scenario335,1
scenario336,1
scenario337,1
scenario338,1
scenario339,1
scenario340,1
scenario341,1
scenario342,1
scenario343,1
scenario344,1
scenario345,0
scenario346,1
scenario347,1
scenario348,1
scenario349,1
scenario350,1
scenario351,1
scenario352,1
scenario353,0
scenario354,1
scenario355,1
scenario356,1
scenario357,0
scenario358,1
scenario359,0
scenario360,1
scenario361,1
scenario362,1
scenario363,1
scenario364,0
scenario365,1
scenario366,1
scenario367,1
scenario368,1
scenario369,1
scenario370,1
scenario371,1
scenario372,1
scenario373,1
scenario374,1
scenario375,0
scenario376,1
scenario377,1
scenario378,1
scenario379,1
scenario380,1
scenario381,1
scenario382,1
scenario383,1
scenario384,1
scenario385,1
scenario386,1
scenario387,1
scenario388,1
scenario389,1
scenario390,0
scenario391,1
scenario392,1
scenario393,1
scenario394,1
scenario395,1
scenario396,0
scenario397,1
scenario398,0
scenario399,0
scenario400,1
scenario401,1
scenario402,1
scenario403,1
scenario404,1
scenario405,1
scenario406,1
scenario407,1
scenario408,1
scenario409,1
scenario410,1
scenario411,1
scenario412,1
scenario413,1
scenario414,1
scenario415,1
scenario416,1
scenario417,1
scenario418,1
scenario419,1
scenario420,0
scenario421,0
scenario422,0
scenario423,1
scenario424,1
scenario425,1
scenario426,1
scenario427,1
scenario428,1
scenario429,0
