Row,timeofday,direction,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-0.813142061523391,0.918670802821143,1.41516954360418,-1.71478617576726,1.22558501764338,0.835032720487252,0.903845195597832,0.877916114672315,0.829009161853779,0.80357745706902
scenario2,-0.262981055791966,-1.07178260329133,1.41516954360418,0.415663343382284,0.376840084081537,-1.77096407532088,-0.0418946615389649,0.441212030740335,-0.756898474907162,-0.714046225301801
scenario3,-1.77136096058076,0.918670802821143,-0.944370304833602,-0.69347259519781,0.82082362499408,1.27334156501574,0.463429743873223,-0.664638895178642,-0.13932219808649,-0.714046225301801
scenario4,-1.77136096058076,-1.07178260329133,0.416747287256467,-0.0835196036287636,-1.72264944407986,0.359042519548922,-0.665791249082394,-0.0564924479927448,1.24484643469746,-1.71587695645936
scenario5,-1.77136096058076,-1.07178260329133,-0.203912707490401,0.853664689369441,-0.125767284644805,-0.802341385617988,1.30135048810451,-1.68292757327542,-1.74772785448438,1.19331048016654
scenario6,-0.813142061523391,-1.07178260329133,0.949506444043478,1.2509769467265,-0.733571787326904,-0.172598779716156,-1.74096599170857,1.27405162195714,0.374017405104464,0.373931541214608
scenario7,-0.262981055791966,0.918670802821143,-0.203912707490401,1.2509769467265,-1.72264944407986,1.27334156501574,-0.665791249082394,0.877916114672315,0.374017405104464,-0.115728859175475
scenario8,-1.77136096058076,0.918670802821143,1.41516954360418,0.415663343382284,-0.125767284644805,0.835032720487252,0.463429743873223,1.27405162195714,1.24484643469746,0.373931541214608
scenario9,0.928094911442967,0.918670802821143,-1.37465088140553,-1.71478617576726,0.376840084081537,0.359042519548922,-1.74096599170857,-0.664638895178642,-1.74772785448438,-0.115728859175475
scenario10,-1.77136096058076,-1.07178260329133,-1.37465088140553,-0.69347259519781,0.376840084081537,-1.77096407532088,0.903845195597832,-0.0564924479927448,0.374017405104464,0.80357745706902
scenario11,0.184096882621614,0.918670802821143,0.949506444043478,-1.71478617576726,1.22558501764338,-0.172598779716156,-0.665791249082394,0.441212030740335,-0.13932219808649,1.19331048016654
scenario12,-0.813142061523391,0.918670802821143,-1.37465088140553,-0.0835196036287636,-0.733571787326904,-0.802341385617988,-0.0418946615389649,-1.68292757327542,-0.13932219808649,-1.71587695645936
scenario13,-0.813142061523391,0.918670802821143,-0.944370304833602,0.853664689369441,-1.72264944407986,0.835032720487252,1.30135048810451,-0.0564924479927448,-1.74772785448438,-0.714046225301801
scenario14,0.928094911442967,-1.07178260329133,-0.944370304833602,-0.0835196036287636,1.22558501764338,1.27334156501574,1.30135048810451,1.27405162195714,-0.756898474907162,-1.71587695645936
scenario15,0.574759878535335,-1.07178260329133,0.416747287256467,0.415663343382284,0.82082362499408,-0.172598779716156,0.463429743873223,-1.68292757327542,0.829009161853779,-0.115728859175475
scenario16,-0.262981055791966,-1.07178260329133,0.949506444043478,1.2509769467265,0.82082362499408,-0.802341385617988,1.30135048810451,-0.664638895178642,1.24484643469746,0.80357745706902
scenario17,0.184096882621614,-1.07178260329133,0.416747287256467,1.2509769467265,-0.125767284644805,-0.802341385617988,-1.74096599170857,-0.0564924479927448,0.829009161853779,-0.714046225301801
scenario18,1.25422863297817,0.918670802821143,0.416747287256467,0.853664689369441,0.82082362499408,0.359042519548922,-0.0418946615389649,0.877916114672315,-0.756898474907162,0.373931541214608
scenario19,0.928094911442967,-1.07178260329133,-0.944370304833602,0.415663343382284,-0.733571787326904,-0.802341385617988,0.463429743873223,0.877916114672315,0.374017405104464,1.19331048016654
scenario20,0.928094911442967,0.918670802821143,-0.203912707490401,1.2509769467265,0.82082362499408,-1.77096407532088,0.903845195597832,0.441212030740335,-1.74772785448438,-1.71587695645936
scenario21,0.184096882621614,-1.07178260329133,1.41516954360418,0.853664689369441,-1.72264944407986,0.359042519548922,0.903845195597832,1.27405162195714,-0.13932219808649,0.80357745706902
scenario22,1.25422863297817,-1.07178260329133,1.41516954360418,-0.69347259519781,-0.733571787326904,-1.77096407532088,-0.665791249082394,-0.664638895178642,0.829009161853779,1.19331048016654
