Row,z_1,z_2
bnd_pnt_1,3.86892564289822,4.06087299064304
bnd_pnt_2,3.72367295573674,4.18461040750361
bnd_pnt_3,1.5869048316463,5.00408567840073
bnd_pnt_4,1.17577168497498,4.93909505861129
bnd_pnt_5,0.585907557099794,4.62489052576334
bnd_pnt_6,-1.61692181709164,2.93337200557286
bnd_pnt_7,-1.86438950918552,2.73767097209485
bnd_pnt_8,-3.63324190927292,0.214460157428598
bnd_pnt_9,-3.75921981497566,-0.198773016153795
bnd_pnt_10,-3.85916353330783,-0.61997403442132
bnd_pnt_11,-4.18189982240135,-3.63732908857091
bnd_pnt_12,-4.2036557816002,-4.13138140303274
bnd_pnt_13,-4.16654368015443,-4.41573952739258
bnd_pnt_14,-4.14388482772221,-4.53841748309713
bnd_pnt_15,-3.99863214056073,-4.6621548999577
bnd_pnt_16,-1.86186401647028,-5.48163017085482
bnd_pnt_17,-1.45073086979896,-5.41663955106537
bnd_pnt_18,-0.860866741923783,-5.10243501821743
bnd_pnt_19,1.34196263226765,-3.41091649802694
bnd_pnt_20,1.58943032436153,-3.21521546454893
bnd_pnt_21,3.35828272444893,-0.692004649882682
bnd_pnt_22,3.48426063015167,-0.27877147630029
bnd_pnt_23,3.58420434848384,0.142429541967236
bnd_pnt_24,3.90694063757736,3.15978459611683
bnd_pnt_25,3.92869659677621,3.65383691057865
bnd_pnt_26,3.89158449533044,3.9381950349385
bnd_pnt_27,3.86892564289822,4.06087299064304
