instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario52,90,20,60,40,40,40,0.8,100,0,0,40,100,c1,1e-05,0,2,1,2,0,0.5192660693990805,0
scenario53,90,80,100,0,40,40,0.6,0,100,0,40,100,c2,1e-05,2,1,0,1,0,2.702850261031391,0
scenario54,-60,0,20,0,20,40,0.8,0,100,0,40,100,c4,1e-05,1,2,2,0,0,4.086226630209261,0
scenario55,-90,60,40,20,20,40,0.8,100,0,0,60,0,c1,1e-05,1,2,0,2,0,3.1582974111426108,0
scenario56,-30,20,20,20,80,40,0.6,100,0,0,60,0,c2,1e-05,2,0,0,1,0,2.5797448674962404,0
scenario57,-30,40,20,100,0,100,0.4,0,100,0,60,0,c4,1e-05,2,0,1,2,0,1.0379275298724513,0
scenario58,-90,60,40,20,40,0,0.8,40,60,0,60,20,c1,1e-05,1,2,0,1,0,5.25935444238359,0
scenario59,30,60,80,20,40,40,0.8,100,0,0,60,20,c2,1e-05,0,1,2,1,0,3.084053350347149,0
scenario60,30,80,60,0,100,0,0.6,0,100,0,60,20,c4,1e-05,1,0,2,0,0,2.806145451645518,0
scenario61,30,0,100,0,0,100,0.1,0,100,0,60,40,c1,1e-05,0,1,1,2,0,2.4884629418888964,0
scenario62,0,20,100,0,0,60,0.2,80,20,0,60,40,c2,1e-05,0,1,2,0,0,1.660428564538899,0
scenario63,-90,80,100,40,60,40,0.6,40,60,0,60,40,c4,1e-05,2,0,1,0,0,1.973136754969504,0
scenario64,90,60,100,0,100,40,0.6,80,20,0,60,60,c1,1e-05,0,2,1,2,0,4.458695401109114,0
scenario65,90,20,20,20,80,0,0.6,20,80,0,60,60,c2,1e-05,2,1,0,1,0,4.390535023075756,0
scenario66,30,20,60,0,0,0,0.0,0,100,0,60,60,c4,1e-05,1,2,2,0,0,4.26880162632125,0
scenario67,-90,20,60,100,100,40,0.6,40,60,0,60,80,c1,1e-05,1,2,0,2,0,3.0858582510068127,0
scenario68,60,60,20,0,40,40,0.8,80,20,0,60,80,c2,1e-05,2,0,0,1,0,2.6895626593296704,0
scenario69,0,60,20,0,0,0,0.8,0,0,0,60,80,c4,1e-05,2,0,1,2,0,0.9480945050668412,0
scenario70,30,60,100,20,60,100,0.6,40,60,0,60,100,c1,1e-05,1,2,0,1,0,3.820680613961391,0
scenario71,-90,20,100,40,100,40,0.6,100,0,0,60,100,c2,1e-05,0,1,2,1,0,2.9309392315121165,0
scenario72,-30,60,80,20,0,80,0.2,40,60,0,60,100,c4,1e-05,1,0,2,0,0,2.416677119658016,0
scenario73,-90,40,60,40,60,40,0.6,0,100,0,80,0,c1,1e-05,0,1,1,2,0,3.5705430728084253,0
scenario74,30,60,100,0,80,60,0.6,0,100,0,80,0,c2,1e-05,0,1,2,0,0,1.617837922825574,0
scenario75,90,40,100,80,100,60,0.6,100,0,0,80,0,c4,1e-05,2,0,1,0,0,1.976780318261719,0
scenario76,-60,80,100,0,40,40,0.8,0,100,0,80,20,c1,1e-05,0,2,1,2,0,2.84584132141312,0
scenario77,60,20,60,20,40,60,0.8,100,100,0,80,20,c2,1e-05,2,1,0,1,0,4.161754308526007,0
scenario78,0,20,60,40,60,0,0.6,40,60,0,80,20,c4,1e-05,1,2,2,0,0,4.223737444776053,0
scenario79,30,60,40,0,40,40,0.8,20,80,0,80,40,c1,1e-05,1,2,0,2,0,3.292666918708708,0
scenario80,90,20,20,100,0,0,0.8,0,100,0,80,40,c2,1e-05,2,0,0,1,0,2.619500031762878,0
