Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario95,-60,0,1,2,1,0.8,0,20,20,80,100,100,60
scenario96,90,1,2,0,1,0.8,40,60,80,60,80,100,60
scenario97,0,1,0,2,0,0.4,0,20,0,40,0,80,40
scenario98,30,0,1,1,2,0.6,20,100,80,40,20,100,100
scenario99,60,2,1,0,1,0.2,60,20,40,80,100,60,20
scenario100,30,2,0,0,1,0.1,60,40,40,100,20,40,100
scenario101,-30,0,1,2,0,1,0,100,100,100,20,40,40
scenario102,0,1,2,0,2,0.2,60,60,80,20,40,40,100
scenario103,-90,0,2,1,2,0.4,40,20,80,100,100,40,80
scenario104,90,0,1,2,1,0.1,80,40,60,80,60,60,20
scenario105,-30,2,1,0,1,0.8,80,80,20,20,60,20,100
scenario106,60,1,2,0,1,0.8,40,80,60,100,60,20,80
scenario107,0,2,0,0,1,0.1,60,100,20,80,20,60,20
scenario108,30,0,1,1,2,0.1,80,20,40,80,100,60,100
scenario109,90,2,0,1,2,0.2,0,40,100,0,100,100,80
scenario110,-90,0,1,2,0,0.8,20,60,60,80,60,60,60
scenario111,60,0,1,2,1,0.6,40,20,20,80,20,40,20
scenario112,90,1,2,0,2,0.2,0,80,20,40,60,0,20
scenario113,90,0,2,1,2,0.2,60,60,20,100,60,20,20
scenario114,60,2,1,0,1,0.8,40,40,40,20,40,60,100
scenario115,0,1,2,0,1,0.2,80,100,80,40,100,80,80
scenario116,-90,2,0,0,1,0.6,20,20,60,60,100,20,20
scenario117,90,0,1,1,2,0.1,0,60,0,40,20,40,0
scenario118,60,1,2,0,2,0.4,40,80,60,40,100,20,60
scenario119,0,0,1,2,0,0.6,80,40,40,100,20,40,80
scenario120,-30,0,1,2,1,0.2,80,60,60,60,80,20,80
scenario121,30,0,2,1,2,0.2,20,40,60,80,40,20,60
scenario122,-90,1,2,0,1,0.1,20,100,40,60,60,40,60
scenario123,-30,2,1,0,1,0.6,60,80,100,100,60,40,80
scenario124,-30,2,0,0,1,0.8,40,20,100,20,100,80,60
scenario125,-90,2,0,1,0,0.1,80,40,20,80,20,60,80
scenario126,30,0,1,1,2,0.4,60,100,60,100,20,80,60
scenario127,60,1,2,0,2,0.1,20,20,20,40,80,40,20
scenario128,90,0,2,1,2,0.1,60,20,40,20,40,40,20
scenario129,90,0,1,2,0,0.6,0,60,20,40,100,60,40
scenario130,-30,0,1,2,1,0.4,20,60,100,80,60,80,20
scenario131,0,1,2,0,1,0.6,0,80,80,80,20,60,100
scenario132,60,0,1,1,2,0.2,20,100,100,100,20,60,100
scenario133,-90,2,1,0,1,0.6,60,40,20,20,80,60,100
scenario134,-30,2,0,0,1,0.4,0,20,100,40,40,100,80
scenario135,90,0,1,2,0,0.4,80,40,40,100,80,60,60
scenario136,0,1,2,0,2,0.1,60,20,20,60,100,20,80
scenario137,0,0,1,2,1,0.4,80,100,20,20,20,40,80
scenario138,30,0,2,1,2,0.2,80,20,20,100,40,80,20
scenario139,30,1,2,2,0,0.1,80,60,40,20,100,20,80
scenario140,60,1,0,2,0,0.1,20,80,20,20,100,20,60
scenario141,90,2,1,0,1,0.4,60,100,100,80,80,40,100
scenario142,0,2,0,1,2,0.6,20,20,40,80,40,60,60
scenario143,90,2,0,0,1,0.8,0,80,40,60,20,60,100
scenario144,-30,0,1,2,0,0.6,60,100,100,40,100,80,80
scenario145,90,2,0,1,0,0.6,20,40,20,20,20,20,60
scenario146,0,1,2,2,0,0.4,80,20,40,60,100,20,100
scenario147,-90,1,0,2,0,0.1,20,20,40,60,80,20,60
scenario148,0,2,0,1,2,0.6,20,60,100,60,20,60,100
scenario149,0,1,2,0,1,0.1,0,80,60,80,40,80,20
scenario150,30,2,0,1,0,0.6,20,80,40,60,80,80,60
scenario151,60,1,2,2,0,0.6,80,100,20,60,80,20,80
scenario152,-90,0,1,2,1,0.6,0,60,20,40,40,40,100
scenario153,-90,1,0,2,0,0.4,0,80,100,100,60,80,80
scenario154,60,2,0,1,2,0.2,0,60,100,20,100,80,100
scenario155,0,2,0,1,0,0.4,80,40,100,60,80,80,100
scenario156,30,1,2,2,0,0.4,80,40,100,20,40,20,60
scenario157,60,1,0,2,0,0.4,20,100,100,60,40,80,60
scenario158,90,2,0,1,2,0.4,80,20,100,60,20,80,80
scenario159,90,2,0,1,0,0.1,0,60,100,20,80,60,60
scenario160,90,1,2,2,0,0.4,80,80,20,0,40,80,80
scenario161,-30,1,0,2,0,0.4,0,60,40,60,40,20,0
scenario162,-60,2,0,1,2,1,20,0,0,0,0,0,80
scenario163,0,2,0,1,0,0.6,0,20,20,0,20,0,0
scenario164,30,1,2,2,0,1,0,40,0,0,0,0,0
scenario165,-60,1,0,2,0,1,0,100,0,0,0,0,0
