instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario55,20,100,0,40,0,0.8,20,80,0,60,0,c1,1e-05,0,2,1,2,0,4.6202912727768455,0
scenario56,60,40,20,0,0,0.8,20,0,0,60,0,c2,1e-05,2,0,0,1,0,3.878062759249704,0
scenario57,40,20,20,0,100,0.1,0,100,0,60,0,c4,1e-05,1,0,2,0,1,0.0,1
scenario58,20,80,20,80,80,0.0,100,0,0,60,20,c1,1e-05,1,2,0,2,0,2.342668909838167,0
scenario59,20,20,40,100,60,0.6,0,100,0,60,20,c2,1e-05,0,1,2,0,0,2.5265563034603007,0
scenario60,0,20,0,20,60,0.2,0,100,0,60,20,c4,1e-05,1,2,2,0,0,9999.0,0
scenario61,60,100,20,0,20,0.8,40,60,0,60,40,c1,1e-05,0,1,1,2,0,4.845122629463635,0
scenario62,40,60,40,80,40,0.6,20,0,0,60,40,c2,1e-05,0,1,2,1,0,5.828198767530687,0
scenario63,20,20,100,0,80,0.4,100,0,0,60,40,c4,1e-05,2,0,1,2,0,0.80304952967758,0
scenario64,60,20,0,0,80,0.6,60,100,0,60,60,c1,1e-05,1,2,0,1,0,4.530631299960243,0
scenario65,60,100,40,0,100,0.6,0,100,0,60,60,c2,1e-05,2,1,0,1,0,5.261889377996883,0
scenario66,80,40,100,0,80,0.4,60,40,0,60,60,c4,1e-05,2,0,1,0,0,3.1407489311968617,0
scenario67,40,80,40,0,80,0.4,100,100,0,60,80,c1,1e-05,0,2,1,2,0,4364.926564797987,0
scenario68,20,60,0,20,100,0.1,80,20,0,60,80,c2,1e-05,2,0,0,1,0,3.2670042170754794,0
scenario69,60,100,60,0,100,0.2,100,0,0,60,80,c4,1e-05,1,0,2,0,0,2.038708764611595,0
scenario70,60,20,20,40,40,0.8,60,40,0,60,100,c1,1e-05,1,2,0,2,0,3.1694376336316923,0
scenario71,40,40,20,100,0,0.6,100,0,0,60,100,c2,1e-05,0,1,2,0,0,2.4782329096839675,0
scenario72,60,60,20,100,40,0.1,0,100,0,60,100,c4,1e-05,1,2,2,0,0,9999.0,0
scenario73,0,100,0,40,40,0.6,80,20,0,80,0,c1,1e-05,0,1,1,2,0,4.863292790304051,0
scenario74,20,20,0,60,100,0.6,0,100,0,80,0,c2,1e-05,0,1,2,1,0,4.831919633953441,0
scenario75,20,20,40,100,100,0.1,40,60,0,80,0,c4,1e-05,2,0,1,2,0,0.7938932030514314,0
scenario76,80,20,0,0,0,0.6,0,100,0,80,20,c1,1e-05,1,2,0,1,0,3895.759612801656,0
scenario77,80,20,60,100,60,0.2,0,100,0,80,20,c2,1e-05,2,1,0,1,0,3415.6140363925265,0
scenario78,80,60,0,40,0,0.8,0,100,0,80,20,c4,1e-05,2,0,1,0,0,2.5735854038732056,0
scenario79,60,20,60,0,60,0.4,100,0,0,80,40,c1,1e-05,0,2,1,2,0,2.188254895004098,0
scenario80,20,100,60,40,40,0.8,0,100,0,80,40,c2,1e-05,2,0,0,1,0,9999.0,0
scenario81,20,100,0,100,40,0.2,80,20,0,80,40,c4,1e-05,1,0,2,0,0,2.4321032874647184,0
