Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
Z_{1},-0.1034,0.0678,0.0934,0.1135,-0.8744,0.044,-0.1225,-0.0062,0.6193,0.0929,-0.0714,0.0637,0.5256
Z_{2},-0.8406,0.156,-0.0369,0.154,0.058,0.0201,0.0569,0.0456,-0.5192,0.0551,-0.0855,0.1234,0.7759
