instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario88,1,20,80,40,0,-60,0,80,60,0.1,False,0.835,0
scenario89,0,60,0,0,80,-30,0,80,20,0.1,False,1.055,0
scenario90,1,100,100,40,80,-90,20,20,100,0.1,False,0.799,0
scenario91,0,0,20,60,40,-30,100,100,20,0.2,False,0.889,0
scenario92,1,20,80,40,60,-90,40,20,100,0.8,False,0.871,0
scenario93,1,40,100,80,40,-30,0,20,60,0.6,False,0.865,0
scenario94,0,80,100,60,20,30,20,0,100,0.2,False,1.129,0
scenario95,0,40,80,100,20,30,0,20,80,1.0,False,1.089,0
scenario96,1,60,20,100,40,60,20,60,0,0.2,False,0.81,0
scenario97,0,60,40,20,40,0,20,80,20,0.6,False,1.137,0
scenario98,1,100,80,20,0,30,20,60,0,0.6,False,0.751,0
scenario99,0,80,0,0,80,60,60,80,40,0.2,False,1.065,0
scenario100,1,60,40,60,40,-30,0,100,0,1.0,False,0.858,0
scenario101,0,40,100,80,100,0,80,80,80,0.2,False,1.105,0
scenario102,0,100,100,0,80,-90,100,20,60,1.0,False,1.104,0
scenario103,1,20,100,100,100,60,40,100,80,0.2,False,0.867,0
scenario104,0,60,20,0,0,-30,80,40,80,0.1,False,1.062,0
scenario105,1,80,40,80,100,-90,60,20,0,0.8,False,0.848,0
scenario106,1,40,100,80,100,30,20,80,40,0.4,False,0.71,0
scenario107,1,100,80,40,40,-60,80,20,0,0.4,False,0.905,0
scenario108,0,20,0,0,100,90,40,40,60,0.2,False,1.167,0
scenario109,1,0,40,100,100,-60,60,80,0,1.0,False,0.927,0
scenario110,1,60,60,60,20,-30,0,20,20,0.8,False,0.795,0
scenario111,0,100,100,100,100,-60,0,40,80,0.8,False,3.122,0
scenario112,1,20,20,60,60,-90,60,0,100,0.2,False,5.369,0
scenario113,1,100,100,80,60,-30,60,0,40,0.4,False,0.765,0
scenario114,0,40,0,20,60,30,0,100,40,0.6,False,1.021,0
scenario115,0,20,80,60,20,90,100,80,60,1.0,False,1.038,0
scenario116,0,80,80,80,60,-90,80,0,100,0.8,False,1.034,0
scenario117,1,0,40,80,0,-30,80,100,40,0.1,False,0.913,0
scenario118,0,100,80,20,60,30,60,80,0,0.8,False,1.18,0
scenario119,1,20,60,100,0,60,100,80,0,0.2,False,0.941,0
scenario120,0,40,40,60,0,-90,100,100,100,0.8,False,0.919,0
scenario121,1,0,0,20,60,90,80,80,40,0.2,False,0.905,0
scenario122,0,40,20,80,80,-60,20,0,80,0.6,False,1.085,0
scenario123,1,0,60,100,40,0,60,40,20,1.0,False,0.941,0
scenario124,1,20,20,0,80,-60,20,100,60,1.0,False,0.773,0
scenario125,0,80,80,100,80,30,60,0,0,1.0,False,1.229,0
scenario126,1,40,0,0,80,30,40,20,60,0.1,False,0.784,0
scenario127,0,80,40,40,0,-60,0,40,60,0.6,False,1.059,0
scenario128,0,80,80,0,60,0,0,20,100,0.1,False,1.124,0
scenario129,1,60,60,0,40,-90,60,0,20,0.1,False,0.95,0
scenario130,0,0,60,80,80,60,20,20,0,0.6,False,1.108,0
scenario131,0,100,0,40,80,60,100,80,80,0.2,False,1.101,0
scenario132,0,100,60,80,40,-90,60,60,80,0.1,False,1.023,0
scenario133,1,0,100,20,100,0,20,20,80,0.6,False,1.032,0
scenario134,1,60,20,100,100,-90,60,20,60,0.1,False,0.827,0
scenario135,0,40,100,80,80,-90,40,40,40,1.0,False,1.173,0
scenario136,1,60,40,80,40,30,100,100,40,0.2,False,0.803,0
scenario137,1,20,80,60,80,-30,0,80,100,0.2,False,0.733,0
scenario138,1,0,100,40,20,30,80,60,60,0.4,False,0.835,0
scenario139,0,20,100,20,80,0,20,80,0,1.0,False,1.087,0
scenario140,0,0,0,40,20,60,80,60,20,0.6,False,1.156,0
scenario141,0,0,0,80,80,90,40,100,80,0.6,False,1.062,0
scenario142,0,0,40,0,40,90,100,0,0,0.4,False,1.131,0
scenario143,1,40,0,0,100,90,100,0,100,0.6,False,0.807,0
scenario144,1,60,60,60,0,60,0,40,80,0.2,False,0.921,0
scenario145,1,0,80,40,100,60,0,80,100,1.0,False,0.799,0
scenario146,0,60,100,60,0,30,100,80,60,0.2,False,1.16,0
scenario147,0,60,20,60,100,60,0,100,40,1.0,False,1.12,0
scenario148,1,80,100,40,20,-30,60,80,80,0.8,False,1.0,0
scenario149,1,0,60,0,20,-30,40,40,60,0.4,False,0.917,0
scenario150,0,40,20,0,60,90,60,60,40,0.4,False,1.206,0
scenario151,1,40,0,20,40,60,40,60,40,0.6,False,0.842,0
scenario152,1,80,100,0,20,90,0,60,100,0.2,False,0.789,0
scenario153,0,100,40,0,40,0,20,20,20,0.8,False,1.105,0
scenario154,0,60,80,20,40,0,0,0,60,0.1,False,1.164,0
scenario155,1,0,60,20,100,30,60,100,60,0.1,False,0.792,0
scenario156,1,60,80,100,20,90,20,60,40,0.8,False,0.86,0
scenario157,0,20,80,20,80,-30,40,60,0,0.6,False,1.27,0
scenario158,0,0,80,100,20,0,0,0,80,0.6,False,1.076,0
scenario159,0,40,60,60,100,60,20,80,40,0.4,False,1.048,0
scenario160,1,100,0,0,80,90,60,20,0,0.1,False,0.835,0
scenario161,0,20,20,40,0,0,60,0,80,0.2,False,1.105,0
scenario162,1,80,60,20,20,30,80,100,60,0.6,False,0.938,0
scenario163,0,0,60,100,0,-30,80,20,60,0.1,False,1.08,0
scenario164,1,40,80,80,100,90,20,40,0,1.0,False,0.784,0
scenario165,1,100,40,60,0,60,80,0,100,0.8,False,0.807,0
scenario166,0,20,20,40,0,-30,100,60,20,0.4,False,1.086,0
scenario167,1,60,100,60,100,60,100,20,100,0.1,False,0.731,0
scenario168,0,100,100,100,80,30,20,0,40,0.2,False,1.219,0
scenario169,0,100,60,100,20,60,80,100,40,0.6,False,1.098,0
scenario170,0,40,40,0,40,0,0,0,0,1.0,False,1.128,0
scenario171,1,40,20,40,40,0,20,80,20,0.6,False,0.84,0
scenario172,0,0,80,40,0,-60,100,0,80,1.0,False,1.009,0
scenario173,1,0,20,0,80,0,0,60,100,0.8,False,0.916,0
scenario174,1,60,40,40,20,-30,100,60,20,0.4,False,0.948,0
scenario175,1,80,80,0,40,-90,40,0,20,0.8,False,0.876,0
scenario176,0,20,0,20,100,0,80,100,60,0.1,False,1.033,0
scenario177,0,100,0,60,20,-30,40,80,40,0.4,False,1.237,0
scenario178,1,80,100,100,80,90,40,80,40,0.2,False,0.84,0
scenario179,0,100,40,80,60,0,100,80,80,0.1,False,1.081,0
scenario180,0,80,40,80,0,-90,0,80,0,0.1,False,1.032,0
scenario181,1,80,40,20,40,-90,80,60,0,0.2,False,0.799,0
scenario182,1,80,20,0,0,-30,100,20,80,0.8,False,0.79,0
scenario183,0,0,60,80,80,-60,40,0,100,0.8,False,1.249,0
scenario184,1,60,60,80,80,-60,60,20,20,1.0,False,0.962,0
scenario185,0,40,40,60,100,30,20,20,20,1.0,False,1.087,0
scenario186,1,80,100,100,100,60,20,80,40,0.8,False,0.835,0
scenario187,1,60,0,60,100,30,100,0,0,0.1,False,0.78,0
scenario188,1,20,60,100,60,0,40,60,60,0.4,False,0.849,0
scenario189,0,100,80,80,20,90,40,0,20,0.8,False,1.117,0
scenario190,0,40,80,20,60,60,80,60,20,0.4,False,1.173,0
scenario191,1,0,80,0,80,-90,20,100,20,0.4,False,0.877,0
scenario192,0,100,100,40,40,-30,60,100,60,0.4,False,1.172,0
scenario193,1,0,60,40,80,-90,0,60,60,0.6,False,0.779,0
scenario194,0,60,40,60,60,-90,80,40,100,0.6,False,1.204,0
scenario195,0,20,80,80,80,-30,60,60,0,0.4,False,1.122,0
scenario196,0,20,60,80,100,60,100,80,40,0.6,False,1.125,0
