Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-60,0,1,2,0,1,0,100,80,80,80,80,80
scenario2,0,0,2,1,2,0.4,60,60,0,40,40,60,20
scenario3,90,2,0,0,1,0.6,0,40,40,20,20,40,0
scenario4,-30,0,1,2,1,0.2,80,0,60,0,0,100,60
scenario5,90,2,0,1,2,0.1,100,20,100,80,60,0,100
scenario6,60,1,2,2,0,0.1,40,80,20,60,100,20,40
scenario7,0,1,2,0,2,0.8,20,20,80,100,0,40,40
scenario8,60,2,0,1,0,0.4,20,100,60,100,20,100,100
scenario9,-60,2,1,0,1,1,20,40,100,0,40,20,0
scenario10,-30,1,2,0,1,0.4,100,0,0,20,100,0,80
scenario11,60,1,2,0,2,0.2,80,60,20,20,60,80,20
scenario12,-90,1,2,0,2,0.6,60,80,100,60,80,60,60
scenario13,0,0,1,1,2,0.1,40,0,40,40,80,100,0
scenario14,30,0,1,2,1,0.8,60,0,20,0,20,60,100
scenario15,-60,2,0,1,0,1,100,80,60,40,100,40,20
scenario16,60,2,0,1,0,0.8,80,40,40,60,40,0,80
scenario17,-90,0,1,2,0,0.6,80,20,0,100,100,80,0
scenario18,-60,0,1,2,1,0.2,60,100,40,100,60,60,40
scenario19,60,2,0,1,0,0.6,0,60,0,80,0,20,60
scenario20,-60,1,2,0,1,0.6,40,80,80,20,40,100,100
scenario21,90,2,0,1,2,0.4,40,80,40,0,0,80,80
scenario22,-60,2,0,1,2,0.2,0,20,20,40,20,0,60
scenario23,-60,0,1,2,1,0.8,100,60,60,0,80,0,40
scenario24,-30,2,0,1,0,0.2,20,80,80,80,60,60,0
scenario25,0,1,2,0,2,0.6,60,40,60,40,60,20,80
scenario26,-90,0,2,1,2,1,80,100,100,20,20,20,40
scenario27,0,0,1,2,1,0.8,0,40,100,80,100,100,20
scenario28,-90,0,1,2,1,0.4,20,0,80,60,80,40,20
scenario29,60,1,2,0,1,0.8,40,100,0,0,60,40,0
scenario30,30,1,2,0,1,0.2,40,20,20,80,40,40,80
scenario31,90,0,1,2,1,0.1,0,0,60,100,40,80,60
scenario32,-90,1,0,2,0,0.8,100,40,100,40,0,80,100
scenario33,-30,1,2,0,2,0.6,20,60,0,60,20,80,40
scenario34,30,2,0,1,2,0.1,100,100,40,20,100,20,60
scenario35,-90,1,2,0,1,1,40,60,40,100,0,0,20
scenario36,30,1,2,2,0,0.4,0,40,80,60,60,100,40
scenario37,30,1,0,2,0,1,80,20,0,20,80,60,100
scenario38,-60,2,0,1,0,0.1,60,40,0,60,0,60,80
scenario39,-60,2,0,1,0,0.4,80,100,20,80,0,0,0
scenario40,-30,0,1,1,2,0.2,60,20,40,100,80,20,100
scenario41,90,1,2,2,0,1,100,20,20,60,80,100,20
scenario42,30,2,0,1,0,0.1,60,60,80,0,100,0,0
scenario43,30,2,0,0,1,1,20,0,100,40,60,40,60
scenario44,90,2,0,0,1,0.8,80,100,80,40,40,20,40
scenario45,30,0,1,2,1,0.6,0,80,20,0,20,0,20
scenario46,-30,2,1,0,1,0.1,40,60,100,100,20,40,80
scenario47,-90,0,1,2,0,0.2,20,0,60,80,100,100,80
scenario48,0,1,0,2,0,0.2,100,100,60,60,20,60,0
scenario49,-90,0,1,2,1,0.1,0,40,20,0,100,60,100
scenario50,60,2,0,1,0,1,60,0,100,80,80,20,40
scenario51,60,0,1,2,0,0.8,40,40,80,80,20,60,60
scenario52,60,2,1,0,1,0.4,100,20,60,60,40,40,100
scenario53,30,0,2,1,2,0.8,100,80,60,100,0,20,20
scenario54,-30,2,1,0,1,0.8,60,100,60,20,40,40,20
scenario55,-30,2,0,1,0,0.2,0,40,0,40,80,100,20
scenario56,0,2,0,1,2,1,20,80,20,20,0,0,60
scenario57,30,1,2,2,0,0.6,60,40,20,100,20,80,100
scenario58,90,1,0,2,0,0.1,20,60,40,80,100,60,100
scenario59,90,0,2,1,2,0.4,60,60,0,0,20,100,60
scenario60,0,1,0,2,0,0.6,40,100,60,40,60,80,100
scenario61,90,1,0,2,0,0.2,80,20,100,0,0,40,80
scenario62,-90,1,2,0,2,0.1,80,80,0,100,60,20,20
scenario63,0,0,1,2,0,0.6,100,0,80,0,80,20,80
scenario64,0,1,2,0,2,0.4,80,40,100,40,40,20,60
scenario65,-30,2,1,0,1,1,0,80,20,60,100,20,40
scenario66,60,0,2,1,2,0.4,0,0,100,40,100,60,100
scenario67,-60,2,0,1,2,0.4,40,0,40,80,80,20,100
scenario68,-90,2,0,1,0,0.4,0,20,100,0,40,40,60
