feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,0,0,20,60,60,100,60,0,0.4,False,1.48,0
left,100,60,40,20,0,0,100,40,1.0,False,1.553,0
right,40,100,60,20,-90,40,100,80,0.1,False,1.753,0
left,60,20,40,20,-60,60,20,40,0.4,False,1.379,0
left,80,60,80,20,-60,60,60,100,0.1,False,0.903,0
left,60,0,20,0,30,20,60,0,1.0,False,1.454,0
left,20,60,60,100,-30,100,0,0,0.2,False,1.259,0
right,20,20,100,80,60,60,0,40,1.0,False,1.944,0
right,40,40,60,20,-90,0,0,40,0.1,False,1.334,0
right,60,0,80,20,0,40,40,60,0.1,False,0.773,0
left,100,60,20,40,30,60,20,40,0.4,False,1.379,0
right,0,100,60,20,90,100,60,0,0.6,False,0.926,0
left,60,0,0,40,-60,100,0,80,0.4,False,0.958,0
right,40,40,80,0,-30,100,100,100,0.4,False,1.578,0
right,40,0,100,80,90,100,0,0,0.2,False,1.665,0
left,60,100,60,60,90,40,60,60,0.2,False,1.496,0
right,20,0,100,40,90,100,20,80,0.2,False,2.002,0
right,40,60,40,80,-90,80,20,60,0.2,False,0.745,0
left,60,0,100,0,0,80,80,40,0.2,False,1.38,0
right,0,0,40,80,-90,20,0,60,0.6,False,0.842,0
right,20,20,20,60,0,80,100,20,1.0,False,0.832,0
left,40,40,40,80,-30,40,40,100,0.4,False,1.402,0
left,60,20,20,20,-60,20,40,80,0.2,False,1.016,0
right,0,60,40,20,30,80,20,100,0.1,False,1.83,0
right,0,0,0,60,90,20,60,40,0.1,False,1.043,0
right,20,0,0,20,30,80,20,0,0.4,False,2.4,0
left,60,80,40,100,-90,0,100,80,1.0,False,1.502,0
right,20,0,40,40,-60,0,20,40,0.1,False,0.819,0
left,0,40,60,100,-30,20,80,40,0.1,False,1.392,0
left,0,60,80,60,-90,60,0,60,1.0,False,0.859,0
left,100,80,0,100,-60,60,100,40,0.6,False,1.408,0
right,100,40,60,0,-30,100,80,40,0.6,False,1.63,0
right,0,40,100,20,0,100,60,20,0.1,False,0.968,0
right,20,60,0,0,0,80,40,60,0.2,False,0.901,0
left,0,0,80,20,60,60,0,80,0.8,False,1.333,0
right,100,80,20,20,-30,40,20,80,0.2,False,0.814,0
left,0,60,60,20,-30,20,0,60,0.4,False,1.395,0
left,80,100,60,0,60,80,100,20,1.0,False,1.459,0
left,80,60,80,20,90,60,20,80,0.2,False,1.364,0
left,60,80,20,60,-30,0,20,20,1.0,False,1.376,0
left,0,80,100,0,60,40,0,60,0.8,False,1.386,0
right,80,100,40,100,0,40,80,20,0.6,False,1.722,0
right,100,40,60,80,0,20,0,0,0.8,False,1.033,0
right,60,20,60,80,90,60,20,60,0.6,False,1.856,0
left,0,20,40,60,-30,0,60,80,0.8,False,1.411,0
left,0,100,20,0,60,40,100,80,0.1,False,1.355,0
