feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,0,60,40,-90,0,60,80,0.8,False,1.319,0
right,40,0,20,20,-30,80,40,100,0.2,False,0.831,0
left,0,60,0,80,0,0,0,40,1.0,False,1.364,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.979,0
right,40,60,0,40,-30,80,60,20,0.8,False,0.848,0
right,0,60,100,80,0,100,80,100,1.0,False,1.379,0
right,80,100,60,40,30,0,100,20,1.0,False,0.779,0
left,60,100,40,20,-30,40,80,60,0.1,False,1.377,0
right,60,80,40,0,-60,80,0,100,0.4,False,0.907,0
left,40,20,60,80,30,100,0,100,0.4,False,1.315,0
right,100,100,20,80,0,20,20,80,0.6,False,0.85,0
right,60,0,0,20,0,20,0,40,0.4,False,1.781,0
right,80,100,60,40,30,0,100,20,1.0,False,2.116,0
right,80,100,80,40,90,20,100,40,0.8,False,1.419,0
right,100,80,60,40,30,20,100,40,1.0,False,0.861,0
left,100,100,60,40,30,0,80,40,0.8,False,0.991,0
left,100,80,0,20,30,0,100,20,0.6,False,1.378,0
right,80,80,60,80,30,0,80,20,0.8,False,0.748,0
right,100,100,20,60,0,0,100,40,1.0,False,0.655,0
right,40,100,80,40,0,0,80,0,1.0,False,1.771,0
right,80,20,60,20,30,0,80,0,0.6,False,0.9,0
left,100,100,100,40,-90,20,80,0,1.0,False,1.37,0
left,0,80,100,40,30,0,100,40,1.0,False,1.175,0
right,100,80,60,20,-90,20,100,0,0.1,False,0.638,0
right,100,80,60,20,-90,20,100,0,0.1,False,1.119,0
left,100,100,100,20,-30,40,100,20,1.0,False,1.408,0
right,20,80,40,60,30,0,80,20,1.0,False,0.819,0
left,100,100,80,60,-90,20,60,0,1.0,False,1.502,0
left,80,80,60,60,30,0,100,40,0.8,False,1.305,0
left,0,0,40,60,0,0,40,40,0.8,False,1.471,0
left,80,60,100,40,0,0,100,40,0.2,False,1.352,0
left,80,0,80,0,30,20,80,0,0.2,False,1.379,0
left,20,80,20,40,90,20,20,60,1.0,False,1.378,0
left,80,100,80,40,60,0,80,20,0.8,False,1.382,0
right,20,80,80,40,30,0,100,100,1.0,False,0.742,0
right,80,100,80,40,0,0,80,0,1.0,False,1.414,0
right,20,80,80,40,30,0,100,100,1.0,False,0.663,0
left,80,60,100,20,90,0,100,40,0.2,False,1.369,0
right,20,80,100,40,60,0,20,60,0.2,False,0.791,0
right,0,80,40,80,0,80,80,40,1.0,False,0.934,0
left,80,40,100,20,0,20,100,40,0.2,False,1.388,0
left,40,40,80,40,30,0,100,80,1.0,False,0.921,0
left,100,100,100,20,-30,20,80,0,1.0,False,1.401,0
right,0,100,40,60,90,0,20,60,1.0,False,0.825,0
right,20,100,40,0,90,20,20,60,1.0,False,0.728,0
left,20,0,20,60,30,0,40,60,0.6,False,1.401,0
left,40,100,40,60,0,0,20,20,1.0,False,1.354,0
left,60,80,80,20,60,0,100,20,0.1,False,1.531,0
right,20,80,80,40,30,0,100,100,1.0,False,0.564,0
right,0,20,80,60,30,20,40,40,0.6,False,0.714,0
right,0,100,20,60,90,20,80,40,1.0,False,0.827,0
right,100,40,100,20,90,0,100,60,0.2,False,2.174,0
left,80,100,100,0,60,0,40,40,0.1,False,1.411,0
right,100,60,80,20,30,100,60,20,0.8,False,1.02,0
left,0,80,60,100,-30,80,60,40,1.0,False,1.137,0
right,20,100,20,0,90,20,20,60,0.8,False,1.591,0
left,80,60,60,0,30,0,40,40,0.2,False,1.567,0
right,20,100,20,60,60,0,20,20,1.0,False,1.833,0
right,60,100,40,80,-30,0,0,20,0.8,False,1.826,0
left,0,100,60,60,30,80,80,20,0.4,False,0.978,0
right,20,80,80,40,30,0,100,100,1.0,False,0.655,0
right,0,80,80,20,30,100,40,40,0.8,False,1.837,0
right,0,80,80,60,0,60,80,0,0.2,False,1.213,0
right,60,100,80,20,-60,0,0,40,0.6,False,1.087,0
right,100,60,60,20,60,0,80,40,0.2,False,1.569,0
left,0,100,80,100,30,80,60,0,0.6,False,0.967,0
right,100,60,80,20,30,100,80,20,0.8,False,1.801,0
right,100,100,20,80,90,0,0,20,0.8,False,0.819,0
right,40,100,20,0,90,40,0,60,0.6,False,2.004,0
left,60,80,80,20,90,0,20,40,0.2,False,1.386,0
left,80,60,40,60,60,0,40,60,0.1,False,1.45,0
right,0,100,80,40,30,0,100,100,0.8,False,0.691,0
right,80,100,60,40,30,0,100,20,1.0,False,0.798,0
left,60,100,20,40,-30,40,80,60,0.1,False,1.412,0
right,40,60,20,40,-30,80,40,40,0.8,False,0.638,0
right,20,80,80,40,30,0,100,100,1.0,False,0.579,0
right,0,0,0,60,-60,40,20,20,0.6,False,0.635,0
right,40,20,20,40,-30,80,40,100,0.4,False,0.962,0
right,20,100,20,80,0,20,0,100,0.6,False,0.91,0
left,20,60,0,40,-60,80,60,20,0.8,False,0.839,0
right,40,60,0,40,-30,80,40,20,0.1,False,0.792,0
right,100,0,20,0,-30,80,40,100,0.2,False,1.079,0
left,40,20,60,40,-90,20,60,80,0.8,False,1.541,0
left,40,0,60,60,-90,20,60,80,0.8,False,1.569,0
right,20,80,80,40,30,0,100,100,1.0,False,1.608,0
right,20,80,80,80,30,20,100,100,1.0,False,0.706,0
right,20,60,80,40,30,0,100,100,1.0,False,0.674,0
right,0,20,80,60,60,0,100,100,1.0,False,0.998,0
right,40,60,80,20,30,0,100,100,1.0,False,0.645,0
right,40,80,100,60,60,0,100,100,0.8,False,0.821,0
right,40,60,100,40,60,20,100,100,0.8,False,1.733,0
right,0,100,60,20,-90,0,100,80,0.1,False,1.01,0
right,0,100,60,20,0,20,100,80,1.0,False,1.737,0
left,20,60,100,40,30,20,20,100,1.0,False,1.022,0
right,20,60,80,20,30,0,100,100,1.0,False,0.591,0
right,100,80,0,40,30,0,100,100,0.8,False,0.797,0
right,20,60,80,20,30,0,100,100,1.0,False,0.743,0
right,20,100,40,40,-60,0,100,100,0.8,False,2.225,0
right,0,100,60,20,0,0,100,60,0.8,False,0.782,0
right,0,80,20,20,-30,20,0,80,1.0,False,0.934,0
left,20,60,100,60,60,40,20,100,1.0,False,1.402,0
left,20,60,80,40,-30,0,100,100,1.0,False,1.483,0
right,100,100,0,40,60,0,100,100,0.6,False,1.583,0
right,60,60,80,20,-90,0,20,100,0.8,False,2.134,0
left,0,0,40,40,-30,20,100,80,1.0,False,1.476,0
right,100,80,0,40,0,0,80,100,0.4,False,2.177,0
left,100,60,0,40,-30,20,40,100,0.6,False,1.054,0
left,20,60,100,60,60,0,20,80,1.0,False,1.453,0
right,20,60,80,20,30,0,100,100,1.0,False,0.684,0
left,40,80,40,20,30,0,80,80,1.0,False,0.966,0
right,100,100,20,20,-60,0,0,100,1.0,False,0.808,0
left,20,40,20,0,-30,40,80,80,1.0,False,1.424,0
right,0,100,20,60,-30,0,80,100,0.8,False,1.647,0
right,40,60,100,20,90,20,100,80,1.0,False,1.784,0
left,0,100,40,80,-60,20,0,40,0.8,False,1.388,0
right,20,80,80,20,0,0,100,80,0.8,False,0.932,0
left,100,100,0,40,90,0,100,100,0.6,False,1.499,0
right,20,80,40,0,-30,0,100,100,0.8,False,0.877,0
right,0,100,20,80,-30,80,0,80,1.0,False,1.234,0
left,100,60,20,20,-30,20,40,100,0.6,False,0.962,0
right,20,60,80,20,30,0,100,100,1.0,False,0.885,0
right,40,100,80,0,0,0,100,100,1.0,False,0.699,0
left,80,80,40,0,-60,0,20,80,0.6,False,1.545,0
right,0,80,20,80,-60,0,0,60,0.6,False,1.096,0
left,20,20,20,0,-30,40,80,60,1.0,False,1.404,0
right,20,40,100,20,-30,0,100,80,0.8,False,1.001,0
right,60,20,100,40,90,20,100,60,1.0,False,0.896,0
right,20,40,100,20,90,0,80,100,1.0,False,0.923,0
left,60,60,40,40,-30,0,40,100,0.8,False,1.501,0
right,100,80,40,0,-90,0,80,100,0.8,False,0.828,0
left,100,60,0,0,60,40,40,100,0.2,False,1.437,0
right,0,60,80,20,30,20,100,80,1.0,False,0.675,0
right,0,60,80,20,30,20,100,80,1.0,False,0.706,0
right,0,80,60,0,60,40,100,100,1.0,False,0.639,0
right,0,80,40,100,-90,40,0,60,0.8,False,2.137,0
right,0,80,20,0,60,20,80,100,1.0,False,1.763,0
left,100,60,0,0,60,20,60,80,0.1,False,1.437,0
right,40,100,80,20,0,0,0,100,1.0,False,1.924,0
right,60,0,80,40,90,100,60,80,1.0,False,0.962,0
left,0,60,100,60,30,40,80,80,0.8,False,1.067,0
right,40,60,60,40,90,80,40,100,1.0,False,1.154,0
right,100,80,20,0,-90,0,40,20,0.6,False,0.938,0
right,100,40,0,0,90,20,20,100,0.4,False,1.403,0
right,20,80,20,20,-30,80,100,80,1.0,False,0.787,0
right,80,100,60,40,30,0,100,20,1.0,False,0.665,0
right,20,100,80,40,30,0,100,100,0.1,False,0.704,0
right,20,80,80,20,0,20,100,0,1.0,False,1.453,0
right,40,60,20,40,-30,80,40,40,0.1,False,0.657,0
right,80,100,60,40,30,20,100,20,1.0,False,0.637,0
right,60,40,0,40,-30,80,60,40,0.1,False,0.961,0
right,40,60,20,40,-30,40,100,40,0.8,False,0.79,0
right,80,100,80,40,60,0,60,20,0.1,False,1.911,0
right,40,60,0,40,-90,80,100,20,0.8,False,0.874,0
right,20,100,20,80,0,0,0,100,0.6,False,0.946,0
right,20,60,80,40,60,0,100,80,1.0,False,0.928,0
right,80,60,0,40,-30,80,20,20,0.1,False,1.12,0
right,80,100,60,40,30,20,100,20,1.0,False,2.13,0
right,80,80,60,40,30,40,100,20,1.0,False,0.985,0
right,80,100,0,0,30,20,60,40,1.0,False,1.492,0
left,80,0,80,0,0,40,100,20,1.0,False,1.535,0
right,100,80,60,20,60,40,100,40,0.8,False,0.763,0
right,80,100,40,20,60,0,80,40,1.0,False,2.228,0
right,100,20,60,60,-30,20,80,20,1.0,False,0.789,0
right,60,100,60,40,0,0,100,0,0.8,False,0.899,0
right,100,100,40,40,60,0,80,40,1.0,False,0.869,0
right,60,80,40,40,0,0,100,20,0.8,False,1.463,0
left,100,80,60,40,30,20,100,0,1.0,False,1.168,0
left,80,100,60,40,0,60,100,20,1.0,False,1.386,0
right,100,80,60,20,60,40,100,40,0.8,False,0.82,0
right,100,0,40,40,0,100,100,100,1.0,False,0.68,0
right,40,100,40,20,0,0,100,40,0.6,False,0.753,0
left,60,40,20,60,-30,80,100,0,1.0,False,1.38,0
left,80,0,60,0,-30,40,100,20,0.6,False,1.569,0
right,80,100,60,60,90,0,100,20,1.0,False,0.748,0
right,100,80,60,0,60,20,80,40,1.0,False,0.861,0
left,100,20,80,60,-30,40,80,40,1.0,False,1.457,0
right,40,80,60,60,0,0,100,0,0.6,False,2.099,0
left,100,100,60,20,0,0,80,0,0.8,False,1.373,0
left,80,100,60,20,-30,60,80,40,1.0,False,1.56,0
right,80,80,80,100,-60,40,100,0,0.6,False,0.858,0
right,100,0,40,40,0,100,100,100,1.0,False,1.372,0
right,100,60,0,100,90,60,100,40,1.0,False,2.329,0
left,100,80,80,0,30,0,80,100,1.0,False,1.483,0
left,20,100,60,20,0,40,60,40,0.4,False,1.562,0
right,80,20,80,0,60,40,60,20,0.6,False,1.162,0
left,80,100,60,0,-30,20,60,20,0.6,False,1.597,0
left,100,80,60,0,90,20,80,60,1.0,False,1.332,0
right,100,20,60,20,0,0,100,20,0.6,False,1.531,0
right,100,100,40,80,0,80,60,40,1.0,False,1.493,0
right,100,60,60,0,-30,20,100,80,0.8,False,0.653,0
left,80,60,80,40,60,40,100,60,0.8,False,1.481,0
right,40,20,100,60,-60,40,100,40,1.0,False,0.878,0
right,100,60,60,0,-30,20,100,80,0.8,False,1.513,0
right,100,20,80,40,-90,40,0,40,1.0,False,1.011,0
left,100,60,80,60,90,40,100,60,0.8,False,1.528,0
right,100,0,100,40,0,0,100,20,0.6,False,1.861,0
right,100,100,80,40,90,40,0,0,0.6,False,2.953,0
left,20,100,60,20,0,60,60,60,0.2,False,0.988,0
left,100,60,60,80,-90,80,80,80,1.0,False,1.499,0
left,100,40,20,100,-90,60,100,20,0.8,False,1.376,0
right,40,20,80,20,60,40,100,20,0.6,False,0.742,0
right,100,80,40,0,30,0,60,100,1.0,False,0.703,0
right,100,100,80,0,0,80,60,60,0.8,False,1.002,0
