feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,20,80,0,60,-90,100,80,20,0.8,False,1.06,0
left,0,80,0,0,30,100,60,20,0.8,False,1.209,0
left,0,60,0,20,0,100,100,0,1.0,False,1.07,0
right,40,100,0,0,90,100,80,80,1.0,False,0.82,0
right,20,80,100,20,60,0,100,20,0.8,False,0.899,0
right,0,60,20,20,90,60,80,0,0.8,False,0.886,0
right,40,60,0,40,90,100,80,0,0.8,False,0.751,0
left,80,100,0,40,90,20,80,0,0.8,False,1.216,0
right,40,80,0,80,-90,100,80,40,0.8,False,0.965,0
right,0,60,40,20,90,60,80,20,0.8,False,0.788,0
left,0,100,0,60,-90,20,60,0,1.0,False,1.194,0
right,0,60,80,40,60,0,100,40,1.0,False,4.536,0
left,0,40,40,100,0,60,20,60,1.0,False,1.098,0
right,0,100,0,20,90,40,100,20,0.8,False,0.862,0
right,20,80,0,40,-60,0,100,20,0.6,False,0.887,0
right,0,40,0,80,-90,100,100,0,1.0,False,0.931,0
right,20,80,0,0,30,80,80,0,1.0,False,0.815,0
right,0,80,20,0,60,100,40,100,0.6,False,0.779,0
right,40,60,0,40,90,100,80,0,0.8,False,0.825,0
right,0,20,20,100,-90,100,100,0,1.0,False,0.874,0
right,40,60,0,40,90,100,100,0,0.8,False,0.779,0
left,60,60,40,20,90,60,60,0,1.0,False,1.11,0
left,20,60,0,80,-90,80,80,20,0.6,False,1.048,0
left,20,60,0,60,-30,20,100,40,0.4,False,1.066,0
right,0,100,20,20,-30,100,100,20,0.1,False,0.917,0
left,0,40,40,100,30,60,0,80,1.0,False,1.112,0
right,0,60,40,20,60,0,80,20,1.0,False,0.926,0
right,20,80,0,40,90,100,80,20,0.6,False,0.928,0
left,0,40,60,100,30,60,0,100,1.0,False,1.123,0
right,40,60,0,20,-60,20,100,0,0.6,False,0.747,0
right,40,60,0,20,-60,20,100,0,0.6,False,0.744,0
right,20,80,0,40,90,100,20,20,0.8,False,0.821,0
