feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,0,60,40,-90,0,60,80,0.8,False,1.001,0
right,40,0,20,20,-30,80,40,100,0.2,False,0.933,0
left,0,60,0,80,0,0,0,40,1.0,False,1.065,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.912,0
right,40,60,0,40,-30,80,60,20,0.8,False,0.901,0
right,0,60,100,80,0,100,80,100,1.0,False,0.839,0
right,80,100,60,40,30,0,100,20,1.0,False,0.857,0
left,60,100,40,20,-30,40,80,60,0.1,False,1.096,0
right,60,80,40,0,-60,80,0,100,0.4,False,0.899,0
left,40,20,60,80,30,100,0,100,0.4,False,1.206,0
right,100,100,20,80,0,20,20,80,0.6,False,1.03,0
right,60,0,0,20,0,20,0,40,0.4,False,0.905,0
right,60,100,60,0,-90,80,0,80,0.4,False,0.754,0
left,0,60,0,80,0,0,80,100,1.0,False,1.029,0
right,0,40,40,60,-90,80,40,60,0.4,False,0.837,0
left,100,100,20,60,-90,100,100,20,0.4,False,1.007,0
left,100,0,100,0,90,80,60,80,0.4,False,1.232,0
left,100,40,60,40,-60,80,40,80,0.1,False,1.103,0
left,80,60,60,0,60,20,60,100,0.1,False,1.185,0
right,60,100,100,100,60,100,60,40,0.6,False,0.817,0
left,20,80,40,80,30,80,20,40,0.8,False,1.163,0
left,80,100,40,20,30,40,0,40,0.8,False,1.055,0
left,20,40,40,60,-90,80,0,20,0.8,False,1.222,0
left,0,20,40,80,-60,0,80,40,0.1,False,1.064,0
right,80,80,20,80,-60,60,60,100,0.6,False,0.8,0
left,40,100,80,60,-30,60,20,80,0.2,False,1.067,0
left,80,80,60,40,60,80,0,100,0.1,False,1.165,0
right,60,40,100,60,-30,40,20,60,0.4,False,0.838,0
left,20,60,0,60,0,80,40,20,0.8,False,1.101,0
right,40,0,40,0,-30,80,80,40,0.1,False,0.825,0
right,0,80,60,40,-90,60,80,100,0.4,False,0.935,0
left,100,60,40,60,30,80,40,20,1.0,False,1.227,0
right,80,80,40,40,-90,20,0,0,0.6,False,0.823,0
right,100,20,60,80,-90,60,80,20,0.4,False,0.861,0
right,20,80,0,60,30,80,40,100,0.8,False,0.842,0
left,40,100,60,20,60,0,40,40,0.2,False,1.147,0
right,40,60,0,80,-90,60,100,20,0.2,False,0.846,0
left,40,80,20,100,30,20,40,60,0.6,False,0.99,0
left,40,80,0,0,0,80,80,80,0.4,False,1.079,0
left,80,0,100,60,0,60,0,0,0.8,False,1.084,0
right,100,60,80,40,-60,60,20,20,0.2,False,0.853,0
left,0,20,20,0,0,0,0,60,1.0,False,1.126,0
right,80,0,0,20,60,60,100,40,0.2,False,0.794,0
right,0,40,100,100,90,40,20,80,0.1,False,0.789,0
right,20,60,20,60,-60,80,100,60,0.6,False,0.916,0
left,60,0,60,0,-30,20,60,100,1.0,False,0.971,0
left,20,0,60,40,30,80,0,60,0.8,False,1.23,0
right,40,40,20,60,-90,0,80,0,0.8,False,0.971,0
right,100,0,100,20,0,20,60,20,0.6,False,0.991,0
left,0,20,0,40,-90,0,20,20,0.6,False,1.019,0
right,20,100,60,0,-90,20,0,60,1.0,False,0.832,0
left,20,100,0,40,0,20,20,20,0.6,False,1.108,0
right,100,20,0,100,-90,40,40,100,0.6,False,0.818,0
right,20,0,0,80,-90,0,20,40,0.2,False,0.762,0
left,80,0,80,100,90,80,40,60,0.8,False,1.177,0
right,40,100,20,60,-90,80,40,40,0.4,False,5.146,0
left,40,80,0,100,-30,0,60,100,0.2,False,1.087,0
right,60,0,100,80,60,80,20,60,1.0,False,0.787,0
left,20,20,100,40,0,60,40,100,0.8,False,1.047,0
left,60,0,40,100,-90,100,100,20,0.2,False,1.039,0
right,20,0,20,100,30,0,40,0,0.1,False,4.523,0
right,0,40,40,20,-30,60,0,80,0.4,False,0.943,0
left,100,80,0,40,-30,100,100,40,0.6,False,1.095,0
left,0,0,0,80,-90,60,60,40,1.0,False,1.149,0
left,20,60,0,60,-60,20,0,60,0.2,False,1.098,0
left,20,80,40,60,-60,60,40,0,0.1,False,1.077,0
left,80,60,40,80,-90,100,100,80,1.0,False,2.704,0
left,40,40,80,80,90,100,40,0,1.0,False,1.17,0
left,40,40,20,60,-60,60,0,60,0.1,False,1.061,0
left,20,100,0,80,-60,0,60,80,0.2,False,0.954,0
right,80,100,60,100,30,40,0,20,0.1,False,0.804,0
right,0,80,40,100,-90,20,100,0,0.2,False,0.912,0
left,100,0,60,100,0,80,60,40,1.0,False,1.009,0
left,100,100,60,60,60,100,0,0,0.1,False,1.203,0
left,20,100,100,20,90,100,100,80,0.4,False,1.092,0
right,80,60,100,40,-30,60,20,80,0.8,False,0.802,0
left,0,80,80,100,-60,80,80,100,0.8,False,1.198,0
left,60,100,20,100,90,80,60,0,0.4,False,1.107,0
right,60,40,100,100,-30,80,80,80,1.0,False,0.988,0
right,20,20,0,40,-90,80,0,60,0.4,False,0.718,0
right,100,20,0,100,30,0,20,80,0.6,False,0.824,0
left,80,100,100,0,90,60,80,20,1.0,False,1.186,0
right,40,40,80,100,90,60,100,40,0.4,False,0.916,0
right,20,20,0,100,60,0,100,80,1.0,False,0.909,0
left,40,0,20,20,90,100,20,100,1.0,False,1.098,0
right,100,20,80,20,30,100,20,60,0.8,False,0.831,0
left,60,20,40,40,60,80,100,60,0.2,False,1.081,0
left,60,100,60,60,-30,0,100,60,0.6,False,2.552,0
left,40,60,60,0,-90,0,100,40,0.4,False,1.245,0
right,20,100,80,100,60,80,60,100,0.8,False,0.753,0
right,100,20,0,20,-60,100,60,20,1.0,False,0.934,0
right,60,100,0,40,60,20,40,40,0.8,False,0.819,0
right,100,0,40,20,90,0,0,80,0.2,False,0.859,0
left,80,60,80,60,0,100,60,0,0.2,False,1.122,0
left,40,20,40,100,0,100,60,0,0.6,False,1.056,0
left,40,80,60,0,-60,40,0,100,0.1,False,1.077,0
right,20,20,0,0,0,100,100,60,1.0,False,0.959,0
right,60,100,0,60,-90,0,40,80,0.6,False,4.779,0
right,100,40,40,40,-90,40,80,20,0.1,False,0.935,0
left,60,60,80,40,-90,20,40,40,1.0,False,1.066,0
right,20,40,80,60,-30,20,80,0,0.8,False,0.832,0
right,20,20,40,20,60,60,80,20,0.4,False,0.773,0
left,20,60,60,40,0,100,60,60,0.4,False,1.065,0
right,100,40,0,100,0,60,0,80,0.4,False,0.922,0
right,80,80,80,80,-60,20,0,20,1.0,False,0.978,0
right,80,60,100,80,-30,80,20,40,0.2,False,0.884,0
left,100,60,100,0,30,60,80,0,0.4,False,1.238,0
right,100,100,20,20,-30,100,80,20,0.2,False,0.841,0
right,60,20,20,60,-30,80,20,80,0.2,False,0.885,0
right,20,80,80,0,90,40,20,80,0.6,False,0.843,0
