feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,100,20,40,20,-90,0,20,40,0.8,False,1.036,0
right,60,0,60,100,-30,100,60,40,0.8,False,0.875,0
right,60,0,80,0,0,100,40,80,0.4,False,0.82,0
left,0,20,100,80,30,0,100,40,0.8,False,1.145,0
left,20,60,80,100,0,40,20,80,0.6,False,1.084,0
right,0,60,40,60,-30,40,100,0,0.2,False,0.895,0
right,60,100,60,40,60,60,80,0,0.6,False,0.853,0
left,40,40,40,0,90,60,80,0,1.0,False,1.159,0
right,60,0,20,80,-30,80,60,100,0.6,False,0.974,0
left,20,40,80,20,-30,60,100,60,0.1,False,0.716,0
left,100,80,20,100,-60,40,80,0,0.8,False,1.073,0
right,0,20,0,60,-90,100,20,60,1.0,False,0.81,0
right,80,100,40,60,90,60,60,20,0.6,False,0.839,0
left,60,20,80,80,60,20,0,40,0.6,False,1.1,0
right,80,40,0,40,60,40,80,80,1.0,False,0.774,0
right,20,60,80,60,-30,40,80,80,0.6,False,0.899,0
right,40,20,100,20,30,60,20,60,0.1,False,0.784,0
right,100,60,100,60,0,100,100,20,0.6,False,0.946,0
left,20,80,80,40,90,0,60,0,0.8,False,1.178,0
right,0,100,20,60,90,100,20,0,0.6,False,0.72,0
right,40,80,100,60,60,0,40,100,0.8,False,0.816,0
right,40,100,100,60,90,80,0,80,0.1,False,0.801,0
left,100,100,40,20,60,0,60,0,1.0,False,1.201,0
left,60,20,100,40,-90,0,40,0,0.4,False,1.061,0
right,40,60,20,20,30,60,80,100,0.2,False,0.784,0
left,20,0,80,60,30,100,20,60,0.8,False,1.168,0
left,20,60,100,40,0,40,100,0,0.6,False,1.064,0
right,100,80,20,0,0,40,80,40,1.0,False,0.992,0
right,100,40,60,40,-60,60,60,0,0.2,False,0.87,0
right,80,40,80,40,60,40,0,100,0.6,False,0.796,0
right,0,80,100,100,-90,80,100,60,0.4,False,0.909,0
left,80,40,20,100,-60,80,40,100,1.0,False,1.103,0
left,100,0,100,100,-90,40,60,0,0.8,False,1.113,0
right,100,20,0,40,-30,100,60,20,0.2,False,0.872,0
left,80,40,80,80,-30,20,40,60,0.4,False,1.232,0
right,0,60,0,20,90,20,100,100,1.0,False,0.895,0
right,80,40,0,60,-90,40,80,0,0.6,False,0.72,0
right,100,100,100,40,30,60,100,40,0.1,False,0.816,0
left,60,0,80,80,-30,80,20,100,0.1,False,1.064,0
right,100,40,100,60,-90,20,0,0,0.4,False,0.857,0
right,0,0,20,80,-60,60,60,40,1.0,False,0.895,0
right,80,100,100,20,0,100,0,60,0.8,False,0.847,0
right,40,0,100,40,-60,60,60,20,0.4,False,0.953,0
left,100,40,80,100,-30,0,60,40,0.2,False,2.831,0
left,60,0,100,20,60,100,80,0,0.1,False,1.208,0
right,20,20,80,20,-90,80,20,80,0.2,False,0.888,0
left,40,20,80,0,-30,20,20,80,0.4,False,1.121,0
left,0,100,0,20,-90,40,20,80,0.4,False,0.431,1
left,20,40,0,20,60,60,80,0,1.0,False,1.191,0
left,60,60,40,80,30,0,60,80,0.2,False,1.103,0
left,100,100,80,40,0,100,0,0,0.6,False,1.124,0
right,60,100,0,60,60,60,0,0,0.4,False,0.936,0
left,0,20,40,80,60,80,80,100,0.4,False,1.22,0
right,80,80,40,60,30,80,60,0,1.0,False,0.896,0
left,100,100,80,100,90,20,60,60,0.2,False,1.179,0
right,40,60,60,60,60,0,40,60,0.4,False,0.762,0
right,40,20,100,60,-90,0,0,0,0.6,False,0.934,0
left,100,100,40,20,30,0,80,80,0.8,False,1.225,0
right,100,0,60,40,90,100,60,100,0.1,False,0.809,0
right,80,40,40,0,30,80,20,20,1.0,False,0.794,0
right,20,0,40,80,-30,0,40,80,0.2,False,0.777,0
right,80,80,80,100,60,80,0,80,1.0,False,0.796,0
right,0,20,40,100,90,40,40,40,0.1,False,0.866,0
left,20,80,100,60,-90,20,100,100,0.1,False,1.065,0
left,100,80,20,60,0,60,40,20,0.4,False,1.125,0
right,100,40,80,80,-90,0,20,20,0.8,False,4.918,0
left,100,0,40,60,60,60,60,80,0.6,False,1.198,0
right,40,20,80,0,-30,60,0,40,1.0,False,0.845,0
right,80,100,40,0,-60,60,80,0,0.1,False,0.861,0
left,40,20,20,40,-30,40,0,0,0.6,False,1.064,0
right,20,20,60,80,60,20,80,80,1.0,False,0.807,0
right,0,60,100,0,0,0,60,0,0.4,False,0.93,0
right,80,60,100,100,0,40,0,60,0.1,False,0.82,0
right,20,80,60,100,-30,0,60,0,0.2,False,0.727,0
right,80,60,80,0,0,40,100,40,0.2,False,0.959,0
right,20,0,80,100,-90,80,80,20,0.4,False,0.934,0
right,100,100,20,20,-90,20,40,20,0.2,False,0.886,0
left,100,0,20,100,0,60,80,80,0.6,False,1.123,0
right,100,40,20,60,-90,60,60,100,0.4,False,0.818,0
right,80,0,40,80,-90,40,60,60,0.1,False,0.885,0
left,40,40,0,100,90,0,80,80,0.8,False,1.169,0
right,60,80,80,100,-90,60,80,100,0.2,False,0.784,0
right,80,60,80,20,-90,60,0,40,1.0,False,0.763,0
left,80,100,20,0,-60,100,60,60,0.8,False,1.104,0
left,40,40,40,60,0,40,100,80,0.1,False,1.087,0
right,0,40,0,80,60,60,40,40,1.0,False,0.905,0
left,40,0,80,100,-60,40,40,100,1.0,False,1.088,0
right,20,80,100,0,-30,80,60,100,0.4,False,0.945,0
left,100,100,100,100,30,0,100,100,0.6,False,1.183,0
right,0,40,40,20,-60,40,60,20,0.2,False,0.715,0
left,20,0,40,0,30,80,100,80,0.1,False,1.166,0
right,80,20,80,60,-60,20,20,100,0.8,False,0.879,0
left,100,60,0,60,-30,100,100,20,0.6,False,1.106,0
right,100,60,20,80,-60,40,60,20,0.4,False,0.979,0
right,60,40,60,80,30,60,20,20,0.8,False,0.848,0
left,40,0,100,60,90,40,80,0,1.0,False,1.192,0
left,40,0,20,40,0,80,20,60,0.1,False,1.133,0
left,60,40,0,60,-90,60,80,40,0.2,False,1.14,0
right,0,40,20,0,-30,0,100,100,0.4,False,0.785,0
left,20,0,40,60,60,20,100,60,0.6,False,1.157,0
left,0,0,40,20,90,20,80,100,0.8,False,1.233,0
right,0,40,20,40,-90,0,20,60,1.0,False,0.953,0
right,0,0,60,80,30,0,100,80,0.8,False,0.862,0
left,100,20,40,60,-90,80,40,20,0.8,False,1.052,0
right,20,100,100,0,30,40,0,80,0.8,False,0.843,0
left,60,60,0,100,0,40,40,100,0.1,False,1.097,0
right,0,40,20,100,60,100,0,80,1.0,False,0.733,0
right,20,0,40,80,-30,100,20,100,0.6,False,0.875,0
right,100,20,20,0,60,60,0,40,0.2,False,0.868,0
left,20,0,40,40,30,60,80,60,0.4,False,1.124,0
left,100,20,40,40,90,0,100,40,0.4,False,1.19,0
left,40,60,60,100,0,60,40,20,0.6,False,1.061,0
right,40,80,40,0,60,60,0,60,0.8,False,0.776,0
left,80,40,40,0,-90,40,100,40,0.4,False,1.052,0
right,80,100,60,20,60,60,40,60,0.1,False,0.78,0
right,80,60,40,100,90,0,0,100,1.0,False,0.74,0
right,40,80,100,100,-60,0,20,80,1.0,False,4.743,0
right,0,20,0,20,90,100,40,40,0.6,False,0.857,0
left,80,20,100,60,-30,40,60,0,0.8,False,1.147,0
left,80,40,60,40,60,40,20,0,0.1,False,1.185,0
left,60,80,60,80,-90,40,40,100,0.6,False,1.038,0
left,80,40,100,60,-60,0,20,0,0.6,False,1.078,0
left,100,60,0,100,90,40,100,40,1.0,False,1.128,0
left,80,80,40,40,90,20,100,100,1.0,False,1.166,0
left,40,80,20,0,-60,20,20,60,0.1,False,1.139,0
right,80,80,40,60,90,80,20,80,0.1,False,0.849,0
left,40,60,100,100,0,80,60,60,0.8,False,1.122,0
left,20,40,100,0,0,60,100,80,0.4,False,0.914,0
left,80,100,80,20,90,20,60,80,0.1,False,1.163,0
left,80,20,40,20,-60,40,100,20,0.4,False,1.032,0
right,0,40,20,100,30,40,20,100,0.4,False,0.779,0
left,80,100,20,80,30,20,20,100,0.8,False,1.142,0
right,80,0,0,0,-90,100,80,40,1.0,False,0.787,0
left,80,60,80,100,-90,60,100,80,0.4,False,1.098,0
right,60,20,100,60,-30,60,0,100,0.1,False,0.835,0
left,60,60,60,60,-60,40,80,20,0.4,False,0.862,0
right,100,40,60,20,90,40,80,80,0.1,False,0.756,0
right,20,60,0,40,0,20,20,0,0.1,False,1.062,0
right,60,80,60,20,90,20,40,80,1.0,False,0.878,0
right,20,20,60,80,0,60,40,60,0.1,False,0.983,0
left,60,80,60,20,-60,80,40,0,0.1,False,2.755,0
right,60,80,100,100,0,40,80,0,0.1,False,1.017,0
right,20,40,100,40,90,60,40,0,0.6,False,0.845,0
left,80,80,20,40,30,40,0,60,0.8,False,1.114,0
right,80,40,80,100,30,0,20,0,0.6,False,0.832,0
right,40,80,40,20,-60,80,80,60,0.8,False,0.808,0
left,0,0,20,100,-30,60,80,60,0.2,False,1.172,0
left,40,80,40,20,0,80,100,40,0.8,False,1.028,0
right,80,80,80,60,60,80,40,60,0.1,False,0.832,0
right,40,100,0,60,30,40,100,100,1.0,False,0.775,0
left,80,60,40,100,90,80,80,20,1.0,False,1.156,0
left,80,60,20,80,60,100,80,60,0.2,False,1.126,0
left,0,80,100,0,-60,0,60,40,0.6,False,1.087,0
