feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,40,0,80,0,-30,100,80,60,0.1,False,0.955,0
right,100,80,40,40,90,100,40,0,0.6,False,0.901,0
left,20,0,0,40,-60,60,60,0,1.0,False,1.032,0
left,60,80,20,80,-60,20,100,100,0.1,False,3.089,0
right,0,100,40,80,0,0,20,0,0.1,False,0.844,0
left,100,60,80,0,-90,40,100,60,0.8,False,1.165,0
left,0,0,100,20,90,100,80,20,1.0,False,1.197,0
right,20,80,0,60,30,0,20,100,0.6,False,0.788,0
right,40,0,60,0,-30,0,60,0,0.6,False,0.876,0
left,60,20,60,20,60,20,0,0,0.6,False,1.064,0
right,100,0,0,60,-30,100,80,60,0.1,False,0.811,0
right,40,0,60,80,0,80,0,40,0.4,False,0.793,0
left,40,60,80,60,90,40,100,60,1.0,False,1.225,0
right,100,100,20,80,90,100,0,80,0.1,False,0.906,0
left,20,0,100,20,90,100,0,100,0.4,False,1.15,0
right,100,60,80,40,0,0,20,0,0.2,False,0.809,0
left,0,80,0,0,-90,60,80,100,0.2,False,1.091,0
left,20,0,0,40,-60,20,0,40,1.0,False,1.11,0
right,80,0,100,20,-60,80,40,80,1.0,False,0.926,0
right,60,100,60,60,90,20,80,20,0.8,False,0.819,0
left,100,40,60,100,60,80,20,0,0.8,False,1.198,0
right,40,60,40,40,60,40,60,80,1.0,False,0.8,0
right,20,80,100,100,-60,100,0,60,0.2,False,0.954,0
left,80,20,60,20,-90,0,100,80,0.4,False,3.108,0
left,40,0,20,20,-60,60,0,20,1.0,False,1.157,0
right,60,40,60,0,90,60,100,40,0.2,False,0.798,0
left,80,60,0,80,90,100,80,80,0.8,False,1.203,0
left,40,60,20,60,-90,20,100,40,0.1,False,0.996,0
right,100,100,0,40,30,40,100,20,0.2,False,0.888,0
left,80,80,20,20,0,80,80,100,0.2,False,1.114,0
left,40,20,40,80,90,80,60,0,0.2,False,1.185,0
right,80,0,60,80,-60,0,0,40,1.0,False,0.831,0
left,100,100,60,100,60,20,20,0,0.6,False,1.187,0
right,0,80,80,20,0,80,100,40,0.2,False,0.74,0
right,80,80,80,100,-60,80,20,20,0.2,False,0.955,0
left,100,100,0,0,-90,100,60,20,0.6,False,1.131,0
right,0,80,100,80,30,0,60,20,1.0,False,0.886,0
right,0,40,60,0,60,80,60,40,0.4,False,0.857,0
left,100,100,0,100,60,60,0,100,0.8,False,1.171,0
right,100,20,100,0,60,100,40,100,0.2,False,0.96,0
right,0,100,100,60,0,60,40,60,0.1,False,0.995,0
left,60,0,100,80,-30,0,80,100,0.6,False,1.395,0
left,80,0,40,40,60,100,40,100,0.1,False,1.199,0
