feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,0,100,40,20,-60,20,100,0,1.0,False,1.122,0
left,80,60,0,0,-90,20,20,80,0.8,False,1.029,0
left,80,20,100,100,60,80,60,20,0.6,False,1.184,0
right,0,20,100,60,-30,40,20,20,0.4,False,0.92,0
left,0,60,0,40,90,40,80,40,0.1,False,1.092,0
right,80,0,60,0,30,40,100,80,0.4,False,0.775,0
left,100,0,0,100,-60,40,0,20,0.1,False,1.131,0
right,40,60,100,40,-60,40,40,20,1.0,False,0.94,0
right,100,100,100,0,30,100,20,80,1.0,False,0.9,0
left,20,60,60,40,60,100,80,20,1.0,False,1.128,0
right,0,20,0,40,0,40,0,20,0.8,False,0.963,0
right,20,100,60,60,60,60,20,40,0.2,False,0.814,0
right,80,0,60,0,30,40,100,80,0.4,False,0.844,0
right,80,20,80,0,60,60,0,80,0.4,False,0.76,0
right,60,100,40,20,30,60,100,80,0.4,False,0.792,0
right,40,0,40,0,60,40,100,80,0.4,False,0.891,0
right,80,0,80,0,0,20,0,40,0.6,False,0.915,0
left,80,0,80,0,60,20,100,80,0.6,False,1.072,0
right,100,20,60,0,30,20,100,80,0.4,False,0.75,0
right,0,20,60,20,0,60,80,60,0.2,False,0.923,0
left,60,20,60,20,60,0,80,100,0.2,False,1.167,0
right,100,0,60,0,-30,40,40,60,0.6,False,0.816,0
right,60,20,40,0,30,40,80,80,0.2,False,0.884,0
left,80,0,80,0,30,40,80,80,0.4,False,1.13,0
right,100,20,60,0,30,20,100,80,0.4,False,0.8,0
right,100,20,0,20,0,20,100,40,0.6,False,0.867,0
right,40,20,60,0,60,20,100,80,0.4,False,0.893,0
right,100,0,100,0,60,60,0,100,0.2,False,0.79,0
left,60,40,20,20,30,80,80,80,0.2,False,1.212,0
left,80,20,100,0,30,40,100,80,0.6,False,1.119,0
right,100,60,60,0,-60,40,60,60,0.8,False,0.85,0
