feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
-90,right,0.1,100,100,40,20,60,40,0,0,0.8387750087944319,26.967182874679565,0
0,left,0.8,80,100,100,0,40,80,20,0,1.1012290067765738,22.643150806427,0
-30,left,0.2,0,60,0,60,0,0,40,0,1.051414571898349,22.36637020111084,0
-60,left,0.4,20,80,20,40,80,20,80,0,1.0301283750487678,22.1996808052063,0
0,right,0.6,20,20,60,60,20,60,60,0,1.0081549285340143,27.49039316177368,0
0,right,1.0,40,0,100,80,100,100,40,0,0.885991438272135,27.068416357040405,0
60,right,0.8,80,60,80,100,20,20,100,0,0.7716956747122735,26.29258704185486,0
90,right,0.6,60,40,40,80,0,80,100,0,0.7798883340658072,26.36651945114136,0
30,left,1.0,0,40,80,20,40,100,80,0,1.0706972502805614,21.88281226158142,0
60,right,0.2,60,20,100,0,80,0,0,0,0.9509678685667976,26.33162522315979,0
90,right,1.0,80,80,60,40,60,0,40,0,0.932787905371004,26.344265460968018,0
-60,left,0.4,100,40,100,100,100,40,60,0,1.0209496654817956,22.48558974266052,0
0,right,0.8,0,0,20,40,0,60,0,0,0.8927842840826496,27.21213221549988,0
-60,left,0.6,40,80,0,100,20,100,0,0,1.0551724596590375,22.489355325698853,0
90,left,0.2,40,100,100,60,60,60,80,0,1.1053420454270757,21.672856330871586,0
90,left,0.1,60,20,80,40,100,40,20,0,1.1748154891105422,22.007521629333496,0
90,right,0.1,20,0,20,100,40,0,60,0,0.93241992307779,26.430909872055054,0
-90,left,1.0,60,100,0,60,80,20,100,0,1.070471272877803,22.45685148239136,0
60,right,0.4,40,60,60,20,100,80,20,0,0.8035020569378553,26.073707103729248,0
0,left,0.2,100,80,60,20,0,20,100,0,1.1203679288389898,22.616087436676025,0
30,right,0.8,40,80,40,60,80,40,60,0,0.8961653015211177,26.35179281234741,0
60,left,0.4,100,80,80,80,40,60,0,0,1.2290191583679304,21.995430946350098,0
60,left,0.6,0,20,100,100,60,80,40,0,1.075967907894694,22.05928134918213,0
60,left,1.0,20,40,80,0,0,0,20,0,1.113248676980516,21.884083032608032,0
60,left,0.1,0,0,40,80,20,0,80,0,1.1019768233254126,21.939897537231445,0
90,right,0.8,100,20,60,80,80,100,80,0,0.8827718485754221,26.25517177581787,0
90,left,0.6,100,60,20,0,20,40,40,0,1.2212434583579974,21.937251329422,0
0,right,0.4,0,100,60,100,80,40,40,0,0.8134482471937211,27.209805727005005,0
60,left,0.2,80,100,20,40,100,100,60,0,1.2186437512838668,21.90929317474365,0
60,right,0.2,60,0,0,100,40,40,20,0,0.7674542274180318,26.472606658935547,0
30,right,0.4,40,20,80,0,60,60,100,0,0.8533294336634588,26.267298698425293,0
-30,left,0.2,80,40,40,20,20,80,0,0,1.111265255065519,22.11910128593445,0
-60,right,0.1,60,60,100,20,40,60,100,0,0.8260060983507689,26.73815655708313,0
90,left,0.8,0,80,0,0,100,20,60,0,0.973838948456202,22.01891827583313,0
60,right,0.8,20,40,0,20,80,60,40,0,0.826842805797781,26.180267572402958,0
-30,right,0.6,100,0,20,60,60,20,20,0,0.882012007228947,26.966227769851685,0
30,right,1.0,80,20,40,100,0,20,80,0,0.8059471164113152,26.442980527877808,0
90,left,1.0,20,60,60,60,40,80,0,0,1.051392756079256,21.942718744277958,0
-30,right,0.4,40,100,20,80,20,0,100,0,0.8491952176222185,27.36712121963501,0
-60,right,0.1,20,20,0,80,0,80,20,0,0.7638387252764488,26.90868186950684,0
60,left,0.1,80,0,60,0,80,20,60,0,1.0873885453843877,22.207464694976807,0
-90,left,0.6,80,60,100,80,0,60,60,0,0.988014303826616,22.27431011199951,0
0,left,1.0,20,20,40,40,40,40,100,0,1.113736051686293,22.430755138397217,0
-60,right,0.2,0,0,80,60,80,100,20,0,0.9661398044167112,25.80324959754944,0
30,left,0.6,0,0,0,40,100,80,100,0,1.0794973747587835,22.00088620185852,0
60,left,0.4,20,0,100,20,60,100,0,0,1.1808318040162356,21.73994755744934,0
-60,right,0.6,40,40,60,0,100,0,80,0,5.116396055856203,61.30877733230591,0
-90,right,0.2,20,0,80,40,20,20,40,0,0.7410968093103962,26.99421858787537,0
-60,right,0.4,40,100,40,40,40,80,40,0,0.7989435317602414,26.897032260894772,0
0,left,1.0,100,60,0,100,60,60,20,0,1.1172561696271743,22.639063358306885,0
-60,right,0.2,60,60,20,0,60,80,60,0,0.9482909030018662,26.966611862182617,0
90,right,0.4,60,100,80,100,0,100,0,0,0.7986959148780965,26.1511652469635,0
60,right,0.1,80,80,20,60,0,40,80,0,0.9020366270844844,26.193542957305908,0
30,right,0.2,80,40,60,80,40,0,100,0,0.8536935441512276,26.34794235229492,0
-30,left,1.0,40,20,0,20,40,20,60,0,1.1979551358066194,24.737061977386475,0
60,left,0.1,40,80,100,40,80,100,100,0,1.2109934341354756,22.006405115127563,0
90,right,0.2,0,40,20,80,100,40,0,0,0.8238213054979029,26.30529260635376,0
0,right,0.4,20,60,40,0,0,100,80,0,0.8553851050585105,27.3148512840271,0
90,left,0.1,0,100,80,20,20,60,40,0,1.1604303930696085,21.909098625183105,0
90,left,0.6,20,100,40,0,80,60,20,0,1.102354022019107,22.007140159606934,0
90,right,0.2,80,0,100,20,0,20,20,0,0.8204902654938241,26.19842004776001,0
-30,right,1.0,60,80,40,60,100,60,40,0,0.9537858004139034,27.136311292648315,0
30,left,1.0,60,80,60,80,20,40,20,0,1.169696342655926,21.894936323165894,0
90,right,1.0,40,40,80,100,80,80,60,0,0.7565039243571807,26.3699324131012,0
30,left,0.4,80,40,0,60,60,40,40,0,1.2222365890450957,21.92944979667664,0
30,left,0.2,20,60,0,20,100,40,80,0,1.0597566360675417,21.989352464675903,0
30,left,0.8,80,0,80,60,100,0,0,0,1.212005239960087,22.45035743713379,0
-90,left,0.8,20,0,100,80,60,40,100,0,1.117755589002615,22.33996152877808,0
60,left,0.8,40,40,40,40,60,20,0,0,1.0661289163168108,21.752985954284668,0
-30,right,0.1,60,40,100,0,20,20,80,0,0.8172259038881503,26.96062445640564,0
60,left,0.8,20,100,60,100,20,80,80,0,1.0828101781173451,21.88962244987488,0
-30,right,0.6,20,100,100,40,0,40,60,0,0.8665795986708907,26.95732355117798,0
60,left,0.6,60,100,20,20,40,0,40,0,1.1729872899911775,21.821611642837524,0
30,right,0.4,100,60,100,40,80,0,20,0,0.8673568108585109,26.41258215904236,0
90,left,0.8,100,20,0,40,20,0,100,0,1.0690146655122703,22.00352096557617,0
60,right,0.6,0,80,40,60,40,20,20,0,0.757781339283977,26.2820143699646,0
-90,right,0.6,100,0,80,100,40,80,80,0,0.876785611422156,26.77716875076294,0
-90,right,1.0,80,0,0,0,40,100,0,0,0.778388077825019,26.989415645599365,0
60,right,1.0,100,20,20,80,100,60,100,0,0.8899914860261513,26.640620231628414,0
60,right,0.8,20,20,80,80,40,100,60,0,0.878285632617209,26.36830711364746,0
-60,left,0.2,80,20,20,100,80,60,40,0,1.0481312928623931,22.471787691116333,0
-60,left,0.1,100,60,20,60,100,100,0,0,1.050326857917165,22.320178031921387,0
90,left,0.8,60,0,80,0,60,40,80,0,1.166888487352275,21.837214946746823,0
-30,right,0.4,60,80,0,40,60,80,80,0,0.8617858709415419,27.02774429321289,0
90,left,0.1,40,60,60,100,0,40,100,0,1.11612414936286,21.955186128616333,0
30,left,0.8,40,100,0,20,0,100,20,0,1.140086269920738,21.97587537765503,0
-90,right,0.4,0,80,20,20,20,80,60,0,0.8933016410777845,26.912554502487183,0
30,left,0.6,0,20,60,0,0,40,0,0,1.067828179771173,21.886290550231934,0
-30,right,0.2,20,40,60,100,60,100,100,0,4.960842664208651,61.397812604904175,0
-60,left,1.0,80,100,100,60,20,0,60,0,1.03831938009145,22.42546939849853,0
-30,left,0.1,100,80,80,0,80,80,40,0,1.0309160480213726,22.214335918426517,0
-90,left,0.1,80,80,40,100,100,0,20,0,1.0359932258238682,22.34017562866211,0
30,left,0.2,0,60,40,40,40,60,60,0,1.0749447955521458,22.080078840255737,0
-90,left,0.1,60,40,20,80,60,100,40,0,1.00684126730289,22.522728443145752,0
90,right,0.4,80,40,20,60,40,60,20,0,0.7377697157256572,26.38684821128845,0
-30,left,0.6,60,60,60,40,80,100,0,0,1.109826690173238,22.418089628219604,0
0,right,0.2,100,100,80,40,100,0,80,0,0.9562158512983424,27.34277367591858,0
90,left,0.4,20,20,100,60,80,20,40,0,1.1873633364348215,21.98260736465454,0
0,right,0.8,60,60,40,60,60,0,100,0,0.8150842269332805,27.242668628692627,0
-90,left,0.6,20,20,20,0,100,20,100,0,1.0756840416240516,22.2527756690979,0
-30,right,0.1,0,40,80,40,60,60,60,0,0.8966842301662274,25.335436820983887,0
0,right,0.2,100,40,0,80,80,20,60,0,0.745045115626947,26.9380464553833,0
-30,left,0.6,40,0,80,20,0,60,40,0,1.1087342353912433,22.178212881088257,0
90,right,0.6,80,20,0,20,20,100,80,0,0.861676259940692,26.21231842041016,0
90,left,1.0,100,100,100,80,20,20,0,0,1.1666690117822878,21.858781099319454,0
60,right,0.4,0,100,0,80,60,0,20,0,0.9283077045847502,26.45987820625305,0
30,right,0.8,100,100,60,0,100,20,40,0,0.9340954810353216,26.492276668548584,0
-90,right,0.8,100,60,40,80,20,80,20,0,0.9459513229670448,27.058943510055546,0
-60,left,0.6,0,40,100,40,20,60,20,0,1.1681920328387956,22.4953134059906,0
-90,left,0.4,100,0,40,0,0,0,60,0,1.085104238410721,22.339380741119385,0
-30,left,0.8,40,20,20,100,100,80,0,0,1.0552089392429336,22.5037214756012,0
-60,left,1.0,100,0,60,20,80,80,100,0,1.0860254561319107,22.27585363388061,0
-60,right,0.6,80,100,80,80,60,80,0,0,0.9041131211790688,26.907034635543823,0
30,right,0.2,20,80,100,100,40,100,40,0,0.938210974420376,26.636948347091675,0
-60,right,0.1,0,100,0,100,60,20,80,0,0.8056308767401514,26.659324407577515,0
90,left,0.6,100,100,80,60,40,100,100,0,1.104228948515475,21.671576499938965,0
-90,right,0.2,40,40,60,60,0,80,40,0,0.7715561759107237,26.7996346950531,0
-30,right,1.0,80,60,40,80,80,40,80,0,0.8727651739112873,26.83281421661377,0
90,right,0.2,40,80,40,20,80,0,0,0,0.930687085061212,26.278332233428955,0
-90,left,0.8,60,80,60,20,60,60,80,0,1.0796962347940189,22.31206631660461,0
-30,right,0.8,0,40,40,0,40,40,40,0,0.8973775486433369,27.108992338180546,0
30,right,0.8,60,20,100,20,20,80,40,0,0.8531120802589977,26.25899577140808,0
30,right,0.1,60,0,60,60,0,100,60,0,0.8428028826477235,26.32594084739685,0
0,right,0.1,40,100,0,60,20,40,0,0,0.9049438925119536,27.29828929901123,0
30,right,0.4,80,80,20,20,100,100,100,0,0.9083246548009336,26.461939811706543,0
-60,left,0.8,40,100,60,80,80,60,60,0,1.1299758357226957,24.01092648506165,0
-60,left,0.4,60,60,80,20,0,20,60,0,1.112431894483011,22.03116202354431,0
60,left,0.2,100,20,40,60,100,80,60,0,1.202802646914617,21.99398684501648,0
90,left,0.4,0,0,60,60,100,0,80,0,1.1655224025066555,21.917949199676517,0
-30,left,0.1,0,100,60,80,40,100,20,0,2.861643099433392,64.44183325767517,0
0,left,1.0,0,80,20,0,60,100,100,0,1.0817649766240598,22.726298093795776,0
-60,right,1.0,60,40,0,40,0,40,0,0,0.7704553937271685,27.098556756973267,0
0,left,0.1,40,20,100,100,0,0,60,0,1.079361139598866,22.74147629737854,0
30,right,0.1,40,60,80,80,100,20,60,0,0.8409142015730089,26.60306453704834,0
0,left,0.4,60,0,40,20,100,60,60,0,1.0966931519027023,22.85352635383606,0
90,right,0.8,100,80,0,100,0,60,20,0,0.8086005801762834,26.175371646881104,0
-90,left,0.2,100,80,100,0,20,100,80,0,1.3598419053056914,66.34550404548645,0
-30,left,0.4,80,20,80,100,20,40,20,0,1.029284906873723,22.35121440887451,0
90,left,0.4,20,100,60,40,0,60,100,0,1.1145996267193854,22.062843322753903,0
30,right,0.4,0,60,20,60,20,20,0,0,0.797056132372088,26.60048508644104,0
60,left,0.4,0,40,40,100,0,100,100,0,1.099565311774835,22.21064257621765,0
90,left,0.1,100,20,40,40,0,100,40,0,1.2071358496500877,22.05895733833313,0
-30,left,0.1,20,80,60,20,20,0,20,0,0.9018685716137724,23.01935315132141,0
60,left,0.6,80,60,40,80,100,20,40,0,1.210871154916985,21.854220628738403,0
0,right,1.0,0,20,80,0,100,20,20,0,0.9557083241451472,27.385050773620605,0
60,right,0.6,100,40,80,20,20,40,100,0,0.7580564876044723,26.34639573097229,0
