feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,0,100,40,20,-60,20,100,0,1.0,False,1.3566928075761684,0
left,80,60,0,0,-90,20,20,80,0.8,False,1.042782427769392,0
left,80,20,100,100,60,80,60,20,0.6,False,1.3133619353399155,0
right,0,20,100,60,-30,40,20,20,0.4,False,0.9083702464784796,0
left,0,60,0,40,90,40,80,40,0.1,False,1.3938489866407813,0
right,80,0,60,0,30,40,100,80,0.4,False,2.137957957039027,0
left,100,0,0,100,-60,40,0,20,0.1,False,1.0472739020279431,0
right,40,60,100,40,-60,40,40,20,1.0,False,0.7914554146329195,0
right,100,100,100,0,30,100,20,80,1.0,False,2.1611583104561767,0
left,20,60,60,40,60,100,80,20,1.0,False,1.4563152794726095,0
right,0,20,0,40,0,40,0,20,0.8,False,1.1572112838019384,0
right,20,100,60,60,60,60,20,40,0.2,False,0.8578382568162422,0
left,100,80,80,40,60,80,60,80,0.6,False,1.3315493482461231,0
right,20,20,80,60,-90,0,0,20,1.0,False,0.7046309837566267,0
left,100,60,80,0,0,60,80,60,0.8,False,1.3756884076918583,0
right,80,0,100,100,-90,100,80,40,1.0,False,0.8675876230441815,0
right,0,40,60,20,0,0,100,100,0.4,False,0.7445394706250807,0
left,80,0,100,40,90,100,80,80,0.2,False,1.3529234101128698,0
left,40,20,80,80,-90,80,40,60,0.1,False,1.3965342457522991,0
left,40,40,20,0,-60,80,0,0,1.0,False,1.396348276831022,0
right,0,80,20,20,60,60,80,20,0.4,False,0.7455041705796452,0
right,20,80,100,100,-60,100,40,60,1.0,False,0.895360250581801,0
right,60,80,60,0,-60,20,0,40,0.1,False,0.9216763767757234,0
left,80,20,0,0,60,100,0,20,0.1,False,1.3303981835853682,0
left,40,0,80,20,-30,100,60,20,0.8,False,1.4035350317194923,0
left,100,80,80,60,-60,60,60,20,0.1,False,1.4291815097709697,0
left,100,60,40,60,0,60,100,0,1.0,False,1.490043144939448,0
left,0,60,100,40,90,0,20,20,0.2,False,1.342293864476651,0
right,20,60,20,40,0,20,0,60,0.8,False,0.964769727823988,0
left,0,100,80,0,-90,20,20,60,0.6,False,0.9693884277683078,0
right,20,60,0,20,0,0,60,40,0.6,False,2.3061949574138967,0
right,60,100,100,80,60,100,60,20,0.2,False,1.0140257684522116,0
right,20,0,80,100,30,0,100,40,0.1,False,0.6114991790552584,0
left,80,60,80,80,-60,0,80,0,0.2,False,1.3800156924939129,0
left,80,0,100,20,0,0,80,20,0.8,False,1.3655634867745965,0
left,80,0,60,100,30,80,80,40,0.4,False,1.3275661392669291,0
left,100,100,40,20,-30,60,20,100,1.0,False,0.681973596821998,0
right,60,40,0,0,0,80,80,0,0.1,False,1.855623468711008,0
left,80,40,20,40,-90,20,40,40,0.2,False,1.3987244352015986,0
right,80,100,40,80,90,100,80,0,1.0,False,0.9119241655410892,0
right,100,0,20,40,-90,0,100,80,0.2,False,0.9643022818557198,0
right,40,80,20,100,-30,20,100,100,0.4,False,0.8340936960780235,0
right,40,0,0,100,0,40,0,0,0.4,False,1.117498677574731,0
left,100,40,20,100,0,80,100,60,0.8,False,1.4997957464126508,0
left,0,0,100,20,30,0,40,80,0.8,False,1.3820064094727091,0
left,60,20,0,40,-30,0,40,20,1.0,False,1.3621377033197677,0
left,100,0,40,80,90,60,80,100,0.2,False,1.3938445392914696,0
left,20,20,60,0,-60,100,40,60,1.0,False,1.4538264540232488,0
left,40,20,100,0,0,0,60,20,0.2,False,1.3490445935237478,0
right,40,40,20,20,-90,100,20,60,0.4,False,0.8668303922854695,0
right,0,40,40,100,30,60,100,80,0.4,False,3.612011452651157,0
left,0,40,20,80,-30,0,0,80,0.6,False,1.415855926253735,0
right,100,40,60,80,30,0,60,80,0.2,False,0.6952750444152724,0
right,0,100,60,0,30,80,100,100,1.0,False,1.218549660222464,0
left,40,60,0,100,-30,80,40,100,0.1,False,1.2452288487660963,0
right,80,40,100,60,-30,60,100,40,0.8,False,1.5658510339060212,0
left,20,60,100,60,60,100,20,80,0.8,False,1.4089840992442308,0
right,60,80,0,40,-30,20,60,80,0.8,False,0.8563681534214462,0
right,60,60,60,100,-60,80,60,100,0.2,False,0.9601092588211072,0
left,40,80,100,100,30,40,0,20,1.0,False,1.8011618274818435,0
right,20,20,20,0,-90,20,60,80,0.1,False,0.7661075097069097,0
right,60,100,80,20,60,100,60,60,0.6,False,1.5092651206378238,0
left,20,100,100,0,90,0,60,20,0.2,False,1.3451919696740908,0
right,0,80,20,0,0,20,60,100,0.8,False,0.933416782770326,0
right,60,80,100,80,0,80,60,20,1.0,False,0.7745198588355158,0
right,60,40,20,100,-30,80,60,100,0.2,False,0.9175020016210343,0
right,60,0,100,40,-60,40,40,40,0.8,False,0.7662843705012992,0
left,20,20,20,60,60,20,100,20,0.1,False,1.3487924795609711,0
right,60,40,80,60,0,0,20,60,0.6,False,0.6298118498143545,0
left,80,60,60,0,-30,40,60,60,0.8,False,1.5548284357932194,0
left,60,20,40,60,0,0,60,40,1.0,False,1.611752547296524,0
right,100,20,60,20,30,80,0,60,0.8,False,1.829000893059811,0
left,0,100,60,20,90,60,20,0,0.4,False,1.3500569244962188,0
right,40,20,60,40,-30,60,40,60,0.4,False,0.903824285547919,0
left,60,0,100,80,-90,40,20,100,0.1,False,1.4707650823396206,0
left,0,20,20,0,30,20,20,20,0.6,False,1.6132381252462047,0
left,80,20,60,100,-30,40,20,80,0.8,False,1.5145712156832114,0
left,20,40,0,80,-90,40,80,100,0.6,False,1.5187253395479796,0
right,100,20,0,80,60,100,20,0,1.0,False,1.8860023166470337,0
right,100,80,0,80,90,0,40,80,0.6,False,0.7963553112573012,0
right,0,80,100,40,-90,60,60,0,0.6,False,0.8255350686250469,0
right,100,60,100,20,0,20,100,80,1.0,False,2.1732825825973947,0
right,80,80,60,60,0,100,80,40,0.4,False,1.4934151937005598,0
left,0,40,60,20,90,60,80,80,1.0,False,1.611962336175752,0
right,40,0,60,40,-60,60,20,40,0.4,False,1.6074186097548453,0
right,40,80,100,40,30,0,80,20,0.1,False,0.5948121375088236,0
left,100,60,60,80,90,20,100,60,1.0,False,1.3513681264876396,0
right,60,0,0,40,-60,60,100,20,0.4,False,1.0205989408307132,0
right,60,80,80,40,0,100,80,40,0.4,False,0.9238481701838864,0
right,40,40,40,20,-90,100,20,40,0.1,False,2.1426531568275795,0
left,20,20,100,60,-30,100,80,80,0.8,False,0.7555907943010491,0
right,0,20,40,20,-30,20,40,0,1.0,False,0.7459054416079481,0
left,40,0,0,80,-30,100,20,100,0.6,False,0.7379025501761278,0
left,0,80,40,60,0,60,40,20,0.1,False,1.3386788490247594,0
right,60,0,0,60,0,0,80,100,1.0,False,0.8804119867075066,0
left,20,20,80,40,-90,20,0,80,0.6,False,1.057825949370099,0
left,80,60,60,60,-30,80,60,40,0.8,False,1.3907298148646028,0
left,80,100,0,20,60,20,40,100,0.1,False,1.4450892708889411,0
left,20,20,80,0,-60,0,60,60,1.0,False,1.4198782086012491,0
right,40,0,20,40,60,40,100,60,0.1,False,2.180610836530855,0
left,40,100,80,100,90,20,60,0,0.8,False,1.3816777906274786,0
left,100,20,40,20,-90,0,20,40,0.8,False,1.4080190885589912,0
right,60,0,60,100,-30,100,60,40,0.8,False,1.8980663726587876,0
right,60,0,80,0,0,100,40,80,0.4,False,1.8431252735390968,0
left,0,20,100,80,30,0,100,40,0.8,False,1.0195022770739095,0
left,20,60,80,100,0,40,20,80,0.6,False,1.3877228855965196,0
right,0,60,40,60,-30,40,100,0,0.2,False,0.7170832130714635,0
right,60,100,60,40,60,60,80,0,0.6,False,0.7844888237887631,0
left,40,40,40,0,90,60,80,0,1.0,False,1.4476760585542976,0
right,60,0,20,80,-30,80,60,100,0.6,False,1.374710268385677,0
left,20,40,80,20,-30,60,100,60,0.1,False,1.426971236748736,0
left,100,80,20,100,-60,40,80,0,0.8,False,1.3605614551597185,0
right,0,20,0,60,-90,100,20,60,1.0,False,0.8171854125578045,0
right,80,100,40,60,90,60,60,20,0.6,False,2.0453359868481487,0
left,60,20,80,80,60,20,0,40,0.6,False,1.438901254682862,0
right,80,40,0,40,60,40,80,80,1.0,False,2.197905770663934,0
right,20,60,80,60,-30,40,80,80,0.6,False,1.07675843462673,0
right,40,20,100,20,30,60,20,60,0.1,False,1.1553127409554764,0
right,100,60,100,60,0,100,100,20,0.6,False,0.9194687325619512,0
left,20,80,80,40,90,0,60,0,0.8,False,1.3646517232982711,0
right,0,100,20,60,90,100,20,0,0.6,False,0.967692945237171,0
right,40,80,100,60,60,0,40,100,0.8,False,1.805141779814858,0
right,40,100,100,60,90,80,0,80,0.1,False,0.940907786215448,0
