feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
60,40,80,20,100,60,0.6,0,100,right,0,0,0,1e-05,0,1.820104989413178,168.21904945373535,0
-90,40,20,20,0,80,0.8,100,0,left,0,0,20,1e-05,0,1.3650132485881856,82.99227166175842,0
90,60,100,0,0,80,0.2,100,0,left,0,0,40,1e-05,0,1.3589899155001703,81.14652490615845,0
-90,60,60,40,0,0,0.8,0,100,right,0,0,60,1e-05,0,0.9242268570555572,110.10371613502502,0
30,40,40,100,0,80,0.4,20,80,left,0,0,80,1e-05,0,1.4788595472030177,78.23198747634888,0
30,20,60,40,100,40,0.6,100,0,right,0,0,100,1e-05,0,2.3023341850168357,169.2298982143402,0
-90,20,20,40,100,40,0.4,20,80,left,0,20,0,1e-05,0,1.430245961281066,82.17043781280518,0
-60,20,80,0,0,100,0.2,20,80,left,0,20,20,1e-05,0,1.3981388551801917,81.83282279968262,0
90,60,20,0,0,100,0.8,0,100,right,0,20,40,1e-05,0,0.6834839443022415,88.8788435459137,0
30,0,40,0,0,0,0.6,0,100,left,0,20,60,1e-05,0,1.4582805569659354,79.96959519386292,0
-60,80,100,0,100,40,0.6,0,100,right,0,20,80,1e-05,0,1.9307743970230569,168.03477144241333,0
30,60,20,0,60,0,0.6,40,60,right,0,20,100,1e-05,0,0.6902089238043139,87.44125366210938,0
-60,60,100,0,40,40,0.6,80,20,right,0,40,0,1e-05,0,0.8259508718580014,112.68309450149536,0
30,60,100,20,20,40,0.8,40,60,left,0,40,20,1e-05,0,1.529995640605032,77.30069613456726,0
90,80,60,0,0,0,0.8,80,20,right,0,40,40,1e-05,0,0.9683185061008588,111.53677606582642,0
-90,40,60,100,0,80,0.4,40,60,right,0,40,60,1e-05,0,0.8475815705446081,112.44019317626952,0
-90,60,100,100,100,40,0.6,100,0,right,0,40,80,1e-05,0,1.596165052134202,194.29877424240112,0
0,20,60,40,0,80,0.2,100,0,right,0,40,100,1e-05,0,1.995139653169496,170.44657945632937,0
90,60,20,80,0,80,0.4,100,0,right,0,60,0,1e-05,0,0.82435321389656,116.01768732070924,0
0,20,60,100,100,40,0.6,40,60,left,0,60,20,1e-05,0,1.738372523604971,80.09412908554077,0
-90,20,20,0,100,40,0.6,80,20,right,0,60,40,1e-05,0,1.0351246468445343,104.15549969673155,0
-30,20,60,20,0,0,0.8,100,0,left,0,60,60,1e-05,0,0.9222432793773546,99.62850213050842,0
60,20,100,0,0,100,0.1,20,80,right,0,60,80,1e-05,0,0.9192846812453618,102.61264514923096,0
60,20,20,0,0,80,0.1,80,20,left,0,60,100,1e-05,0,1.3177887655427898,80.24922895431519,0
90,40,100,0,0,0,0.8,20,80,right,0,80,0,1e-05,0,1.4583266736052105,169.99682021141052,0
-30,80,20,0,20,40,0.8,0,100,left,0,80,20,1e-05,0,1.6136650030281614,81.19549655914307,0
-30,60,100,60,100,60,0.6,60,40,right,0,80,40,1e-05,0,1.6171229862237957,172.10541105270386,0
90,60,40,80,80,40,0.6,40,60,right,0,80,60,1e-05,0,0.8640422185517558,160.30905628204346,0
90,20,100,20,80,0,0.6,20,80,left,0,80,80,1e-05,0,1.3626491255738638,80.7744390964508,0
-90,60,80,100,0,100,0.1,100,0,left,0,80,100,1e-05,0,0.4305208096215652,191.78230929374692,1
-60,0,100,0,40,40,0.8,0,100,right,0,100,0,1e-05,0,0.907959992034134,114.73885321617126,0
-30,60,100,0,20,0,0.8,0,100,left,0,100,20,1e-05,0,1.3636831237194922,81.64385104179382,0
-90,60,20,0,0,100,0.4,0,100,right,0,100,40,1e-05,0,1.4427503673673128,163.17756748199463,0
0,20,20,20,0,100,0.8,20,80,right,0,100,60,1e-05,0,0.8260442714844903,107.69544744491576,0
-30,80,20,20,100,40,0.6,0,100,right,0,100,80,1e-05,0,1.2061908841788456,172.33220219612122,0
90,60,20,0,100,40,0.6,80,20,left,0,100,100,1e-05,0,1.3719615932155325,80.6777925491333,0
0,20,20,20,80,60,0.6,20,80,left,20,0,0,1e-05,0,1.48626306111909,80.13132667541504,0
90,80,80,60,0,80,0.4,40,60,left,20,0,20,1e-05,0,1.415317612477852,79.74430012702942,0
-30,20,100,40,100,60,0.6,0,100,left,20,0,40,1e-05,0,1.469829298575939,83.63074541091919,0
90,40,40,20,40,40,0.6,0,100,left,20,0,60,1e-05,0,1.3591457990895557,79.37340450286865,0
-90,60,100,0,0,100,0.1,80,20,left,20,0,80,1e-05,0,0.9097107858153172,101.42354559898376,0
-30,80,100,0,0,100,0.1,0,100,right,20,0,100,1e-05,0,0.8936746719907912,164.30869936943054,0
30,20,20,100,0,0,0.8,20,80,right,20,20,0,1e-05,0,1.6115549347571263,104.83428907394408,0
-90,20,80,40,100,0,0.6,20,80,right,20,20,20,1e-05,0,0.7548648263027062,163.5762815475464,0
-90,20,20,0,0,0,0.4,80,20,right,20,20,40,1e-05,0,0.8674113060292717,162.25536155700684,0
0,40,20,0,100,100,0.6,80,20,left,20,20,60,1e-05,0,1.3428484600228332,82.13477349281311,0
60,0,80,0,0,0,0.8,80,20,left,20,20,80,1e-05,0,1.342770020347126,80.51345872879028,0
-60,40,20,60,0,0,0.8,40,60,left,20,20,100,1e-05,0,1.375929349552986,82.25726294517517,0
90,60,100,20,60,40,0.6,60,40,right,20,40,0,1e-05,0,1.086925368816157,168.97485947608948,0
-60,20,100,60,60,40,0.6,100,0,left,20,40,20,1e-05,0,0.6994660808870147,90.05593538284302,0
90,20,20,20,20,0,0.8,100,0,left,20,40,40,1e-05,0,1.340272164663984,81.65614533424377,0
-60,20,40,20,40,40,0.8,40,60,right,20,40,60,1e-05,0,0.8301657559849804,107.18256497383118,0
0,60,20,20,40,40,0.8,20,0,left,20,40,80,1e-05,0,1.3860048826215825,81.3083508014679,0
-90,40,100,20,20,40,0.8,40,60,left,20,40,100,1e-05,0,1.021016430027052,106.84719896316528,0
-30,20,20,40,80,40,0.6,100,0,left,20,60,0,1e-05,0,0.774527939662465,93.23528790473938,0
60,60,20,0,0,0,0.4,0,100,right,20,60,20,1e-05,0,0.6771931798654292,88.15067195892334,0
90,20,40,40,0,80,0.4,40,60,right,20,60,40,1e-05,0,1.5873804444849455,105.18568706512453,0
0,60,100,0,0,100,0.6,80,20,left,20,60,60,1e-05,0,1.343265672442244,81.86099243164062,0
30,60,60,0,20,100,0.8,0,100,left,20,60,80,1e-05,0,1.995185201758784,80.9203372001648,0
30,20,80,20,40,0,0.8,0,100,right,20,60,100,1e-05,0,2.1210507648649144,114.02083992958067,0
-30,60,20,0,0,100,0.2,80,20,right,20,80,0,1e-05,0,0.7869631077653708,99.08934926986694,0
-30,60,20,40,0,80,0.4,40,60,left,20,80,20,1e-05,0,0.9897203180754492,101.59475135803224,0
-60,0,80,0,0,80,0.4,80,20,right,20,80,40,1e-05,0,0.9383263367555982,98.15897154808044,0
-90,60,100,40,100,40,0.6,40,60,left,20,80,60,1e-05,0,1.393398571703548,82.11136102676392,0
-30,20,40,0,0,0,0.2,0,100,right,20,80,80,1e-05,0,0.8328977326900796,109.6124062538147,0
30,20,20,0,40,40,0.8,80,20,right,20,80,100,1e-05,0,1.9570778739879604,165.5367465019226,0
90,20,100,80,80,40,0.6,100,0,left,20,100,0,1e-05,0,1.339296122192397,81.18301391601562,0
30,40,100,20,100,40,0.6,40,60,left,20,100,20,1e-05,0,1.1277537068522945,85.4225115776062,0
30,40,60,40,20,0,0.8,100,0,right,20,100,40,1e-05,0,1.6731883509112475,165.9542350769043,0
60,60,100,100,0,80,0.4,100,0,left,20,100,60,1e-05,0,1.4437996565994524,80.82033276557922,0
60,60,20,40,100,0,0.6,20,80,left,20,100,80,1e-05,0,1.4204823253545062,79.65656304359436,0
-90,40,20,60,0,0,0.8,100,0,left,20,100,100,1e-05,0,1.0055302802142378,182.8284933567047,0
90,40,20,40,0,0,0.8,40,60,left,40,0,0,1e-05,0,1.4008611363144765,79.27414083480835,0
-90,20,80,0,40,0,0.8,0,100,left,40,0,20,1e-05,0,1.3762265782489536,82.14501595497131,0
-60,20,40,20,100,100,0.1,40,60,right,40,0,40,1e-05,0,2.008659462878174,171.5741753578186,0
0,80,80,40,60,40,0.6,100,0,left,40,0,60,1e-05,0,1.3381378253353942,83.09917998313904,0
-60,0,80,100,0,100,0.4,100,0,right,40,0,80,1e-05,0,1.5796959127124732,197.65990686416623,0
60,0,100,0,20,40,0.8,0,100,left,40,0,100,1e-05,0,1.4342243136752846,79.61023545265198,0
-60,20,20,0,80,0,0.6,0,100,right,40,20,0,1e-05,0,1.5421182602263008,169.40338134765625,0
90,80,20,0,80,40,0.6,0,100,right,40,20,20,1e-05,0,1.7657663911690933,167.88000631332395,0
90,60,80,20,60,40,0.6,100,0,left,40,20,40,1e-05,0,1.3519127169020717,81.35392355918884,0
-30,20,60,40,80,0,0.6,20,80,left,40,20,60,1e-05,0,1.3820400314334758,82.89779257774353,0
-30,20,100,40,0,0,0.8,20,80,right,40,20,80,1e-05,0,1.1710340228891256,171.42615747451782,0
-90,20,80,0,80,60,0.6,80,20,left,40,20,100,1e-05,0,1.4102342755177473,81.50715970993042,0
30,40,40,20,60,100,0.6,40,60,right,40,40,0,1e-05,0,0.7442872347532364,88.40322995185852,0
-90,20,20,0,0,60,0.1,0,100,left,40,40,20,1e-05,0,1.4309020579274736,81.7043616771698,0
-30,0,100,0,0,0,0.8,80,20,right,40,40,40,1e-05,0,0.7680819702121726,161.82287430763245,0
-30,60,100,60,0,80,0.4,100,0,left,40,40,60,1e-05,0,0.570582125331468,194.05228090286252,0
30,20,80,0,40,60,0.6,100,0,left,40,40,80,1e-05,0,1.3520813900140034,80.67719888687134,0
-60,80,40,0,0,0,0.8,80,20,left,40,40,100,1e-05,0,1.3630058502279778,82.40430021286011,0
-60,60,80,0,80,100,0.1,0,100,left,40,60,0,1e-05,0,1.4160813777461694,80.50972747802734,0
-90,40,100,40,0,80,0.6,0,100,right,40,60,20,1e-05,0,0.7707744890212231,163.37526845932007,0
0,80,20,0,0,0,0.8,80,20,right,40,60,40,1e-05,0,0.9762843641214972,115.08839082717896,0
90,60,100,0,0,80,0.8,0,100,left,40,60,60,1e-05,0,1.8936269062407725,82.95403265953064,0
-60,80,40,0,60,60,0.6,80,20,left,40,60,80,1e-05,0,1.364152794209834,82.24914455413818,0
-30,40,80,40,0,80,0.4,40,60,right,40,60,100,1e-05,0,0.8813154907704479,103.95460867881776,0
