feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,100,80,60,0,30,0,0,100,0.6,False,0.994,0
left,100,100,20,20,-60,20,40,60,0.4,False,1.081,0
right,0,20,40,40,-90,80,20,40,0.6,False,0.887,0
right,20,0,100,100,0,80,40,0,0.8,False,0.909,0
left,40,0,100,20,-60,60,20,60,0.6,False,1.036,0
right,80,100,100,60,-30,100,0,20,0.1,False,0.935,0
left,20,80,20,20,90,60,0,80,0.1,False,1.026,0
right,20,0,80,80,-90,80,80,0,0.4,False,0.735,0
right,60,40,0,40,0,20,80,60,1.0,False,0.874,0
left,80,80,60,80,-90,40,60,40,0.1,False,2.244,0
left,60,20,40,100,-90,20,40,80,0.2,False,1.04,0
right,0,100,80,60,30,100,100,20,1.0,False,0.771,0
right,100,20,0,20,0,40,100,100,0.1,False,1.023,0
left,20,0,20,100,90,20,60,80,0.4,False,1.097,0
right,20,60,20,20,-30,0,60,40,0.1,False,0.758,0
right,40,20,60,100,60,20,80,80,0.2,False,0.83,0
left,80,60,60,0,30,100,20,0,0.1,False,1.102,0
left,0,60,20,60,-60,0,80,40,1.0,False,1.976,0
left,0,100,100,20,-30,80,100,60,0.6,False,1.306,0
left,100,100,60,40,60,40,80,100,1.0,False,1.029,0
right,0,0,100,60,-60,0,0,60,0.1,False,0.804,0
right,80,60,20,80,90,20,20,80,0.8,False,0.916,0
right,60,0,40,40,30,40,100,40,1.0,False,0.9,0
right,60,60,60,0,-60,80,20,0,0.8,False,0.776,0
right,100,100,40,0,90,100,40,100,1.0,False,0.833,0
left,40,80,20,0,-90,60,100,80,0.6,False,9999.0,0
left,100,20,60,100,-30,80,60,60,0.4,False,0.994,0
right,80,80,100,60,60,60,80,60,0.8,False,1.026,0
right,40,40,0,60,30,0,40,40,0.4,False,0.886,0
left,0,80,40,0,-90,60,80,20,0.6,False,1.096,0
left,60,60,80,80,-30,100,40,20,0.8,False,0.636,0
left,0,0,100,100,-30,80,40,0,0.2,False,1.32,0
right,80,60,20,100,-60,80,60,60,0.4,False,0.889,0
left,80,0,0,0,-90,0,100,80,0.4,False,3.33,0
left,40,20,40,40,30,60,60,0,0.4,False,1.114,0
right,100,80,0,0,30,60,0,60,1.0,False,0.823,0
left,60,40,60,100,-90,40,100,100,0.2,False,0.924,0
left,0,0,80,0,-30,20,80,0,0.8,False,0.856,0
left,80,80,100,80,60,80,20,0,0.8,False,1.181,0
right,40,40,80,40,60,100,100,40,0.8,False,0.834,0
left,100,60,80,40,-60,100,40,0,1.0,False,0.984,0
right,100,100,60,60,60,40,20,40,0.6,False,0.84,0
