Row,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
Z_{1},0.5961,-0.1852,-0.4454,0.1306,0.0747,0.0028,0.0674,-0.0802,0.0937,-0.2125,0.1611,-0.0688
Z_{2},0.2197,-0.5713,0.4773,-0.6616,-0.0217,-0.0731,0.0465,0.0885,-0.1838,-0.0127,-0.1896,0.0844
