Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
Z_{1},0.009,-0.8747,0.9231,-0.1547,0.6833,-0.1327,-0.0822,0.1979,-0.0221,0.0424,0.0076,0.0752,-0.0145
Z_{2},-0.0386,0.266,0.7109,-1.2013,1.1309,-0.0314,0.0642,0.108,-0.1552,0.1338,0.1544,0.0715,0.0906
