instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario63,-60,c2,0,1,2,0,0.8,40,100,60,80,40,60,40,0,1.5787747281226852,0
scenario64,-30,c4,2,0,1,0,0.2,60,60,20,40,60,0,20,0,2.730335409559859,0
scenario65,-60,c4,1,2,2,0,0.4,80,80,20,0,40,0,0,0,4.242978055055225,0
scenario66,60,c1,0,2,1,2,0.1,60,100,80,80,60,100,40,0,2.90553997266854,0
scenario67,0,c4,1,0,2,0,1.0,20,60,80,20,80,100,100,0,2.168346769674672,0
scenario68,30,c1,1,2,0,1,0.2,40,20,80,100,100,100,20,0,3.920355030163099,0
scenario69,-90,c1,0,1,1,2,1.0,60,20,80,40,40,0,80,0,2.728437799663889,0
scenario70,-30,c1,1,2,0,2,1.0,60,0,100,100,0,80,20,0,3.500837451477097,0
scenario71,-30,c2,0,1,2,1,0.2,60,20,20,80,60,40,40,0,2.696387172354677,0
scenario72,-30,c1,0,2,1,2,0.8,80,20,0,60,100,20,80,0,3.356089873733249,0
scenario73,0,c2,2,1,0,1,0.6,20,60,0,80,80,40,20,0,3.9036115618446217,0
scenario74,0,c1,1,2,0,1,0.6,20,80,0,100,80,20,0,0,4.827280300834592,0
scenario75,0,c4,2,0,1,2,0.6,20,20,60,60,80,0,60,0,0.9714256875718512,0
scenario76,-60,c4,2,0,1,0,0.1,40,60,60,60,100,80,0,0,2.355888435721764,0
scenario77,0,c2,2,0,0,1,0.8,40,40,40,40,20,40,100,0,2.220248203849532,0
scenario78,-30,c1,0,1,1,2,0.2,60,20,100,0,60,60,20,0,3.737832742796899,0
scenario79,30,c2,0,1,2,0,0.8,40,20,0,100,40,40,60,0,1.768259693882259,0
scenario80,90,c1,1,2,0,2,0.2,80,60,20,40,100,100,40,0,3.2723815333397024,0
scenario81,-90,c4,1,2,2,0,0.8,20,80,60,40,20,60,40,0,3.577936541070206,0
scenario82,30,c4,1,0,2,0,0.6,60,40,60,100,100,20,40,0,2.6577397030595606,0
scenario83,60,c2,0,1,2,1,0.4,40,40,0,100,100,60,20,0,3.289811548997918,0
scenario84,0,c1,0,2,1,2,1.0,40,40,40,0,60,80,100,0,2.596969470344328,0
scenario85,60,c1,1,2,0,1,0.8,80,60,80,20,100,40,80,0,4.421943252006293,0
scenario86,-30,c2,2,1,0,1,0.2,60,40,100,60,100,0,40,0,3.617614517673976,0
scenario87,30,c1,0,1,1,2,0.1,40,80,80,20,60,20,20,0,2.4510807692516647,0
scenario88,0,c4,2,0,1,2,0.2,60,80,40,40,80,100,20,1,2.3510808143323616,1
