PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c4,base,20,0.6,40,right,60,0,80,base,0,60,left,2.7984086155246612,False
c4,right,40,0.1,40,right,60,60,60,base,60,60,left,4.2011478880504844,False
c2,left,100,0.2,80,base_left_lane,60,20,20,left,60,20,right,4.041019166946795,False
c1,right,40,0.6,60,base_left_lane,100,80,20,left,40,100,left,0.7955893083349915,False
c4,base,0,0.8,0,right,60,100,60,base,40,60,left,2.0357851740916226,False
c2,left,100,0.8,100,right,40,60,40,left,40,40,base,4.510146034026547,False
c2,base,60,1.0,20,base_left_lane,20,20,40,left,40,40,right,5.399199496283046,False
c1,right,40,0.8,60,left,80,80,0,right,80,0,base,3.0405466400141856,False
c2,left,80,0.1,100,base_left_lane,40,0,80,left,100,100,right,4.752014717321677,False
c4,base,40,0.1,100,left,80,60,20,base,60,80,right,33.75101299117728,False
c4,right,60,0.1,40,right,80,40,0,base,100,80,left,0.0,True
c2,left,80,0.4,40,right,80,0,40,base,80,20,base,1.9225296197673913,False
c1,right,60,0.2,100,base,0,80,100,right,0,60,left,5.566587219615331,False
c4,base,60,1.0,40,left,0,0,100,base,20,60,right,2.6428406643491913,False
c4,base,20,0.1,100,left,80,20,100,right,40,0,right,0.8838773430994595,False
c1,right,60,1.0,60,base_left_lane,20,0,20,left,40,100,left,0.7507876393941761,False
c2,left,100,0.8,100,right,80,100,80,left,60,100,base,2.9210181883751076,False
c1,left,0,0.4,20,left,20,40,20,right,0,0,base,2.918117968617267,False
c1,left,0,1.0,80,left,100,0,40,right,0,60,base,2.700850244452771,False
c1,right,60,0.6,40,left,60,60,20,right,0,20,base,2.7014909146282964,False
c4,right,0,0.6,60,right,60,20,40,base,40,20,left,4.989789848908238,False
c1,right,80,0.8,60,base,0,100,40,right,60,80,left,5.895567437816778,False
c2,left,60,0.8,20,right,40,80,0,base,60,40,base,1.650793702769491,False
c4,base,0,0.4,20,right,40,40,80,base,40,0,left,4.375450294645396,False
c4,right,20,0.2,0,right,60,80,40,base,0,40,left,4.299300055133806,False
c4,base,80,0.2,0,left,100,60,100,right,100,100,right,0.0,True
c4,base,100,0.1,20,left,80,40,60,right,20,80,right,0.0,True
c4,base,100,0.2,60,right,20,20,40,base,100,80,left,3.3309686387365383,False
c1,left,100,0.6,40,left,0,80,20,right,40,20,base,3.295732936583822,False
c2,base,0,0.2,100,base_left_lane,20,20,100,left,20,20,right,4.367535082531701,False
c4,right,60,1.0,20,right,60,60,100,base,0,80,left,1.7824465206059203,False
c4,base,80,0.2,0,left,60,40,40,base,80,0,right,2.4173106784774028,False
c2,left,100,0.6,0,base_left_lane,100,60,80,left,80,40,right,2.909256237359664,False
c4,base,80,1.0,80,left,20,0,20,right,40,60,right,0.941441023572519,False
c1,right,100,0.4,0,left,60,0,40,right,40,100,base,0.0,True
c2,left,40,0.1,100,right,0,40,40,left,80,80,base,4.06102526278986,False
c4,base,80,1.0,0,left,40,100,20,base,100,40,right,3.556408088433931,False
c4,right,20,0.8,20,right,100,80,0,base,80,20,left,4.69899368069983,False
c1,right,0,0.8,20,left,20,20,80,right,0,20,base,2.5535472344289687,False
c1,left,20,0.6,80,left,60,0,100,right,100,100,base,2.787090559864112,False
