Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
Z_{1},0.2886,0.6232,-0.2985,0.7519,0.245,-0.5845,-0.0582,0.6886,0.3502,-0.2371,-0.2169,-0.0021
Z_{2},-0.2428,0.0657,0.878,0.1003,0.1741,-0.3975,-0.539,-0.6105,0.0965,-0.2458,0.2726,-0.3208
