instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario54,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.0566,1,0,2,0,1,0.0,1
scenario55,20,80,0,0,0,0.8,0,100,0,60,0,c1,0.05148,0,2,1,2,1,0.0,1
scenario56,20,80,0,100,40,0.6,0,100,0,60,0,c2,0.00125,0,1,2,1,0,2.704372636221741,0
scenario57,40,40,0,0,0,0.8,0,100,0,60,0,c4,0.02135,1,2,2,0,0,2.950719798238739,0
scenario58,20,20,0,20,40,0.8,0,100,0,60,20,c1,0.00885,0,1,1,2,0,3.367989089294771,0
scenario59,20,80,0,20,40,0.8,0,100,0,60,20,c2,0.00748,2,1,0,1,0,3.4703153823971866,0
scenario60,20,60,0,40,40,0.8,0,100,0,60,20,c4,0.00256,2,0,1,0,0,15.62057473486473,0
scenario61,20,20,0,0,100,0.2,0,100,0,60,40,c1,0.0017,1,2,0,1,0,5.744370137017568,0
scenario62,20,100,0,0,0,0.8,0,100,0,60,40,c2,0.04891,0,1,2,0,0,2.303378762250699,0
scenario63,60,20,0,60,40,0.6,0,100,0,60,40,c4,0.00123,2,0,1,2,0,1.0847824450899357,0
scenario64,20,60,0,0,0,0.8,0,100,0,60,60,c1,0.04996,1,2,0,2,0,5.669714782533568,0
scenario65,60,40,0,0,0,0.8,0,100,0,60,60,c2,0.02163,2,0,0,1,0,2.710591179489944,0
scenario66,60,20,0,0,0,0.8,0,100,0,60,60,c4,0.02033,1,0,2,0,1,0.0,1
scenario67,60,80,0,0,0,0.8,0,100,0,60,80,c1,0.01823,0,2,1,2,0,3.5154619217868075,0
scenario68,40,100,0,0,0,0.8,0,100,0,60,80,c2,0.01778,0,1,2,1,0,3.126804973379289,0
scenario69,40,60,0,0,0,0.8,0,100,0,60,80,c4,0.01721,1,2,2,0,0,4.494896198558608,0
scenario70,20,40,0,20,40,0.8,0,100,0,60,100,c1,0.00954,0,1,1,2,0,2.7880991642278232,0
scenario71,20,100,0,20,40,0.8,0,100,0,60,100,c2,0.00786,2,1,0,1,0,3.982774887800806,0
scenario72,20,100,0,0,0,0.8,80,20,0,60,100,c4,0.00659,2,0,1,0,0,3.920749548223938,0
scenario73,20,40,0,0,0,0.8,80,20,0,80,0,c1,0.00507,1,2,0,1,0,4.36256285134747,0
scenario74,20,40,0,0,80,0.4,0,100,0,80,0,c2,0.00437,0,1,2,0,0,2.304585333738818,0
scenario75,20,100,0,0,80,0.4,0,100,0,80,0,c4,0.00361,2,0,1,2,0,1.0658339738945128,0
scenario76,60,40,0,20,40,0.8,0,100,0,80,20,c1,0.00363,1,2,0,2,0,6.053522555983091,0
scenario77,40,20,0,20,40,0.8,0,100,0,80,20,c2,0.00322,2,0,0,1,0,2.713940298246865,0
scenario78,60,80,0,20,40,0.8,0,100,0,80,20,c4,0.00288,1,0,2,0,1,0.0,1
scenario79,20,40,0,60,40,0.6,0,100,0,80,40,c1,0.00284,0,2,1,2,0,2.6958500652673574,0
scenario80,20,80,0,60,40,0.6,0,100,0,80,40,c2,0.00258,0,1,2,1,0,6.592675323826957,0
scenario81,40,60,0,20,40,0.8,0,100,0,80,40,c4,0.00298,1,2,2,0,0,4.0814424348725815,0
scenario82,60,100,0,0,0,0.8,80,20,0,80,60,c1,0.00244,0,1,1,2,0,2.1823244056653426,0
scenario83,40,100,0,20,40,0.8,0,100,0,80,60,c2,0.00259,2,1,0,1,0,3.364713112922745,0
scenario84,60,20,0,40,40,0.8,0,100,0,80,60,c4,0.00126,2,0,1,0,0,26.318225218980217,0
scenario85,40,80,0,0,0,0.8,80,20,0,80,80,c1,0.00205,1,2,0,1,0,4.825009868303122,0
scenario86,20,40,0,0,20,0.8,0,100,0,80,80,c2,0.00204,0,1,2,0,0,2.17045156101615,0
scenario87,60,40,0,0,0,0.8,80,20,0,80,80,c4,0.002,2,0,1,2,1,0.0,1
scenario88,20,80,0,0,80,0.4,80,20,0,80,100,c1,0.00191,1,2,0,2,0,4.944675421369312,0
scenario89,80,40,0,0,0,0.8,0,100,0,80,100,c2,0.00173,2,0,0,1,0,2.4351243571578425,0
scenario90,20,40,0,80,40,0.6,0,100,0,80,100,c4,0.00175,1,0,2,0,1,0.0,1
scenario91,40,60,0,0,0,0.8,80,20,0,100,0,c1,0.0019,0,2,1,2,0,2.424341393610724,0
scenario92,20,80,0,80,40,0.6,0,100,0,100,0,c2,0.00169,0,1,2,1,0,3.552337640995267,0
scenario93,20,80,0,0,100,0.2,0,100,0,100,0,c4,0.00152,1,2,2,0,0,4.125803743362989,0
scenario94,60,40,0,0,80,0.4,0,100,0,100,20,c1,0.0017,0,1,1,2,0,3.64310579078137,0
scenario95,20,40,20,0,0,0.8,0,100,0,100,20,c2,0.00153,2,1,0,1,0,4.159910878414788,0
scenario96,20,100,0,0,20,0.8,0,100,0,100,20,c4,0.00165,2,0,1,0,0,18.76754611745421,0
scenario97,20,60,0,0,100,0.2,0,100,0,100,40,c1,0.00163,1,2,0,1,0,4.692049311679389,0
scenario98,40,20,0,0,80,0.4,0,100,0,100,40,c2,0.00161,0,1,2,0,0,2.2807573842630533,0
scenario99,20,100,0,20,40,0.8,80,20,0,100,40,c4,0.00148,2,0,1,2,0,1.1333551390174874,0
scenario100,80,80,0,0,0,0.8,0,100,0,100,60,c1,0.00142,1,2,0,2,0,5.2276305526259605,0
scenario101,20,80,20,0,0,0.8,0,100,0,100,60,c2,0.00163,2,0,0,1,0,3.4956011341075968,0
scenario102,20,60,0,0,80,0.4,80,20,0,100,60,c4,0.00136,1,0,2,0,0,2.981854173421888,0
scenario103,40,60,0,0,80,0.4,0,100,0,100,80,c1,0.00145,0,2,1,2,0,3.170769306686996,0
scenario104,40,20,0,0,0,0.8,80,20,0,100,80,c2,0.00126,0,1,2,1,0,3.144651779166742,0
scenario105,40,80,0,0,80,0.4,0,100,0,100,80,c4,0.00153,1,2,2,0,1,0.0,1
scenario106,60,100,0,0,80,0.4,0,100,0,100,100,c1,0.0014,0,1,1,2,0,3.50684352791154,0
scenario107,20,40,0,40,40,0.8,0,100,0,100,100,c2,0.00278,2,1,0,1,0,3.776903748094712,0
scenario108,20,80,0,40,40,0.8,0,100,0,100,100,c4,0.00236,2,0,1,0,0,9.644013733338229,0
scenario109,20,60,0,40,40,0.6,0,100,20,0,0,c1,0.00146,1,2,0,1,0,6.035051299534985,0
scenario110,20,20,0,40,40,0.6,0,100,20,0,0,c2,0.00149,0,1,2,0,0,1.690173231739553,0
scenario111,20,100,0,40,40,0.6,0,100,20,0,0,c4,0.00135,2,0,1,2,0,1.048524178881338,0
