instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c2,0,1,2,0,1.0,0,100,80,80,80,80,80,0,3.889813136062182,0
scenario2,0,c1,0,2,1,2,0.4,60,60,0,40,40,60,20,0,2.646857832558735,0
scenario3,90,c2,2,0,0,1,0.6,0,40,40,20,20,40,0,0,3.102694492639252,0
scenario4,-30,c2,0,1,2,1,0.2,80,0,60,0,0,100,60,0,3.578968240089237,0
scenario5,90,c4,2,0,1,2,0.1,100,20,100,80,60,0,100,0,1.919918583158504,0
scenario6,60,c4,1,2,2,0,0.1,40,80,20,60,100,20,40,1,5.672132029398512,1
scenario7,0,c1,1,2,0,2,0.8,20,20,80,100,0,40,40,0,1.675706830650492,0
scenario8,60,c4,2,0,1,0,0.4,20,100,60,100,20,100,100,0,2.9414274006775263,0
scenario9,-60,c2,2,1,0,1,1.0,20,40,100,0,40,20,0,0,1.345750647011318,0
scenario10,-30,c1,1,2,0,1,0.4,100,0,0,20,100,0,80,0,0.5214842184313282,0
scenario11,60,c1,1,2,0,2,0.2,80,60,20,20,60,80,20,0,2.8785667294337336,0
scenario12,-90,c1,1,2,0,2,0.6,60,80,100,60,80,60,60,0,2.426992257064594,0
scenario13,0,c1,0,1,1,2,0.1,40,0,40,40,80,100,0,0,2.17596478086871,0
scenario14,30,c2,0,1,2,1,0.8,60,0,20,0,20,60,100,0,3.886309114921302,0
scenario15,-60,c4,2,0,1,0,1.0,100,80,60,40,100,40,20,0,3.029163470380538,0
scenario16,60,c4,2,0,1,0,0.8,80,40,40,60,40,0,80,0,2.4312396052790994,0
scenario17,-90,c2,0,1,2,0,0.6,80,20,0,100,100,80,0,0,3.749896009799135,0
scenario18,-60,c2,0,1,2,1,0.2,60,100,40,100,60,60,40,0,3.819838110734025,0
scenario19,60,c4,2,0,1,0,0.6,0,60,0,80,0,20,60,0,3.646157358112673,0
scenario20,-60,c1,1,2,0,1,0.6,40,80,80,20,40,100,100,1,9999.0,1
scenario21,90,c4,2,0,1,2,0.4,40,80,40,0,0,80,80,0,1.589828098743784,0
scenario22,-60,c4,2,0,1,2,0.2,0,20,20,40,20,0,60,0,1.540687983571544,0
scenario23,-60,c2,0,1,2,1,0.8,100,60,60,0,80,0,40,0,3.954107521622878,0
scenario24,-30,c4,2,0,1,0,0.2,20,80,80,80,60,60,0,0,3.720325284731533,0
scenario25,0,c1,1,2,0,2,0.6,60,40,60,40,60,20,80,0,2.9235941364186826,0
scenario26,-90,c1,0,2,1,2,1.0,80,100,100,20,20,20,40,0,2.721699418919434,0
scenario27,0,c2,0,1,2,1,0.8,0,40,100,80,100,100,20,0,4.424401893412379,0
scenario28,-90,c2,0,1,2,1,0.4,20,0,80,60,80,40,20,0,3.9187656994504896,0
scenario29,60,c1,1,2,0,1,0.8,40,100,0,0,60,40,0,0,0.9881662812632994,0
scenario30,30,c1,1,2,0,1,0.2,40,20,20,80,40,40,80,0,1.271462939431505,0
scenario31,90,c2,0,1,2,1,0.1,0,0,60,100,40,80,60,0,3.287143758522581,0
scenario32,-90,c4,1,0,2,0,0.8,100,40,100,40,0,80,100,0,2.7325190033143243,0
scenario33,-30,c1,1,2,0,2,0.6,20,60,0,60,20,80,40,0,2.275711260659276,0
