Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
20,20,0,1,40,0.8,60,left,base,right,0,20,80,base,20,20,5.435981963841154,False
20,20,0,2,40,0.6,60,left,base,left,20,60,60,base,20,100,3.961679228805308,False
20,20,0,4,40,0.6,0,right,left,right,20,60,20,base,40,100,0.0,True
20,20,20,1,40,0.6,20,left,base,right,20,40,60,base,20,20,5.8176147346429286,False
20,20,20,2,60,0.4,20,base,left,left,40,60,80,right,40,100,3.7109423641677592,False
20,20,20,4,100,0.1,0,right,base,right,100,80,80,left,20,80,0.8813397658015437,False
20,20,40,1,60,0.2,60,left,right,left,20,40,60,base,40,80,5.973465984018282,False
20,20,40,2,20,0.8,20,base,right,right,20,20,20,left,100,100,2.885399016701803,False
20,20,40,4,60,0.1,80,right,base,base,80,60,80,left,0,40,11.567134968219786,False
20,20,60,1,20,0.8,60,base,right,base,0,20,20,right,60,20,1.5409216193228543,False
20,20,60,2,60,0.6,40,base,left,left,40,80,80,right,20,80,3.336053715440092,False
20,20,60,4,80,0.2,0,left,base,right,40,80,0,base,80,80,3.9886618600136456,False
20,20,80,1,40,0.6,20,right,left,right,0,20,60,left,40,80,0.8811003035451056,False
20,20,80,2,80,0.2,20,right,base,left,40,60,80,base,20,100,2.40009179956131,False
20,20,80,4,20,0.8,40,right,base,right,20,20,20,base,80,80,0.0,True
20,20,100,1,20,1.0,40,left,base,left,0,40,40,right,20,60,1.4919130754638565,False
20,20,100,2,40,0.2,20,left,right,base,40,60,60,right,20,60,2.4658146060058956,False
20,20,100,4,0,0.8,40,left,base,right,20,0,0,base,80,0,4.208206938000676,False
20,40,0,1,60,0.1,60,base,left,left,60,40,40,right,40,100,3.511442701127576,False
20,40,0,2,40,0.6,40,left,base,left,20,20,20,right,80,0,1.565188456118886,False
