Visibility,VehicleStability,RoadSurface,PathInteraction,StartEgo,RoadFriction,StartOther,Cloudiness,WindIntensity,Wetness,FogDistance,GoalEgo,FogDensity,PrecipitationDeposits,GoalOther,Precipitation,Collision_Occurred,Min_TTC
0,60,100,1,left,0.6,base,100,60,40,60,right,40,60,left,60,False,6.246836539938043
0,60,100,2,right,0.6,base,100,60,40,60,left,40,60,left,60,True,9999.0
0,60,100,4,left,0.6,right,100,60,40,60,right,40,60,base,60,False,4.569424969920275
0,80,0,1,left,0.4,base,60,0,20,60,right,60,20,left,0,False,6.465260880291749
0,80,0,2,right,0.4,base,60,0,20,60,left,60,20,left,0,False,3.065308791408413
0,80,0,4,left,0.4,right,60,0,20,60,right,60,20,base,0,False,3.150884680265385
0,80,20,1,left,0.6,base,60,40,40,60,right,40,60,left,80,False,6.220615651390511
0,80,20,2,right,0.6,base,60,40,40,60,left,40,60,left,80,True,9999.0
0,80,20,4,left,0.6,right,60,40,40,60,right,40,60,base,80,False,4.94400658415521
0,80,40,1,left,0.8,base,80,60,40,80,right,60,20,left,20,False,5.263418364631818
0,80,40,2,right,0.8,base,80,60,40,80,left,60,20,left,20,False,3.0400759773614974
0,80,40,4,left,0.8,right,80,60,40,80,right,60,20,base,20,False,3.9150792784805963
0,80,60,1,left,0.8,base,40,60,40,40,right,60,40,left,60,False,6.325054422561085
0,80,60,2,right,0.8,base,40,60,40,40,left,60,40,left,60,True,9999.0
0,80,60,4,left,0.8,right,40,60,40,40,right,60,40,base,60,False,3.3111980649820842
0,80,80,1,left,0.4,base,40,0,40,40,right,20,60,left,40,False,6.1660876832453475
0,80,80,2,right,0.4,base,40,0,40,40,left,20,60,left,40,False,3.0593882101612904
0,80,80,4,left,0.4,right,40,0,40,40,right,20,60,base,40,False,4.717732504320041
0,80,100,1,left,0.6,base,100,20,20,20,right,40,60,left,80,False,6.3177229711974805
0,80,100,2,right,0.6,base,100,20,20,20,left,40,60,left,80,False,3.008802956284387
0,80,100,4,left,0.6,right,100,20,20,20,right,40,60,base,80,False,4.391944596048226
0,100,0,1,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.195728285376104
0,100,0,2,left,0.1,left,0,0,0,0,left,0,0,left,0,False,5.314177425994718
0,100,0,4,left,0.1,left,0,0,0,0,left,0,0,left,0,False,2.552432700644287
0,100,20,1,left,0.1,left,0,0,0,0,left,0,0,left,0,False,6.207759140864101
0,100,20,2,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.1069240600654269
0,100,20,4,left,0.1,left,0,0,0,0,left,0,0,left,0,False,2.8469847095551364
0,100,40,1,left,0.8,base,20,20,60,60,right,60,20,left,40,False,6.024058849964346
0,100,40,2,right,0.8,base,20,20,60,60,left,60,20,left,40,False,3.2048490077045013
0,100,40,4,left,0.8,right,20,20,60,60,right,60,20,base,40,False,3.0845872916330332
0,100,60,1,left,1.0,base,80,0,20,0,right,60,20,left,0,False,5.663572957710931
0,100,60,2,right,1.0,base,80,0,20,0,left,60,20,left,0,True,2387.6814190919167
0,100,60,4,left,1.0,right,80,0,20,0,right,60,20,base,0,False,2.9915701178679273
0,100,80,1,left,0.8,base,0,0,40,20,right,20,40,left,20,False,5.997104951090965
0,100,80,2,right,0.8,base,0,0,40,20,left,20,40,left,20,False,2.0577437977832975
0,100,80,4,left,0.8,right,0,0,40,20,right,20,40,base,20,False,3.737265601284344
0,100,100,1,left,0.8,base,80,20,40,60,right,40,20,left,20,False,8.638792209224079
0,100,100,2,right,0.8,base,80,20,40,60,left,40,20,left,20,True,725.9318782811451
0,100,100,4,left,0.8,right,80,20,40,60,right,40,20,base,20,False,4.162370307218931
20,0,0,1,left,0.4,base,40,0,0,80,right,40,40,left,40,False,6.525150114827225
20,0,0,2,right,0.4,base,40,0,0,80,left,40,40,left,40,False,3.2537138258874583
20,0,0,4,left,0.4,right,40,0,0,80,right,40,40,base,40,False,4.294895600659162
20,0,20,1,left,0.4,base,40,20,40,60,right,60,80,left,60,False,6.325587272174607
20,0,20,2,right,0.4,base,40,20,40,60,left,60,80,left,60,False,3.4177113684502607
20,0,20,4,left,0.4,right,40,20,40,60,right,60,80,base,60,False,4.278445617082923
20,0,40,1,left,0.1,base,40,0,40,80,right,20,40,left,20,False,5.013721737108846
20,0,40,2,right,0.1,base,40,0,40,80,left,20,40,left,20,False,3.446280783364551
20,0,40,4,left,0.1,right,40,0,40,80,right,20,40,base,20,False,4.288286487946653
20,0,60,1,left,1.0,base,60,60,20,60,right,60,20,left,0,False,6.207673076007991
20,0,60,2,right,1.0,base,60,60,20,60,left,60,20,left,0,False,3.1202176582840564
20,0,60,4,left,1.0,right,60,60,20,60,right,60,20,base,0,False,2.879594771588683
20,0,80,1,left,0.4,base,100,20,20,40,right,60,100,left,80,False,5.449259987290654
20,0,80,2,right,0.4,base,100,20,20,40,left,60,100,left,80,False,2.595678664137901
20,0,80,4,left,0.4,right,100,20,20,40,right,60,100,base,80,False,3.3762704364765965
20,0,100,1,left,0.6,base,60,20,40,60,right,40,60,left,80,False,6.215529864663476
20,0,100,2,right,0.6,base,60,20,40,60,left,40,60,left,80,False,2.6465473204180867
20,0,100,4,left,0.6,right,60,20,40,60,right,40,60,base,80,False,2.928248555252168
20,20,0,1,left,0.4,base,0,40,0,0,right,60,40,left,20,False,4.499050399135507
20,20,0,2,right,0.4,base,0,40,0,0,left,60,40,left,20,False,2.4074556792221404
20,20,0,4,left,0.4,right,0,40,0,0,right,60,40,base,20,False,4.188584987721556
20,20,20,1,left,0.6,base,0,20,0,80,right,40,20,left,20,False,6.43897431590714
20,20,20,2,right,0.6,base,0,20,0,80,left,40,20,left,20,False,2.877901821811125
20,20,20,4,left,0.6,right,0,20,0,80,right,40,20,base,20,False,3.965982460244633
20,20,40,1,left,0.8,base,80,60,0,60,right,100,20,left,0,False,4.5982531148636445
20,20,40,2,right,0.8,base,80,60,0,60,left,100,20,left,0,False,2.9827023263859727
20,20,40,4,left,0.8,right,80,60,0,60,right,100,20,base,0,False,4.638372842682494
20,20,60,1,left,0.2,base,0,0,40,20,right,100,40,left,20,False,6.0085306362154265
20,20,60,2,right,0.2,base,0,0,40,20,left,100,40,left,20,False,2.720921005433279
20,20,60,4,left,0.2,right,0,0,40,20,right,100,40,base,20,False,4.8131124770881355
20,20,80,1,left,0.4,base,0,20,40,40,right,20,0,left,20,False,5.686500424042025
20,20,80,2,right,0.4,base,0,20,40,40,left,20,0,left,20,False,2.8644672818822983
20,20,80,4,left,0.4,right,0,20,40,40,right,20,0,base,20,False,4.287240670410258
20,20,100,1,left,0.6,base,60,20,20,20,right,20,80,left,60,False,6.362340791334241
20,20,100,2,right,0.6,base,60,20,20,20,left,20,80,left,60,False,3.2101275803057336
20,20,100,4,left,0.6,right,60,20,20,20,right,20,80,base,60,False,4.640724530258858
20,40,0,1,left,0.4,base,0,0,40,20,right,20,0,left,20,False,6.140821059864402
20,40,0,2,right,0.4,base,0,0,40,20,left,20,0,left,20,False,3.4122727957712846
