Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
0,80,0,2,0,1,100,base,right,right,0,0,100,left,20,0,1.9768443822188273,False
0,80,0,4,0,1,0,base,left,left,0,0,0,right,100,40,3.3223836139561715,False
0,80,20,1,0,1,100,left,base,right,0,0,100,base,20,0,5.792350422462539,False
0,80,20,2,0,1,0,base,right,right,0,0,0,left,100,40,3.2473004640777448,False
0,80,20,4,0,1,100,right,left,base,0,0,100,left,20,0,8.351337395195733,False
0,80,40,1,0,1,100,left,right,left,0,0,100,base,20,0,5.658531307755416,False
0,80,40,2,0,1,0,base,left,right,0,0,0,left,100,40,1.9526857258053525,False
0,80,40,4,0,1,100,right,base,left,0,0,100,base,20,0,2.83771802139001,False
0,80,60,1,0,1,100,right,left,right,0,0,100,base,20,0,0.7489371970305836,False
0,80,60,2,0,1,100,left,right,left,0,0,100,right,20,0,0.841068324239165,False
0,80,60,4,0,1,100,left,base,left,0,0,100,right,20,0,3.1053601092017162,False
0,80,80,1,0,1,100,left,base,left,0,0,100,base,20,0,3.3930823764376776,False
0,80,80,2,0,1,100,right,base,right,0,0,100,left,20,0,1.0045991014946192,False
0,80,80,4,0,1,100,right,base,right,0,0,100,base,20,0,0.0,True
0,80,100,1,0,1,100,base,right,base,0,0,100,left,20,0,2.0480713987554457,False
0,80,100,2,0,1,100,base,right,base,0,0,100,right,20,0,2.1513528751513977,False
0,80,100,4,0,1,100,left,right,base,0,0,100,right,20,0,4.383502175049839,False
0,100,0,1,0,1,100,left,right,right,0,0,100,base,20,0,4.735737040542623,False
0,100,0,2,0,1,100,base,left,base,0,0,100,left,20,0,0.0,True
0,100,0,4,0,1,100,base,left,base,0,0,100,right,20,0,1.806661974006216,False
0,100,20,1,0,1,100,right,base,base,0,0,100,left,20,0,1.5228089478783384,False
0,100,20,2,0,1,80,right,base,base,0,0,60,left,40,0,2.372343941756174,False
0,100,20,4,0,1,80,base,left,left,0,0,60,right,40,0,9.197142882088109,False
0,100,40,1,0,1,80,left,base,right,0,0,60,base,40,0,5.796378227026218,False
0,100,40,2,0,1,100,base,left,left,0,0,100,right,20,0,4.054209353747575,False
0,100,40,4,0,1,80,right,base,right,0,0,60,left,40,0,1.2986466077636987,False
0,100,60,1,0,1,80,right,left,right,0,0,60,base,40,0,1.1149685123407713,False
0,100,60,2,0,1,100,left,base,base,0,0,100,right,20,0,2.063118497688788,False
0,100,60,4,0,1,80,left,right,left,0,0,60,base,40,0,10.971342684091383,False
0,100,80,1,0,1,80,left,right,base,0,0,60,right,40,0,2.6143046396909604,False
0,100,80,2,0,1,100,right,left,left,0,0,100,base,0,0,3.4340677901213525,False
0,100,80,4,0,1,80,left,base,left,0,0,60,right,40,0,4.068591864589095,False
0,100,100,1,0,1,80,base,right,base,0,0,60,right,40,0,2.094793316016779,False
0,100,100,2,0,1,80,base,left,base,0,0,60,right,40,0,2.2971194643575306,False
0,100,100,4,0,1,80,base,left,base,0,0,60,left,40,0,2.6160220293561767,False
20,0,0,1,0,1,80,base,right,left,0,0,60,right,40,0,3.3405501191161284,False
20,0,0,2,0,1,80,base,left,right,0,0,60,left,40,0,3.1549731246823485,False
20,0,0,4,0,1,80,right,left,right,0,0,60,left,40,0,0.8329808359660686,False
20,0,20,1,0,1,80,left,base,base,0,0,60,right,40,0,1.4203108843361587,False
20,0,20,2,0,1,80,right,base,left,0,0,60,base,40,0,2.868083863033327,False
20,0,20,4,0,1,80,left,right,right,0,0,60,base,40,0,0.0,True
20,0,40,1,0,1,80,right,left,base,0,0,60,left,40,0,2.3539833305584414,False
20,0,40,2,0,1,80,right,left,left,0,0,60,base,40,0,3.547505949765192,False
20,0,40,4,0,1,80,left,right,left,0,0,60,right,40,0,3.1391246761532643,False
20,0,60,1,0,1,80,base,right,base,0,0,60,left,40,0,2.6176785450144604,False
20,0,60,2,0,1,80,left,base,left,0,0,60,base,40,0,3.5455438015484915,False
20,0,60,4,0,1,100,left,base,left,0,0,100,base,0,0,4.3043943631544135,False
20,0,80,1,0,1,100,right,base,left,0,0,80,base,20,0,2.743122648372196,False
20,0,80,2,0,1,80,right,base,right,0,0,60,base,40,0,0.0,True
20,0,80,4,0,1,80,base,right,right,0,0,60,left,40,0,0.0,True
20,0,100,1,0,1,100,right,left,right,0,0,80,base,20,0,0.7681788397332269,False
20,0,100,2,0,1,100,base,left,base,0,0,80,left,20,0,2.2303645406184107,False
20,0,100,4,0,1,100,left,right,left,0,0,80,base,20,0,1.7346781648675673,False
20,20,0,1,0,1,100,left,right,left,0,0,100,right,0,0,0.8237917485762428,False
20,20,0,2,0,1,100,base,left,right,0,0,80,left,20,0,2.9738395908849915,False
20,20,0,4,0,1,100,base,right,right,0,0,100,left,0,0,0.0,True
20,20,20,1,0,1,100,base,left,left,0,0,80,right,20,0,3.965617710659133,False
20,20,20,2,0,1,100,right,left,base,0,0,80,left,20,0,4.249366443947112,False
20,20,20,4,0,1,100,left,right,left,0,0,100,base,0,0,2.3161983713213408,False
20,20,40,1,0,1,100,base,right,left,0,0,80,right,20,0,2.9783203150425317,False
20,20,40,2,0,1,100,left,base,left,0,0,80,right,20,0,1.503969327969446,False
20,20,40,4,0,1,100,left,base,right,0,0,80,base,20,0,4.297617760709846,False
20,20,60,1,0,1,20,left,base,base,0,0,0,right,80,0,0.0,True
